"Intervention.package","Sub.components","metric","Base","Pessimistic","Optimistic"
"Alcohol regulations",NA,"BCR",33,14,59
"Alcohol regulations",NA,"DALYs averted (millions)",0.027,0.02,0.035
"Alcohol tax",NA,"BCR",21,9,38
"Alcohol tax",NA,"DALYs averted (millions)",0.0097,0.0069,0.012
"First-level hospital cardiometabolic and respiratory disease package",NA,"BCR",2.9,2.1,3.7
"First-level hospital cardiometabolic and respiratory disease package",NA,"DALYs averted (millions)",2.6,1.8,3.3
"First-level hospital cardiometabolic and respiratory disease package","Asthma/COPD acute treatment","BCR",1.7,1.2,2.1
"First-level hospital cardiometabolic and respiratory disease package","Asthma/COPD acute treatment","DALYs averted (millions)",0.62,0.44,0.79
"First-level hospital cardiometabolic and respiratory disease package","Heart failure acute treatment","BCR",4.3,3.1,5.4
"First-level hospital cardiometabolic and respiratory disease package","Heart failure acute treatment","DALYs averted (millions)",1.6,1.1,2
"First-level hospital cardiometabolic and respiratory disease package","Medical management of ACS","BCR",2.5,1.8,3.2
"First-level hospital cardiometabolic and respiratory disease package","Medical management of ACS","DALYs averted (millions)",0.36,0.26,0.46
"First-level hospital surgical package",NA,"BCR",1.5,1.1,1.9
"First-level hospital surgical package",NA,"DALYs averted (millions)",0.72,0.51,0.92
"First-level hospital surgical package","Cervical cancer screening and treatment","BCR",3,2.2,3.9
"First-level hospital surgical package","Cervical cancer screening and treatment","DALYs averted (millions)",0.29,0.21,0.38
"First-level hospital surgical package","Management of appendicitis","BCR",2.2,1.6,2.9
"First-level hospital surgical package","Management of appendicitis","DALYs averted (millions)",0.04,0.029,0.051
"First-level hospital surgical package","Management of bowel obstruction","BCR",2.8,2,3.6
"First-level hospital surgical package","Management of bowel obstruction","DALYs averted (millions)",0.17,0.12,0.21
"First-level hospital surgical package","Repair of gastrointestinal perforations","BCR",3.6,2.6,4.7
"First-level hospital surgical package","Repair of gastrointestinal perforations","DALYs averted (millions)",0.0049,0.0035,0.0064
"First-level hospital surgical package","Repair of hernias","BCR",0.71,0.51,0.91
"First-level hospital surgical package","Repair of hernias","DALYs averted (millions)",0.21,0.15,0.27
"Outpatient cardiometabolic and respiratory disease package",NA,"BCR",1.9,1.4,2.5
"Outpatient cardiometabolic and respiratory disease package",NA,"DALYs averted (millions)",3.7,2.7,4.8
"Outpatient cardiometabolic and respiratory disease package","Aspirin for suspected ACS","BCR",34,24,44
"Outpatient cardiometabolic and respiratory disease package","Aspirin for suspected ACS","DALYs averted (millions)",0.0041,0.0029,0.0052
"Outpatient cardiometabolic and respiratory disease package","Asthma/COPD chronic treatment","BCR",0.39,0.28,0.5
"Outpatient cardiometabolic and respiratory disease package","Asthma/COPD chronic treatment","DALYs averted (millions)",0.092,0.066,0.12
"Outpatient cardiometabolic and respiratory disease package","CVD primary prevention","BCR",5.3,3.8,6.8
"Outpatient cardiometabolic and respiratory disease package","CVD primary prevention","DALYs averted (millions)",1.5,1.1,2
"Outpatient cardiometabolic and respiratory disease package","CVD secondary prevention","BCR",2,1.4,2.6
"Outpatient cardiometabolic and respiratory disease package","CVD secondary prevention","DALYs averted (millions)",0.94,0.67,1.2
"Outpatient cardiometabolic and respiratory disease package","Diabetes screening and treatment","BCR",0.4,0.29,0.52
"Outpatient cardiometabolic and respiratory disease package","Diabetes screening and treatment","DALYs averted (millions)",0.36,0.26,0.46
"Outpatient cardiometabolic and respiratory disease package","Heart failure chronic treatment","BCR",14,9.7,17
"Outpatient cardiometabolic and respiratory disease package","Heart failure chronic treatment","DALYs averted (millions)",0.78,0.56,0.99
"Outpatient cardiometabolic and respiratory disease package","Pulmonary rehabilitation","BCR",13,9.6,17
"Outpatient cardiometabolic and respiratory disease package","Pulmonary rehabilitation","DALYs averted (millions)",0.021,0.015,0.027
"Outpatient mental, neurological, and substance use disorder package",NA,"BCR",2,1.4,2.6
"Outpatient mental, neurological, and substance use disorder package",NA,"DALYs averted (millions)",0.73,0.52,0.94
"Outpatient mental, neurological, and substance use disorder package","Alcohol use screening/brief intervention","BCR",0.51,0.37,0.66
"Outpatient mental, neurological, and substance use disorder package","Alcohol use screening/brief intervention","DALYs averted (millions)",0.057,0.041,0.073
"Outpatient mental, neurological, and substance use disorder package","Bipolar disorder chronic treatment","BCR",0.4,0.28,0.51
"Outpatient mental, neurological, and substance use disorder package","Bipolar disorder chronic treatment","DALYs averted (millions)",0.065,0.047,0.084
"Outpatient mental, neurological, and substance use disorder package","Depression chronic treatment","BCR",4.1,3,5.3
"Outpatient mental, neurological, and substance use disorder package","Depression chronic treatment","DALYs averted (millions)",0.091,0.065,0.12
"Outpatient mental, neurological, and substance use disorder package","Epilepsy acute and chronic treatment","BCR",53,38,68
"Outpatient mental, neurological, and substance use disorder package","Epilepsy acute and chronic treatment","DALYs averted (millions)",0.44,0.32,0.57
"Outpatient mental, neurological, and substance use disorder package","IDU harm reduction measures","BCR",2.4,1.7,3.1
"Outpatient mental, neurological, and substance use disorder package","IDU harm reduction measures","DALYs averted (millions)",0.015,0.01,0.019
"Outpatient mental, neurological, and substance use disorder package","Schizophrenia chronic treatment","BCR",1.1,0.81,1.5
"Outpatient mental, neurological, and substance use disorder package","Schizophrenia chronic treatment","DALYs averted (millions)",0.062,0.044,0.08
"Referral hospital NCDs package",NA,"BCR",1.7,1.2,2.1
"Referral hospital NCDs package",NA,"DALYs averted (millions)",0.043,0.031,0.055
"Referral hospital NCDs package","Management of acute ventilatory failure","BCR",0.3,0.22,0.39
"Referral hospital NCDs package","Management of acute ventilatory failure","DALYs averted (millions)",0.0055,0.0039,0.0071
"Referral hospital NCDs package","Treatment of early-stage breast cancer","BCR",33,24,43
"Referral hospital NCDs package","Treatment of early-stage breast cancer","DALYs averted (millions)",0.026,0.019,0.034
"Referral hospital NCDs package","Treatment of early-stage colorectal cancer","BCR",1.6,1.2,2.1
"Referral hospital NCDs package","Treatment of early-stage colorectal cancer","DALYs averted (millions)",0.011,0.0081,0.015
"Sodium regulations",NA,"BCR",3,1.3,5.4
"Sodium regulations",NA,"DALYs averted (millions)",0.035,0.025,0.045
"Tobacco regulations",NA,"BCR",9,3.8,16
"Tobacco regulations",NA,"DALYs averted (millions)",0.038,0.027,0.049
"Tobacco tax",NA,"BCR",150,64,270
"Tobacco tax",NA,"DALYs averted (millions)",0.11,0.076,0.14
"Trans fat regulations",NA,"BCR",4.9,2.1,8.8
"Trans fat regulations",NA,"DALYs averted (millions)",0.029,0.02,0.037
