"Intervention.package","Sub.components","metric","Base","Pessimistic","Optimistic"
"Alcohol regulations",NA,"BCR",75,32,140
"Alcohol regulations",NA,"DALYs averted (millions)",0.24,0.17,0.31
"Alcohol tax",NA,"BCR",52,22,93
"Alcohol tax",NA,"DALYs averted (millions)",0.13,0.093,0.17
"First-level hospital cardiometabolic and respiratory disease package",NA,"BCR",11,7.7,14
"First-level hospital cardiometabolic and respiratory disease package",NA,"DALYs averted (millions)",28,20,36
"First-level hospital cardiometabolic and respiratory disease package","Asthma/COPD acute treatment","BCR",7.9,5.7,10
"First-level hospital cardiometabolic and respiratory disease package","Asthma/COPD acute treatment","DALYs averted (millions)",7.4,5.3,9.4
"First-level hospital cardiometabolic and respiratory disease package","Heart failure acute treatment","BCR",14,10,18
"First-level hospital cardiometabolic and respiratory disease package","Heart failure acute treatment","DALYs averted (millions)",16,11,20
"First-level hospital cardiometabolic and respiratory disease package","Medical management of ACS","BCR",8.2,5.9,11
"First-level hospital cardiometabolic and respiratory disease package","Medical management of ACS","DALYs averted (millions)",5,3.6,6.4
"First-level hospital surgical package",NA,"BCR",1.9,1.4,2.5
"First-level hospital surgical package",NA,"DALYs averted (millions)",3.5,2.5,4.5
"First-level hospital surgical package","Cervical cancer screening and treatment","BCR",4,2.9,5.2
"First-level hospital surgical package","Cervical cancer screening and treatment","DALYs averted (millions)",1.2,0.87,1.6
"First-level hospital surgical package","Management of appendicitis","BCR",4.5,3.3,5.8
"First-level hospital surgical package","Management of appendicitis","DALYs averted (millions)",0.18,0.13,0.23
"First-level hospital surgical package","Management of bowel obstruction","BCR",3.1,2.2,4
"First-level hospital surgical package","Management of bowel obstruction","DALYs averted (millions)",0.83,0.59,1.1
"First-level hospital surgical package","Repair of gastrointestinal perforations","BCR",4.8,3.5,6.2
"First-level hospital surgical package","Repair of gastrointestinal perforations","DALYs averted (millions)",0.03,0.021,0.038
"First-level hospital surgical package","Repair of hernias","BCR",1,0.75,1.3
"First-level hospital surgical package","Repair of hernias","DALYs averted (millions)",1.2,0.89,1.6
"Outpatient cardiometabolic and respiratory disease package",NA,"BCR",4.6,3.3,5.9
