"Intervention.package","Sub.components","metric","Base","Pessimistic","Optimistic"
"Alcohol regulations",NA,"BCR",78,33,140
"Alcohol regulations",NA,"DALYs averted (millions)",0.28,0.2,0.36
"Alcohol tax",NA,"BCR",53,23,96
"Alcohol tax",NA,"DALYs averted (millions)",0.15,0.11,0.2
"First-level hospital cardiometabolic and respiratory disease package",NA,"BCR",11,7.9,14
"First-level hospital cardiometabolic and respiratory disease package",NA,"DALYs averted (millions)",33,23,42
"First-level hospital cardiometabolic and respiratory disease package","Asthma/COPD acute treatment","BCR",8.1,5.8,10
"First-level hospital cardiometabolic and respiratory disease package","Asthma/COPD acute treatment","DALYs averted (millions)",8.6,6.2,11
"First-level hospital cardiometabolic and respiratory disease package","Heart failure acute treatment","BCR",15,11,19
"First-level hospital cardiometabolic and respiratory disease package","Heart failure acute treatment","DALYs averted (millions)",18,13,23
"First-level hospital cardiometabolic and respiratory disease package","Medical management of ACS","BCR",8.4,6,11
"First-level hospital cardiometabolic and respiratory disease package","Medical management of ACS","DALYs averted (millions)",5.9,4.2,7.5
"First-level hospital surgical package",NA,"BCR",2,1.4,2.6
"First-level hospital surgical package",NA,"DALYs averted (millions)",4.1,2.9,5.2
"First-level hospital surgical package","Cervical cancer screening and treatment","BCR",4.1,3,5.3
"First-level hospital surgical package","Cervical cancer screening and treatment","DALYs averted (millions)",1.4,1,1.8
"First-level hospital surgical package","Management of appendicitis","BCR",4.7,3.3,6
"First-level hospital surgical package","Management of appendicitis","DALYs averted (millions)",0.21,0.15,0.27
"First-level hospital surgical package","Management of bowel obstruction","BCR",3.2,2.3,4.1
"First-level hospital surgical package","Management of bowel obstruction","DALYs averted (millions)",0.96,0.69,1.2
"First-level hospital surgical package","Repair of gastrointestinal perforations","BCR",4.9,3.5,6.4
"First-level hospital surgical package","Repair of gastrointestinal perforations","DALYs averted (millions)",0.035,0.025,0.044
"First-level hospital surgical package","Repair of hernias","BCR",1.1,0.77,1.4
"First-level hospital surgical package","Repair of hernias","DALYs averted (millions)",1.5,1,1.9
"Outpatient cardiometabolic and respiratory disease package",NA,"BCR",4.7,3.4,6.1
"Outpatient cardiometabolic and respiratory disease package",NA,"DALYs averted (millions)",48,35,62
"Outpatient cardiometabolic and respiratory disease package","Aspirin for suspected ACS","BCR",77,55,99
"Outpatient cardiometabolic and respiratory disease package","Aspirin for suspected ACS","DALYs averted (millions)",0.065,0.046,0.084
"Outpatient cardiometabolic and respiratory disease package","Asthma/COPD chronic treatment","BCR",1.4,1,1.8
"Outpatient cardiometabolic and respiratory disease package","Asthma/COPD chronic treatment","DALYs averted (millions)",0.65,0.47,0.84
"Outpatient cardiometabolic and respiratory disease package","CVD primary prevention","BCR",20,14,25
"Outpatient cardiometabolic and respiratory disease package","CVD primary prevention","DALYs averted (millions)",21,15,27
"Outpatient cardiometabolic and respiratory disease package","CVD secondary prevention","BCR",6.7,4.8,8.6
"Outpatient cardiometabolic and respiratory disease package","CVD secondary prevention","DALYs averted (millions)",14,10,19
"Outpatient cardiometabolic and respiratory disease package","Diabetes screening and treatment","BCR",0.62,0.44,0.8
"Outpatient cardiometabolic and respiratory disease package","Diabetes screening and treatment","DALYs averted (millions)",4,2.8,5.1
"Outpatient cardiometabolic and respiratory disease package","Heart failure chronic treatment","BCR",53,38,68
"Outpatient cardiometabolic and respiratory disease package","Heart failure chronic treatment","DALYs averted (millions)",8.2,5.9,11
"Outpatient cardiometabolic and respiratory disease package","Pulmonary rehabilitation","BCR",26,18,33
"Outpatient cardiometabolic and respiratory disease package","Pulmonary rehabilitation","DALYs averted (millions)",0.42,0.3,0.55
"Outpatient mental, neurological, and substance use disorder package",NA,"BCR",4.6,3.3,5.9
"Outpatient mental, neurological, and substance use disorder package",NA,"DALYs averted (millions)",5.1,3.7,6.6
"Outpatient mental, neurological, and substance use disorder package","Alcohol use screening/brief intervention","BCR",2.3,1.6,3
"Outpatient mental, neurological, and substance use disorder package","Alcohol use screening/brief intervention","DALYs averted (millions)",0.53,0.38,0.69
"Outpatient mental, neurological, and substance use disorder package","Bipolar disorder chronic treatment","BCR",0.61,0.44,0.79
"Outpatient mental, neurological, and substance use disorder package","Bipolar disorder chronic treatment","DALYs averted (millions)",0.3,0.21,0.39
"Outpatient mental, neurological, and substance use disorder package","Depression chronic treatment","BCR",13,9.4,17
"Outpatient mental, neurological, and substance use disorder package","Depression chronic treatment","DALYs averted (millions)",0.52,0.37,0.67
"Outpatient mental, neurological, and substance use disorder package","Epilepsy acute and chronic treatment","BCR",110,78,140
"Outpatient mental, neurological, and substance use disorder package","Epilepsy acute and chronic treatment","DALYs averted (millions)",3.1,2.2,3.9
"Outpatient mental, neurological, and substance use disorder package","IDU harm reduction measures","BCR",7.5,5.3,9.6
"Outpatient mental, neurological, and substance use disorder package","IDU harm reduction measures","DALYs averted (millions)",0.17,0.12,0.21
"Outpatient mental, neurological, and substance use disorder package","Schizophrenia chronic treatment","BCR",1.8,1.3,2.3
"Outpatient mental, neurological, and substance use disorder package","Schizophrenia chronic treatment","DALYs averted (millions)",0.54,0.39,0.69
"Referral hospital NCDs package",NA,"BCR",1.7,1.2,2.2
"Referral hospital NCDs package",NA,"DALYs averted (millions)",0.99,0.71,1.3
"Referral hospital NCDs package","Management of acute ventilatory failure","BCR",2.2,1.5,2.8
"Referral hospital NCDs package","Management of acute ventilatory failure","DALYs averted (millions)",0.085,0.061,0.11
"Referral hospital NCDs package","PCI for ACS","BCR",1.2,0.82,1.5
"Referral hospital NCDs package","PCI for ACS","DALYs averted (millions)",0.59,0.42,0.75
"Referral hospital NCDs package","Treatment of early-stage breast cancer","BCR",41,29,52
"Referral hospital NCDs package","Treatment of early-stage breast cancer","DALYs averted (millions)",0.19,0.14,0.25
"Referral hospital NCDs package","Treatment of early-stage colorectal cancer","BCR",3.4,2.5,4.4
