"","Code","Intervention package","wb2021","Incremental cost (billions)","DALY.ave (millions)","benefit (billions)","BCR","Intervention"
"1",5.1,"Tobacco tax","LIC",0.000858813920398194,1.26920556375604,0.179715482749684,209.2600952094,"Tobacco tax"
"2",1.1,"Outpatient mental, neurological, and 
substance use disorder package","LIC",0.000318227604777402,0.0202554439086177,0.0272657675693949,85.6800829345623,"IDU harm reduction measures"
"3",2.13,"Outpatient mental, neurological, and 
substance use disorder package","LIC",0.0138395888224881,0.588034832728009,0.763323087403147,55.1550408898577,"Epilepsy acute and chronic treatment"
"4",5.4,"Alcohol regulations","LIC",0.000943406795512367,0.264280132601629,0.0365753513563847,38.7694380943276,"Alcohol regulations"
"5",2.5,"Outpatient cardiometabolic and 
respiratory disease package","LIC",0.000206310270134605,0.00557174704500099,0.0074229754903285,35.9796702582254,"Aspirin for suspected ACS"
"6",4.3,"Referral hospital NCDs package","LIC",0.00137284007096563,0.0361782351617471,0.0486364951416057,35.4276482528629,"Treatment of early-stage breast cancer"
"7",5.2,"Alcohol tax","LIC",0.000446896507575277,0.0779511530032683,0.0107760541262884,24.1130864610152,"Alcohol tax"
"8",2.7,"Outpatient cardiometabolic and 
respiratory disease package","LIC",0.0986283116980602,1.05932437160299,1.41028052428313,14.2989421597376,"Heart failure chronic treatment"
"9",1.2,"Outpatient cardiometabolic and 
respiratory disease package","LIC",0.00267407825189318,0.0284375900940405,0.0378167853156126,14.1419890344792,"Pulmonary rehabilitation"
"10",5.3,"Tobacco regulations","LIC",0.00380168257327456,0.298404419281159,0.0422926790054468,11.1247265362869,"Tobacco regulations"
"11",5.5,"Sodium regulations","LIC",0.0275679945347825,0.400631054742667,0.275515857596175,9.9940478894305,"Sodium regulations"
"12",2.4,"Outpatient cardiometabolic and 
respiratory disease package","LIC",0.499091664767033,2.11175077365788,2.80868565339004,5.62759479203301,"CVD primary prevention"
"13",5.6,"Trans fat regulations","LIC",0.037682795893499,0.292585510364481,0.201629351481566,5.35070041117494,"Trans fat regulations"
"14",3.2,"First-level hospital cardiometabolic 
and respiratory disease package","LIC",0.638216197334958,2.16763460656437,2.88569118967074,4.52149475635484,"Heart failure acute treatment"
"15",2.1,"Outpatient mental, neurological, and 
substance use disorder package","LIC",0.0375840802504097,0.123891765960804,0.164246132231692,4.37009848684276,"Depression chronic treatment"
"16",3.9,"First-level hospital surgical package","LIC",0.00231889322402996,0.00672324937827455,0.00890455733840365,3.84000317312093,"Repair of gastrointestinal perforations"
"17",3.3,"First-level hospital surgical package","LIC",0.16822649666332,0.404447272792044,0.541484829610366,3.21878443854221,"Cervical cancer screening and treatment"
"18",3.6,"First-level hospital surgical package","LIC",0.100750073252118,0.228541749012406,0.304698071699576,3.02429627953816,"Management of bowel obstruction"
"19",3.1,"First-level hospital cardiometabolic 
and respiratory disease package","LIC",0.246735221565674,0.493361132162055,0.657289203833922,2.66394558370326,"Medical management of ACS"
