"","Code","Intervention package","location_name","Incremental cost (billions)","DALY.ave (millions)","benefit (billions)","BCR","Intervention"
"1",5.2,"Alcohol tax","Bangladesh",0,0.00782604876373928,0.00470680740884502,0,"Alcohol tax"
"2",5.1,"Tobacco tax","Nepal",8.48625513230987e-06,0.0313535333107712,0.0192832705121015,2272.29445868107,"Tobacco tax"
"3",5.1,"Tobacco tax","Myanmar",1.59895836541116e-05,0.0551118257939258,0.0338924515184493,2119.65816319015,"Tobacco tax"
"4",5.1,"Tobacco tax","North Korea",3.91892640011425e-06,0.0456100767914903,0.00627439280177864,1601.04889992211,"Tobacco tax"
"5",5.1,"Tobacco tax","Haiti",3.36919368885357e-06,0.00803933619303358,0.00507087010350323,1505.0693346243,"Tobacco tax"
"6",5.1,"Tobacco tax","Cambodia",5.97663301929692e-06,0.0136173162944383,0.00839757234137098,1405.06742077981,"Tobacco tax"
"7",5.1,"Tobacco tax","Tajikistan",2.54302381931863e-06,0.00559678372572433,0.00345188089834664,1357.3922792715,"Tobacco tax"
"8",5.1,"Tobacco tax","Laos",4.29565994489335e-06,0.00794082220300546,0.00489113122831213,1138.62160670485,"Tobacco tax"
"9",5.1,"Tobacco tax","Kyrgyzstan",1.92829557149641e-06,0.00351981444812886,0.00215772190481428,1118.97882083494,"Tobacco tax"
"10",5.1,"Tobacco tax","India",0.000616306749410924,0.996241935254783,0.613105250716568,994.805348639431,"Tobacco tax"
"11",5.1,"Tobacco tax","Uzbekistan",1.34118200568502e-05,0.0205223648522332,0.0126472808548279,942.995119321496,"Tobacco tax"
"12",5.1,"Tobacco tax","Cameroon",1.02658128512794e-05,0.0143950914444763,0.00887450697700263,864.471923029126,"Tobacco tax"
"13",5.1,"Tobacco tax","Vietnam",6.02523139491602e-05,0.0840263252802956,0.0517928437433081,859.599247707066,"Tobacco tax"
"14",5.1,"Tobacco tax","Timor-Leste",6.0086437821447e-07,0.000785072272491976,0.000482187768699339,802.490189437105,"Tobacco tax"
"15",2.13,"Outpatient mental, neurological, and 
substance use disorder package","Haiti",0.000322070467656008,0.0353290780416838,0.216107692189962,670.995058201918,"Epilepsy acute and chronic treatment"
"16",5.1,"Tobacco tax","Zimbabwe",4.00074300282779e-06,0.00428139961565738,0.00263412476564361,658.408891493848,"Tobacco tax"
