"","Code","Intervention package","wb2021","Incremental cost (billions)","DALY.ave (millions)","benefit (billions)","BCR","Intervention"
"1",5.1,"Tobacco tax","LIC",9.75773446407842e-05,0.0763608888542956,0.00621386872895212,63.6814698312145,"Tobacco tax"
"2",2.13,"Outpatient mental, neurological, and 
substance use disorder package","LIC",0.0105546482665049,0.317015796726472,0.402120860927917,38.0989352533941,"Epilepsy acute and chronic treatment"
"3",2.5,"Outpatient cardiometabolic and 
respiratory disease package","LIC",0.000156545504387353,0.00291023521564448,0.00380178195565495,24.2854751436866,"Aspirin for suspected ACS"
"4",4.3,"Referral hospital NCDs package","LIC",0.00104283154731436,0.018742061905587,0.0247037870683934,23.6891443608644,"Treatment of early-stage breast cancer"
"5",5.4,"Alcohol regulations","LIC",0.000109089650419615,0.0195509763492235,0.00153992668468641,14.1161574793123,"Alcohol regulations"
"6",2.7,"Outpatient cardiometabolic and 
respiratory disease package","LIC",0.0748244190738934,0.556113327168265,0.725960977756643,9.70219330456433,"Heart failure chronic treatment"
"7",1.2,"Outpatient cardiometabolic and 
respiratory disease package","LIC",0.00203082976889846,0.014878049939423,0.0194008453415492,9.5531617857229,"Pulmonary rehabilitation"
"8",5.2,"Alcohol tax","LIC",6.00207901218645e-05,0.00689976282596141,0.000543142483251108,9.04923914110972,"Alcohol tax"
"9",5.3,"Tobacco regulations","LIC",0.00057868700077791,0.0273472601424428,0.00222729547344832,3.84887766694991,"Tobacco regulations"
"10",2.4,"Outpatient cardiometabolic and 
respiratory disease package","LIC",0.378949086867533,1.10426037390241,1.44012827151519,3.80032126061991,"CVD primary prevention"
"11",3.2,"First-level hospital cardiometabolic 
and respiratory disease package","LIC",0.483807554797045,1.14374407517978,1.49299965820546,3.08593704956047,"Heart failure acute treatment"
"12",2.1,"Outpatient mental, neurological, and 
substance use disorder package","LIC",0.0285889896645575,0.0650383760459507,0.0845052222042083,2.95586598882057,"Depression chronic treatment"
"13",3.9,"First-level hospital surgical package","LIC",0.00176423342822703,0.00353030169599794,0.00458528834227228,2.59902588223842,"Repair of gastrointestinal perforations"
"14",3.3,"First-level hospital surgical package","LIC",0.127967171867972,0.210303215435399,0.27606526532292,2.15731317097284,"Cervical cancer screening and treatment"
"15",5.6,"Trans fat regulations","LIC",0.00381485994698851,0.020494462403069,0.00802961136371072,2.10482467909455,"Trans fat regulations"
"16",3.6,"First-level hospital surgical package","LIC",0.0778526735148418,0.119297777700786,0.155954703913944,2.00320293283458,"Management of bowel obstruction"
"17",3.1,"First-level hospital cardiometabolic 
and respiratory disease package","LIC",0.187153709873203,0.25766361044786,0.336602766065845,1.79853643453766,"Medical management of ACS"
"18",1.1,"Outpatient mental, neurological, and 
substance use disorder package","LIC",0.00807558168284332,0.0104403112634702,0.0137789781767282,1.70625209649006,"IDU harm reduction measures"
"19",3.7,"First-level hospital surgical package","LIC",0.0230697634108618,0.028646949288839,0.0369174375943646,1.60025211082065,"Management of appendicitis"
"20",2.6,"Outpatient cardiometabolic and 
respiratory disease package","LIC",0.609284243227734,0.672199554808617,0.87776978859574,1.44065729313084,"CVD secondary prevention"
"21",5.5,"Sodium regulations","LIC",0.00761305151215157,0.0250403288071533,0.00978655228193894,1.28549665877318,"Sodium regulations"
"22",3.4,"First-level hospital cardiometabolic 
and respiratory disease package","LIC",0.478700344677049,0.442382704854483,0.575361467150893,1.20192407118289,"Asthma/COPD acute treatment"
"23",4.4,"Referral hospital NCDs package","LIC",0.00923402369452193,0.00813765818196695,0.0107128002884426,1.16014433608156,"Treatment of early-stage colorectal cancer"
"24",2.12,"Outpatient mental, neurological, and 
substance use disorder package","LIC",0.0683733139559188,0.0442732297070425,0.0551792672388509,0.807029293247738,"Schizophrenia chronic treatment"
"25",3.8,"First-level hospital surgical package","LIC",0.391888687590962,0.152660479883254,0.197926839573042,0.505058823692381,"Repair of hernias"
"26",2.9,"Outpatient mental, neurological, and 
substance use disorder package","LIC",0.14502037104142,0.0408094230745693,0.0532489294051695,0.367182410462603,"Alcohol use screening/brief intervention"
"27",2.3,"Outpatient cardiometabolic and 
respiratory disease package","LIC",1.16657123351132,0.257477484205943,0.336750125658344,0.28866657773203,"Diabetes screening and treatment"
"28",2.11,"Outpatient mental, neurological, and 
substance use disorder package","LIC",0.204617941052339,0.0465716122451476,0.0581174328664662,0.284029018020469,"Bipolar disorder chronic treatment"
"29",2.14,"Outpatient cardiometabolic and 
respiratory disease package","LIC",0.304518775129594,0.0655214137132311,0.0850183175303042,0.279189082821324,"Asthma/COPD chronic treatment"
"30",4.2,"Referral hospital NCDs package","LIC",0.0238959711715726,0.00394672540487777,0.00513780644547617,0.215007224798976,"Management of acute ventilatory failure"
"31",5.1,"Tobacco tax","LIC+LMIC",0.00138786793864625,0.935348619987482,0.317936556995851,229.082716116327,"Tobacco tax"
"32",2.13,"Outpatient mental, neurological, and 
substance use disorder package","LIC+LMIC",0.12153561971284,1.76915446459208,8.59376589830643,70.7098537746503,"Epilepsy acute and chronic treatment"
"33",2.5,"Outpatient cardiometabolic and 
respiratory disease package","LIC+LMIC",0.00353771057199999,0.032082140124548,0.173784520231975,49.1234420383147,"Aspirin for suspected ACS"
"34",2.7,"Outpatient cardiometabolic and 
respiratory disease package","LIC+LMIC",0.682162199183886,4.24532259440457,22.2232631609609,32.5776819465341,"Heart failure chronic treatment"
"35",5.4,"Alcohol regulations","LIC+LMIC",0.00158342968880832,0.144943359469067,0.0458135078572231,28.9330863132306,"Alcohol regulations"
"36",4.3,"Referral hospital NCDs package","LIC+LMIC",0.0199108066905249,0.104436386726396,0.525768272841725,26.4061763550708,"Treatment of early-stage breast cancer"
"37",5.2,"Alcohol tax","LIC+LMIC",0.00121682418571665,0.0741915590760221,0.0242998772668541,19.9699164037759,"Alcohol tax"
"38",1.2,"Outpatient cardiometabolic and 
respiratory disease package","LIC+LMIC",0.0676603808611388,0.205449264908462,1.12882907111748,16.6837528366002,"Pulmonary rehabilitation"
"39",5.3,"Tobacco regulations","LIC+LMIC",0.00848426399274791,0.386923826192663,0.132698881760719,15.6405884911343,"Tobacco regulations"
"40",5.6,"Trans fat regulations","LIC+LMIC",0.0561791129293092,0.498026308392829,0.842383365177432,14.9946006843756,"Trans fat regulations"
"41",2.4,"Outpatient cardiometabolic and 
respiratory disease package","LIC+LMIC",4.52249204834462,10.3556271768139,55.2777430774474,12.2228502530327,"CVD primary prevention"
"42",3.2,"First-level hospital cardiometabolic 
and respiratory disease package","LIC+LMIC",5.31940829608342,9.3464509807507,49.3009017318968,9.2681176152987,"Heart failure acute treatment"
"43",5.5,"Sodium regulations","LIC+LMIC",0.0650984095294957,0.345653023052076,0.569545955599556,8.74899954877544,"Sodium regulations"
"44",2.1,"Outpatient mental, neurological, and 
substance use disorder package","LIC+LMIC",0.185188311334168,0.301276725564524,1.45002577539961,7.8300070072083,"Depression chronic treatment"
"45",3.1,"First-level hospital cardiometabolic 
and respiratory disease package","LIC+LMIC",2.93713602287152,2.8809495113851,15.6167259450584,5.31699104959755,"Medical management of ACS"
"46",3.4,"First-level hospital cardiometabolic 
and respiratory disease package","LIC+LMIC",4.67685516975319,4.31840211878307,23.0906342182516,4.93721387131819,"Asthma/COPD acute treatment"
"47",1.1,"Outpatient mental, neurological, and 
substance use disorder package","LIC+LMIC",0.0988420715723036,0.0840246760878016,0.447690000820098,4.52934660007212,"IDU harm reduction measures"
"48",2.6,"Outpatient cardiometabolic and 
respiratory disease package","LIC+LMIC",9.13242520800519,7.17246999831581,38.7292867624381,4.24085452443555,"CVD secondary prevention"
"49",3.9,"First-level hospital surgical package","LIC+LMIC",0.0294568220657649,0.0191976344726508,0.0951972642945763,3.23175609650084,"Repair of gastrointestinal perforations"
"50",3.7,"First-level hospital surgical package","LIC+LMIC",0.202888013244666,0.125194080127641,0.59151938808807,2.9154969711037,"Management of appendicitis"
"51",3.3,"First-level hospital surgical package","LIC+LMIC",1.5045347891506,0.849007515184018,3.99545005401471,2.65560496362492,"Cervical cancer screening and treatment"
"52",4.4,"Referral hospital NCDs package","LIC+LMIC",0.154302754533196,0.0637104759098886,0.336343248839587,2.17976179269844,"Treatment of early-stage colorectal cancer"
"53",3.6,"First-level hospital surgical package","LIC+LMIC",1.28002242258991,0.552625604827816,2.6753870588015,2.09010952588496,"Management of bowel obstruction"
"54",2.9,"Outpatient mental, neurological, and 
substance use disorder package","LIC+LMIC",1.07327742211712,0.280923974584109,1.44926602253509,1.35031818677067,"Alcohol use screening/brief intervention"
"55",4.2,"Referral hospital NCDs package","LIC+LMIC",0.180521009812139,0.0421703375015651,0.227426607502932,1.25983456296641,"Management of acute ventilatory failure"
"56",2.12,"Outpatient mental, neurological, and 
substance use disorder package","LIC+LMIC",1.24136475493511,0.303525067015334,1.48942755961928,1.19983071349335,"Schizophrenia chronic treatment"
"57",2.14,"Outpatient cardiometabolic and 
respiratory disease package","LIC+LMIC",2.12812451663434,0.361267075482291,1.7991950483801,0.845436925479133,"Asthma/COPD chronic treatment"
"58",4.1,"Referral hospital NCDs package","LIC+LMIC",2.01740984789074,0.262969142139849,1.53172784438998,0.75925466805441,"PCI for ACS"
"59",3.8,"First-level hospital surgical package","LIC+LMIC",5.74971898453463,0.811581672280987,4.00748886919061,0.69698864935309,"Repair of hernias"
"60",2.11,"Outpatient mental, neurological, and 
substance use disorder package","LIC+LMIC",2.08005654049649,0.189709887200397,0.852609909310862,0.409897468031015,"Bipolar disorder chronic treatment"
"61",2.3,"Outpatient cardiometabolic and 
respiratory disease package","LIC+LMIC",26.6734302136782,2.03509502247907,10.7200766515683,0.40190093908773,"Diabetes screening and treatment"
"62",5.1,"Tobacco tax","LMIC",0.00129029059400547,0.858987731133186,0.311722688266899,241.59107236395,"Tobacco tax"
"63",2.13,"Outpatient mental, neurological, and 
substance use disorder package","LMIC",0.110980971446335,1.45213866786561,8.19164503737851,73.8112572869267,"Epilepsy acute and chronic treatment"
"64",2.5,"Outpatient cardiometabolic and 
respiratory disease package","LMIC",0.00338116506761264,0.0291719049089035,0.16998273827632,50.2734219942538,"Aspirin for suspected ACS"
"65",2.7,"Outpatient cardiometabolic and 
respiratory disease package","LMIC",0.607337780109993,3.6892092672363,21.4973021832042,35.3959573852148,"Heart failure chronic treatment"
"66",5.4,"Alcohol regulations","LMIC",0.00147434003838871,0.125392383119843,0.0442735811725367,30.0294233485803,"Alcohol regulations"
"67",4.3,"Referral hospital NCDs package","LMIC",0.0188679751432105,0.0856943248208095,0.501064485773331,26.5563465061927,"Treatment of early-stage breast cancer"
"68",5.2,"Alcohol tax","LMIC",0.00115680339559478,0.0672917962500607,0.023756734783603,20.5365361772544,"Alcohol tax"
"69",1.2,"Outpatient cardiometabolic and 
respiratory disease package","LMIC",0.0656295510922403,0.190571214969039,1.10942822577593,16.9044006444088,"Pulmonary rehabilitation"
"70",5.3,"Tobacco regulations","LMIC",0.00790557699197,0.35957656605022,0.13047158628727,16.5037398813262,"Tobacco regulations"
"71",5.6,"Trans fat regulations","LMIC",0.0523642529823207,0.47753184598976,0.834353753813722,15.9336514185625,"Trans fat regulations"
"72",2.4,"Outpatient cardiometabolic and 
respiratory disease package","LMIC",4.14354296147709,9.25136680291148,53.8376148059322,12.9931354173145,"CVD primary prevention"
"73",3.2,"First-level hospital cardiometabolic 
and respiratory disease package","LMIC",4.83560074128638,8.20270690557091,47.8079020736914,9.88665206899885,"Heart failure acute treatment"
"74",5.5,"Sodium regulations","LMIC",0.0574853580173441,0.320612694244923,0.559759403317618,9.73742571367009,"Sodium regulations"
"75",2.1,"Outpatient mental, neurological, and 
substance use disorder package","LMIC",0.156599321669611,0.236238349518574,1.3655205531954,8.71983696121202,"Depression chronic treatment"
"76",3.1,"First-level hospital cardiometabolic 
and respiratory disease package","LMIC",2.74998231299832,2.62328590093724,15.2801231789926,5.55644416575632,"Medical management of ACS"
"77",3.4,"First-level hospital cardiometabolic 
and respiratory disease package","LMIC",4.19815482507614,3.87601941392859,22.5152727511007,5.36313539858368,"Asthma/COPD acute treatment"
"78",1.1,"Outpatient mental, neurological, and 
substance use disorder package","LMIC",0.0907664898894602,0.0735843648243314,0.43391102264337,4.78052002640851,"IDU harm reduction measures"
