"","Intervention package","wb2021","Incremental cost (billions)","DALY.ave (millions)","benefit (billions)","BCR"
"1","Tobacco tax","LIC",9.75777329337132e-05,0.106910418449357,0.014499780602124,148.597227729958
"2","Alcohol regulations","LIC",0.00010908982381136,0.0273714821744024,0.00359317842212147,32.9377965476857
"3","Alcohol tax","LIC",6.00208497057929e-05,0.00965968681559794,0.00126733510382544,21.1149144012056
"4","Tobacco regulations","LIC",0.000578688946608622,0.0382865452916321,0.00519707839022654,8.98078047055117
"5","Trans fat regulations","LIC",0.00381486492684385,0.0286924715519593,0.0187359164530546,4.91129222458616
"6","Sodium regulations","LIC",0.00761305875313911,0.0350573454532816,0.0228359039774847,2.99957017513738
"7","First-level hospital cardiometabolic 
and respiratory disease package","LIC",1.15032572459259,2.56394171852803,3.34434023507001,2.90729848387461
"8","Outpatient mental, neurological, and 
substance use disorder package","LIC",0.465230942887284,0.731709672363682,0.931002143172796,2.00116126712225
"9","Outpatient cardiometabolic and 
respiratory disease package","LIC",2.53751737651647,3.74012752195501,4.88108076277686,1.92356545336358
"10","Referral hospital NCDs package","LIC",0.0341728645809959,0.0431569228265776,0.0567760295508937,1.66143606182983
"11","First-level hospital surgical package","LIC",0.622546394778735,0.719725646122784,0.939393183073025,1.50895289242965
"12","Tobacco tax","LIC+LMIC",0.00138787886770162,1.30954199575634,0.74188443997628,534.545526444156
"13","Alcohol regulations","LIC+LMIC",0.00158343422851347,0.202921649882744,0.106898725113147,67.5106822804402
"14","Alcohol tax","LIC+LMIC",0.00121682554414985,0.103868394851756,0.0566998380523114,46.596521847284
"15","Tobacco regulations","LIC+LMIC",0.00848436047865214,0.541700667930831,0.309635287991396,36.4948293711096
"16","Trans fat regulations","LIC+LMIC",0.0561800984671171,0.697251224753805,1.9656054810581,34.9875762892904
"17","Sodium regulations","LIC+LMIC",0.0650988309767462,0.483929005551807,1.32898437419572,20.4148731130125
"18","First-level hospital cardiometabolic 
and respiratory disease package","LIC+LMIC",12.9495074690354,23.014049596299,122.417406803476,9.45344115181199
"19","Outpatient cardiometabolic and 
respiratory disease package","LIC+LMIC",43.2316853955899,34.1558286029688,182.003901118508,4.20996543283215
"20","Outpatient mental, neurological, and 
substance use disorder package","LIC+LMIC",4.80026642977628,4.08494006214903,19.9176510446731,4.14928032350933
"21","First-level hospital surgical package","LIC+LMIC",8.76667382269152,3.29772333198121,15.896234323765,1.81325718799066
"22","Referral hospital NCDs package","LIC+LMIC",2.372232147196,0.662602427696443,3.66978342192705,1.54697482970407
"23","Tobacco tax","LMIC",0.00129030113476791,1.20263157730698,0.727384659374157,563.732480561598
"24","Alcohol regulations","LMIC",0.00147434440470211,0.175550167708342,0.103305546691025,70.0688023514412
"25","Alcohol tax","LMIC",0.00115680469444405,0.0942087080361583,0.055432502948486,47.9186358896359
"26","Tobacco regulations","LMIC",0.00790567153204352,0.503414122639199,0.30443820960117,38.5088361396259
"27","Trans fat regulations","LMIC",0.0523652335402732,0.668558753201845,1.94686956460505,37.1786667027417
"28","Sodium regulations","LMIC",0.0574857722236071,0.448871660098525,1.30614847021824,22.7212477052166
"29","First-level hospital cardiometabolic 
and respiratory disease package","LMIC",11.7991817444428,20.4501078777709,119.073066568406,10.091637636185
"30","Outpatient mental, neurological, and 
substance use disorder package","LMIC",4.335035486889,3.35323038978535,18.9866489015003,4.37981395052567
"31","Outpatient cardiometabolic and 
respiratory disease package","LMIC",40.6941680190734,30.4157010810138,177.122820355731,4.35253573123091
"32","First-level hospital surgical package","LMIC",8.14412742791279,2.57799768585842,14.9568411406919,1.83651855561955
"33","Referral hospital NCDs package","LMIC",2.338059282615,0.619445504869865,3.61300739237616,1.5453018746108
