"","Intervention package","wb2021","Incremental cost (billions)","DALY.ave (millions)","benefit (billions)","BCR"
"1","Tobacco tax","LIC",0.000146773095575363,0.230928898298473,0.0450596105581226,307.001841049172
"2","Alcohol regulations","LIC",0.000164181791961546,0.0565821005414137,0.0107056077252979,65.2058160493541
"3","Alcohol tax","LIC",9.02568422866641e-05,0.0199526731074695,0.0037729659353686,41.8025474831627
"4","Tobacco regulations","LIC",0.000870443858969541,0.0827917439401628,0.0161675072881725,18.5738656451802
"5","Trans fat regulations","LIC",0.00573816405561183,0.0588980539206716,0.0554293067482784,9.65976333389587
"6","Sodium regulations","LIC",0.0114512450321041,0.0717248077047861,0.0673330784066726,5.87997883355923
"7","First-level hospital cardiometabolic 
and respiratory disease package","LIC",1.73879461341075,5.21902077401098,7.00807279069454,4.03042011784693
"8","Outpatient mental, neurological, and 
substance use disorder package","LIC",0.702110699446904,1.44742688058311,1.90533695228275,2.7137272709043
"9","Outpatient cardiometabolic and 
respiratory disease package","LIC",3.84043905303038,7.66500232408325,10.2980645519772,2.68148105197798
"10","Referral hospital NCDs package","LIC",0.0515334611579716,0.0894751675246487,0.121188444979985,2.35164575126231
"11","First-level hospital surgical package","LIC",0.938913740391354,1.47546592749238,1.98383309373805,2.11290239815977
"12","Tobacco tax","LIC+LMIC",0.00207504328373818,2.8270284005823,2.30088772123323,1108.83842243916
"13","Alcohol regulations","LIC+LMIC",0.00236654826387257,0.421336738170032,0.319639365955899,135.065644269958
"14","Alcohol tax","LIC+LMIC",0.00181902424531328,0.215667131521029,0.169518919699597,93.1922266216973
"15","Tobacco regulations","LIC+LMIC",0.0126820208148191,1.16926684831017,0.960118745486571,75.7070785094959
"16","Trans fat regulations","LIC+LMIC",0.0839761168991531,1.42797809735144,5.7942267597285,68.9985078339212
"17","Sodium regulations","LIC+LMIC",0.0974437992493458,0.989972557156157,3.91351944407631,40.1618109538415
"18","First-level hospital cardiometabolic 
and respiratory disease package","LIC+LMIC",19.5635202841887,46.8123182844414,256.016121333575,13.0864035518438
"19","Outpatient cardiometabolic and 
respiratory disease package","LIC+LMIC",65.1461228949759,69.9166263304776,383.036264854249,5.87964790278853
"20","Outpatient mental, neurological, and 
substance use disorder package","LIC+LMIC",7.1917906165412,8.03905148491858,40.485817553333,5.62944886913353
"21","First-level hospital surgical package","LIC+LMIC",13.1503388648606,6.72323118601145,33.3136525322177,2.53329232611914
"22","Referral hospital NCDs package","LIC+LMIC",3.57953579296405,1.36059392142058,7.74414475400611,2.16344945320229
"23","Tobacco tax","LMIC",0.00192827018816282,2.59609950228382,2.2558281106751,1169.87138240434
"24","Alcohol regulations","LMIC",0.00220236647191103,0.364754637628619,0.308933758230601,140.273547645563
"25","Alcohol tax","LMIC",0.00172876740302661,0.19571445841356,0.165745953764228,95.8752192307948
"26","Tobacco regulations","LMIC",0.0118115769558496,1.08647510437001,0.943951238198399,79.9174607867171
"27","Trans fat regulations","LMIC",0.0782379528435413,1.36908004343077,5.73879745298022,73.3505574264776
"28","Sodium regulations","LMIC",0.0859925542172417,0.918247749451371,3.84618636566964,44.7269696856902
"29","First-level hospital cardiometabolic 
and respiratory disease package","LMIC",17.824725670778,41.5932975104304,249.008048542881,13.9698109885139
"30","Outpatient cardiometabolic and 
respiratory disease package","LMIC",61.3056838419455,62.2516240063944,372.738200302272,6.07999416927217
"31","Outpatient mental, neurological, and 
substance use disorder package","LMIC",6.48967991709429,6.59162460433547,38.5804806010502,5.94489729754258
"32","First-level hospital surgical package","LMIC",12.2114251244693,5.24776525851907,31.3298194384796,2.5656153249223
"33","Referral hospital NCDs package","LMIC",3.52800233180608,1.27111875389593,7.62295630902613,2.16070047355205
