"","Intervention package","wb2021","Incremental cost (billions)","DALY.ave (millions)","benefit (billions)","BCR"
"1","Tobacco tax","LIC",1.27956557087716e-13,1.08079997370501e-07,8.96017057779592e-12,70.0250990002302
"2","Alcohol regulations","LIC",1.43107852217435e-13,2.68564178760148e-08,2.15737997241319e-12,15.0752033447844
"3","Alcohol tax","LIC",7.86926851619132e-14,9.47289616364911e-09,7.60517346285949e-13,9.66439694771065
"4","Tobacco regulations","LIC",7.5885248643997e-13,3.87374887135401e-08,3.21411065247731e-12,4.23548806903931
"5","Trans fat regulations","LIC",5.00255534909941e-12,2.80193889103689e-08,1.11953496831116e-11,2.23792620008232
"6","First-level hospital cardiometabolic 
and respiratory disease package","LIC",1.51181078693543e-09,2.51790439643494e-06,3.34929701970194e-09,2.21542077133293
"7","Outpatient mental, neurological, and 
substance use disorder package","LIC",6.11438614510347e-10,6.99785775960604e-07,9.11173673809741e-10,1.49021283933699
"8","Outpatient cardiometabolic and 
respiratory disease package","LIC",3.3384290755258e-09,3.65251294324641e-06,4.86111132695105e-09,1.4561074136899
"9","Sodium regulations","LIC",9.98325189220721e-12,3.41572719763373e-08,1.36138169568755e-11,1.36366557749607
"10","Referral hospital NCDs package","LIC",4.48891103783422e-11,4.24288242553029e-08,5.69300273148809e-11,1.26823692505941
"11","First-level hospital surgical package","LIC",8.17822829283067e-10,7.02949789123612e-07,9.36117234646191e-10,1.14464551627499
"12","Tobacco tax","LIC+LMIC",1.81257555895986e-12,1.32337904822829e-06,4.57843147393677e-10,252.592585798966
"13","Alcohol regulations","LIC+LMIC",2.06747805268729e-12,1.99701846405728e-07,6.43420062320868e-11,31.1210105221943
"14","Alcohol tax","LIC+LMIC",1.58903799039919e-12,1.02220649632848e-07,3.41248537788926e-11,21.4751654680829
"15","Tobacco regulations","LIC+LMIC",1.10787114046356e-11,5.47403654381732e-07,1.91071468615209e-10,17.2467231645063
"16","Trans fat regulations","LIC+LMIC",7.33585013396164e-11,6.7982225888729e-07,1.17164759169996e-09,15.9715311832199
"17","Sodium regulations","LIC+LMIC",8.50860700348275e-11,4.71463524552877e-07,7.9159868399724e-10,9.30350507049182
"18","First-level hospital cardiometabolic 
and respiratory disease package","LIC+LMIC",1.69913721965447e-08,2.25803629632968e-05,1.22380753613857e-07,7.20252326876479
"19","Outpatient cardiometabolic and 
respiratory disease package","LIC+LMIC",5.67063114459499e-08,3.33144214209039e-05,1.80869423098478e-07,3.18958187345469
"20","Outpatient mental, neurological, and 
substance use disorder package","LIC+LMIC",6.27796078002313e-09,3.89861796526862e-06,1.94367664175329e-08,3.09603183240359
"21","First-level hospital surgical package","LIC+LMIC",1.14746622129875e-08,3.20995193424807e-06,1.57655391519754e-08,1.373943638544
"22","Referral hospital NCDs package","LIC+LMIC",3.11719575928879e-09,6.47207582430801e-07,3.65137806011576e-09,1.17136629909597
"23","Tobacco tax","LMIC",1.68461900187214e-12,1.21529905085779e-06,4.48882976815881e-10,266.459642398092
"24","Alcohol regulations","LMIC",1.92437020046985e-12,1.72845428529713e-07,6.21846262596736e-11,32.3142741684997
"25","Alcohol tax","LMIC",1.51034530523728e-12,9.27477534691984e-08,3.33643364326067e-11,22.0905354006878
"26","Tobacco regulations","LMIC",1.03198589181956e-11,5.08666165668192e-07,1.87857357962732e-10,18.2034812153786
"27","Trans fat regulations","LMIC",6.8355945990517e-11,6.51802869976921e-07,1.16045224201685e-09,16.9766100841884
"28","Sodium regulations","LMIC",7.51028181426202e-11,4.3730625257654e-07,7.77984867040364e-10,10.3589304140754
"29","First-level hospital cardiometabolic 
and respiratory disease package","LMIC",1.54795614096093e-08,2.00624585668619e-05,1.19031456594155e-07,7.68958844791707
"30","Outpatient cardiometabolic and 
respiratory disease package","LMIC",5.33678823704241e-08,2.96619084776575e-05,1.76008311771527e-07,3.29801940706324
"31","Outpatient mental, neurological, and 
substance use disorder package","LMIC",5.66652216551278e-09,3.19883218930802e-06,1.85255927437231e-08,3.26930561685126
"32","First-level hospital surgical package","LMIC",1.06568393837044e-08,2.50700214512446e-06,1.48294219173293e-08,1.39154034168941
"33","Referral hospital NCDs package","LMIC",3.07230664891045e-09,6.04778758175498e-07,3.59444803280088e-09,1.16995093379614
