"","Intervention package","wb2021","Incremental cost (billions)","DALY.ave (millions)","benefit (billions)","BCR"
"1","Tobacco tax","LIC",9.75773446407842e-14,7.63608888542957e-08,6.21386872895212e-12,63.6814698312145
"2","Alcohol regulations","LIC",1.09089650419615e-13,1.95509763492235e-08,1.53992668468641e-12,14.1161574793123
"3","Alcohol tax","LIC",6.00207901218645e-14,6.89976282596141e-09,5.43142483251108e-13,9.04923914110972
"4","Tobacco regulations","LIC",5.7868700077791e-13,2.73472601424428e-08,2.22729547344832e-12,3.84887766694991
"5","Trans fat regulations","LIC",3.81485994698851e-12,2.0494462403069e-08,8.02961136371072e-12,2.10482467909454
"6","First-level hospital cardiometabolic 
and respiratory disease package","LIC",1.1496616093473e-09,1.84379039048213e-06,2.4049638914222e-09,2.09188849298671
"7","Outpatient mental, neurological, and 
substance use disorder package","LIC",4.65230845663584e-10,5.24148749062652e-07,6.6695069081934e-10,1.43359086577338
"8","Outpatient cardiometabolic and 
respiratory disease package","LIC",2.53633513308336e-09,2.67336043895353e-06,3.48883010835342e-09,1.37553987359397
"9","Sodium regulations","LIC",7.61305151215157e-12,2.50403288071533e-08,9.78655228193894e-12,1.28549665877318
"10","Referral hospital NCDs package","LIC",3.41728264134089e-11,3.08264454924317e-08,4.05543938023121e-11,1.18674391493702
"11","First-level hospital surgical package","LIC",6.22542529812864e-10,5.14438724004276e-07,6.71449534746544e-10,1.07856010246943
"12","Tobacco tax","LIC+LMIC",1.38786793864625e-12,9.35348619987482e-07,3.17936556995851e-10,229.082716116327
"13","Alcohol regulations","LIC+LMIC",1.58342968880832e-12,1.44943359469066e-07,4.58135078572231e-11,28.9330863132306
"14","Alcohol tax","LIC+LMIC",1.21682418571665e-12,7.41915590760221e-08,2.42998772668541e-11,19.9699164037759
"15","Tobacco regulations","LIC+LMIC",8.48426399274791e-12,3.86923826192663e-07,1.32698881760718e-10,15.6405884911343
"16","Trans fat regulations","LIC+LMIC",5.61791129293092e-11,4.98026308392829e-07,8.42383365177432e-10,14.9946006843756
"17","Sodium regulations","LIC+LMIC",6.50984095294957e-11,3.45653023052076e-07,5.69545955599556e-10,8.74899954877544
"18","First-level hospital cardiometabolic 
and respiratory disease package","LIC+LMIC",1.29333994887081e-08,1.65458026109189e-05,8.80082618952069e-08,6.80472771076506
"19","Outpatient cardiometabolic and 
respiratory disease package","LIC+LMIC",4.32098322772794e-08,2.44073132725286e-05,1.30052178292144e-07,3.00978206667394
"20","Outpatient mental, neurological, and 
substance use disorder package","LIC+LMIC",4.80026472016802e-09,2.92861479504425e-06,1.42827851659914e-08,2.97541614861012
"21","First-level hospital surgical package","LIC+LMIC",8.76662103158557e-09,2.35760650689311e-06,1.13650426343895e-08,1.29639944437452
"22","Referral hospital NCDs package","LIC+LMIC",2.3721444189266e-09,4.73286342277699e-07,2.62126597357422e-09,1.10501955642328
"23","Tobacco tax","LMIC",1.29029059400547e-12,8.58987731133186e-07,3.11722688266899e-10,241.59107236395
"24","Alcohol regulations","LMIC",1.47434003838871e-12,1.25392383119843e-07,4.42735811725367e-11,30.0294233485803
"25","Alcohol tax","LMIC",1.15680339559478e-12,6.72917962500607e-08,2.3756734783603e-11,20.5365361772544
"26","Tobacco regulations","LMIC",7.90557699197e-12,3.5957656605022e-07,1.3047158628727e-10,16.5037398813262
"27","Trans fat regulations","LMIC",5.23642529823207e-11,4.7753184598976e-07,8.34353753813722e-10,15.9336514185625
"28","Sodium regulations","LMIC",5.74853580173441e-11,3.20612694244923e-07,5.59759403317617e-10,9.73742571367009
"29","First-level hospital cardiometabolic 
and respiratory disease package","LMIC",1.17837378793608e-08,1.47020122204367e-05,8.56032980037847e-08,7.26452835935179
"30","Outpatient mental, neurological, and 
substance use disorder package","LMIC",4.33503387450444e-09,2.4044660459816e-06,1.3615834475172e-08,3.14088306327907
"31","Outpatient cardiometabolic and 
respiratory disease package","LMIC",4.0673497144196e-08,2.17339528335751e-05,1.26563348183791e-07,3.11169083236431
"32","First-level hospital surgical package","LMIC",8.14407850177271e-09,1.84316778288884e-06,1.06935930996429e-08,1.31305132892755
"33","Referral hospital NCDs package","LMIC",2.33797159251319e-09,4.42459896785268e-07,2.58071157977191e-09,1.1038250370689
