"","Code","Intervention","WB_Region","Baseline.cost","Adjusted.cost","Incremental.cost","Deaths.avert","DALYS.Baseline","DALYS.Adjusted","DALYS.avert","Gross.benefits","Forgone.surplus","BCR","BCR.without.surplus"
"1",5.1,"Tobacco tax","LIC",666337.608273832,2477922.80770851,1811585.19943468,123018.260655808,116033763.734397,115265140.8802,768622.854197027,1129965706.53361,10169691.3588025,94.3109610266658,623.744169960223
"2",5.4,"Alcohol regulations","LIC",1117421.05233829,2005564.77222316,888143.719884869,19331.4492841706,41412761.2800934,41261627.0434791,151134.236614318,217836362.913008,1960527.26621707,76.4694708429949,245.271523105794
"3",5.3,"Tobacco regulations","LIC",1507309.00524942,2637834.08910114,1130525.08385172,26377.0707598741,116033763.734397,115852680.892481,181082.841915543,266413216.01139,2397718.94410251,75.5087272593963,235.654405034264
"4",5.2,"Alcohol tax","LIC",1837162.12247204,2478101.52063438,640939.398162333,5881.3005878428,41412761.2800934,41368294.0973495,44467.1827439083,64027446.0234538,576247.014211084,52.6028267918349,99.8962557256269
"5",4.3,"Treatment of early-stage breast cancer","LIC",1047344.09353363,6325121.56312093,5277777.4695873,9948.66885985451,8055266.83080412,7926844.00164268,128422.829161443,185637626.760311,0,35.1734471242924,35.1734471242924
"6",2.5,"Aspirin for suspected ACS","LIC",563069.123290125,1142636.13812202,579567.014831895,2331.59060988034,30930186.2969468,30916598.0773846,13588.2195622008,19515470.0659988,0,33.6724995842963,33.6724995842963
"7",1.2,"Pulmonary rehabilitation","LIC",7982325.36246019,15112733.1792662,7130407.81680606,8374.32549906892,10404625.6315269,10334740.6706588,69884.9608681522,100221996.321551,0,14.055577029596,14.055577029596
"8",2.13,"Epilepsy acute and chronic treatment","LIC",55477197.174004,248343886.329046,192866689.155042,19322.7234993954,9209177.13985335,7338582.88711839,1870594.25273496,2625333397.75767,0,13.6121660472286,13.6121660472286
"9",2.7,"Heart failure chronic treatment","LIC",237928985.537256,530785383.956445,292856398.419188,366464.663133612,41017572.3993953,38414258.4955546,2603313.90384066,3727379169.0392,0,12.7276685404835,12.7276685404835
"10",1.1,"IDU harm reduction measures","LIC",1060756.22430817,45235462.4585315,44174706.2342233,4262.58116505165,7744858.02961083,7381469.39669755,363388.632913277,525744380.595252,0,11.9014799511659,11.9014799511659
"11",5.6,"Trans fat regulations","LIC",5748702.4029406,28955694.643223,23206992.2402824,24588.6104740306,30930186.2969468,30764202.0373128,165984.259634005,238366425.86345,238366.42586345,10.1668918466,10.2713192384189
"12",5.5,"Salt regulations","LIC",0,52311354.6594287,52311354.6594287,35979.2341768796,64076453.3178157,63849336.3175273,227117.000288396,325655081.478917,325655.081478917,6.18680816182135,6.22532304122276
"13",2.1,"Depression chronic treatment","LIC",93030314.8056389,202843112.81704,109812798.011401,3550.1702384888,28591228.040196,28171176.7059342,420051.334261754,600497824.736398,0,5.4683774169387,5.4683774169387
"14",2.4,"CVD primary prevention","LIC",1282715615.05189,2722080470.55576,1439364855.50386,844936.042305466,64076453.3178157,58885711.3556734,5190741.96214231,7449827159.31919,0,5.17577397477257,5.17577397477257
"15",3.7,"Management of appendicitis","LIC",2249607.72357281,64559350.4766854,62309742.7531126,8265.49027087831,1078973.58056492,886262.265282355,192711.315282566,273624692.842475,0,4.39136290333675,4.39136290333675
"16",3.2,"Heart failure acute treatment","LIC",661187355.324146,3032406529.80658,2371219174.48243,912000.287758019,41017572.3993953,34707968.0888822,6309604.31051304,8994855041.16801,0,3.79334611408552,3.79334611408552
"17",3.9,"Repair of gastrointestinal perforations","LIC",317461.335470942,9951876.12933063,9634414.79385969,2055.81415012133,2499717.58898565,2475242.77086807,24474.8181175725,34980118.1415351,0,3.63074653624308,3.63074653624308
"18",3.3,"Cervical cancer screening and treatment","LIC",125521612.636389,770695351.236436,645173738.600047,119206.567717449,7036804.69933696,5601235.76964718,1435568.92968978,2068911415.61773,0,3.20675082049531,3.20675082049531
"19",3.6,"Management of bowel obstruction","LIC",14154059.8750627,438274314.809826,424120254.934763,53365.6019396415,4753916.13631871,3901884.43737712,852031.698941591,1223953337.76343,0,2.88586391129019,2.88586391129019
"20",3.1,"Medical management of ACS","LIC",354607487.585795,1217216605.75237,862609118.166579,247599.670419272,30930186.2969468,29386153.9234052,1544032.37354158,2217269226.063,0,2.57042173490545,2.57042173490545
"21",2.6,"CVD secondary prevention","LIC",2305015056.7486,4495476466.04916,2190461409.30057,505675.46515134,39084260.4533058,35993726.4300812,3090534.02322461,4438629198.04438,0,2.02634439447243,2.02634439447243
"22",4.4,"Treatment of early-stage colorectal cancer","LIC",8769267.13308625,55694584.2930889,46925317.1600027,5813.07116976407,3054229.78945434,2998781.29331623,55448.4961381033,80075563.0858972,0,1.70644692315794,1.70644692315794
"23",3.4,"Asthma/COPD acute treatment","LIC",581704963.410544,2909437411.10701,2327732447.69647,228377.547263388,19518056.8647205,16853112.519996,2664944.34472442,3802476133.59444,0,1.63355377777948,1.63355377777948
"24",2.12,"Schizophrenia chronic treatment","LIC",260060110.068251,502924164.620398,242864054.552147,31.9244661712673,2914940.81971629,2765392.18964889,149548.630067402,208760945.318204,0,0.85957942892442,0.85957942892442
"25",3.8,"Repair of hernias","LIC",65974558.0462586,2201847609.37212,2135873051.32586,37472.8228218745,5408345.26861033,4349992.03251118,1058353.23609915,1509668743.46748,0,0.70681576441556,0.70681576441556
"26",2.9,"Alcohol use screening/brief intervention","LIC",19063397.9275164,815132634.33165,796069236.404133,7405.29588892035,12217263.8709794,11927606.2093679,289657.661611504,415466113.642539,0,0.521896959012273,0.521896959012273
"27",2.3,"Diabetes screening and treatment","LIC",4510251114.90105,8644032724.75386,4133781609.85281,85696.0862548888,54569406.4762469,53350136.1967259,1219270.279521,1751928107.39252,0,0.423807610739963,0.423807610739963
"28",2.14,"Asthma/COPD chronic treatment","LIC",976500699.567601,2137752179.84047,1161251480.27287,18053.1707706801,9113431.23319354,8794801.93281466,318629.300378878,454980132.176326,0,0.391801551951018,0.391801551951018
"29",2.11,"Bipolar disorder chronic treatment","LIC",99483696.3690369,1182390086.89393,1082906390.52489,95.0678054262771,3163020.88947938,2925406.78634052,237614.103138856,331818402.418123,0,0.30641466826813,0.30641466826813
"30",4.2,"Management of acute ventilatory failure","LIC",25244069.0958319,143871903.346894,118627834.251062,2540.5096950571,19518056.8647205,19492846.1982784,25210.6664420821,36098159.6914419,0,0.304297553094026,0.304297553094026
"31",5.1,"Tobacco tax","LIC/LMC",11562489.9823649,56818895.8524573,45256405.8700924,1553546.55885519,945795724.396154,936361104.450408,9434619.94574619,51311170804.1587,461800537.237428,101.194099600917,1133.78802000862
"32",5.3,"Tobacco regulations","LIC/LMC",42313338.5395831,63415075.1129099,21101736.5733269,329337.610035974,945795724.396154,943771545.243901,2024179.15225316,11007371411.6626,99066342.7049638,91.5997948687461,521.633438717847
"33",5.4,"Alcohol regulations","LIC/LMC",13690013.3092677,39525874.1900844,25835860.8808167,152728.513878295,284096271.157464,282925455.640974,1170815.51648997,6268178901.03765,56413610.1093388,76.2093521767197,242.615445637882
"34",2.5,"Aspirin for suspected ACS","LIC/LMC",14629050.0009661,26436368.5554348,11807318.5544687,23590.8439449948,318313467.801186,318173404.995654,140058.736483745,745053735.860819,0,63.1010108200087,63.1010108200087
"35",5.2,"Alcohol tax","LIC/LMC",13918322.2354235,42554145.5564954,28635823.3210719,72252.8956979169,284096271.157464,283547752.529758,548517.875794502,2935372502.01494,26418352.5181344,53.3178901921648,102.507005616804
"36",2.7,"Heart failure chronic treatment","LIC/LMC",2680911510.36897,5077728719.07982,2396817208.71085,2772451.71046252,367632929.910897,349325577.669077,18307352.2418192,97216696834.2129,0,40.5607471779217,40.5607471779217
"37",5.6,"Trans fat regulations","LIC/LMC",553487402.838553,805568723.372875,252081320.534322,311497.828707041,318313467.801186,316328073.804872,1985393.99631381,10557876082.3804,10557876.0823804,40.1991637896632,41.8828180525295
"38",4.3,"Treatment of early-stage breast cancer","LIC/LMC",39968417.7101258,128452340.105432,88483922.3953065,57036.0997640977,43275515.533858,42631329.0570696,644184.984023568,3436988974.28633,0,38.8430901484159,38.8430901484159
"39",5.5,"Salt regulations","LIC/LMC",1341565360.28556,1755762967.27157,414197606.986015,469311.878251256,545063411.234826,542127829.510571,2935581.72425505,15605926768.7619,15605926.7687619,36.3094426712317,37.6774913846588
"40",2.13,"Epilepsy acute and chronic treatment","LIC/LMC",2579524839.22494,3542361522.86622,962836683.64128,66375.235796035,39434846.8599288,33571313.7620093,5863533.09791952,30548757406.9033,0,31.7278702877971,31.7278702877971
"41",1.1,"IDU harm reduction measures","LIC/LMC",18404707.4432978,541711028.057497,523306320.614199,29175.8669141465,62372620.7823779,59442147.2732978,2930470.15779939,15715592727.2431,0,30.0313451379641,30.0313451379641
"42",2.1,"Depression chronic treatment","LIC/LMC",756313124.102125,1373807489.21868,617494365.116551,22553.4510225895,208788212.871829,206089646.040249,2698565.95727879,14264695162.5804,0,23.1009317143938,23.1009317143938
"43",1.2,"Pulmonary rehabilitation","LIC/LMC",278613263.317179,506619901.852612,228006638.535433,132223.200763332,128384771.16596,127466938.317522,917832.848437425,4877515423.07552,0,21.3919886473724,21.3919886473724
"44",2.4,"CVD primary prevention","LIC/LMC",18326839892.8692,33497967435.1046,15171127542.2355,7451206.91058023,545063411.234826,499545644.947645,45517766.2871809,242007043526.237,0,15.9518165576359,15.9518165576359
"45",3.2,"Heart failure acute treatment","LIC/LMC",22431558216.7924,40259269868.9082,17827711652.1158,6051094.35029372,367632929.910897,328103183.012245,39529746.8986511,209381181066.717,0,11.7447031426418,11.7447031426418
"46",3.7,"Management of appendicitis","LIC/LMC",63180614.4115608,575038156.710583,511857542.299022,45639.4960050754,4602935.81654004,3787888.00366716,815046.724053442,4288503139.42533,0,8.37831385694427,8.37831385694427
"47",3.1,"Medical management of ACS","LIC/LMC",12810209983.4221,22343635701.0081,9533425717.58596,2097846.70778536,318313467.801186,305331115.261516,12982352.5396699,69045064831.6065,0,7.24241913420919,7.24241913420919
"48",3.4,"Asthma/COPD acute treatment","LIC/LMC",18439928548.7235,34376543133.8711,15936614585.1476,2307721.37173264,178111273.370437,159159262.931259,18952010.4391776,100348643958.201,0,6.29673532117185,6.29673532117185
"49",2.6,"CVD secondary prevention","LIC/LMC",39491554191.4611,69402567358.6344,29911013167.1732,5121562.43901724,384923783.872772,353799487.23556,31124296.6372122,165533606099.473,0,5.53420257529567,5.53420257529567
"50",3.9,"Repair of gastrointestinal perforations","LIC/LMC",17181867.6594958,169567940.251382,152386072.591887,13948.3897205294,13628232.9993543,13500047.3595041,128182.125764677,677998201.773227,0,4.44921369939765,4.44921369939765
