"","Code","Intervention","WB_Region","Baseline.cost","Adjusted.cost","Incremental.cost","Deaths.avert","DALYS.Baseline","DALYS.Adjusted","DALYS.avert","Gross.benefits","Forgone.surplus","BCR","BCR.without.surplus"
"1",5.1,"Tobacco tax","LIC",764449.573702193,2925270.8641054,2160821.29040321,123018.260655808,133145931.986021,132207782.585705,938149.400315963,1387390967.75716,12486518.7098144,94.7196533798317,642.066502176251
"2",5.4,"Alcohol regulations","LIC",1281462.75785039,2340950.41873626,1059487.66088587,19331.4492841706,47561669.9538007,47378849.343649,182820.610151716,265329838.79177,2387968.54912593,76.9639475104056,250.432212273166
"3",5.3,"Tobacco regulations","LIC",1728807.31130028,3077329.78277093,1348522.47147065,26377.0707598741,133145931.986021,132924834.191885,221097.794135252,327207167.661421,2944864.50895278,76.2118973093709,242.641242236461
"4",5.2,"Alcohol tax","LIC",2107495.54257442,2871951.15535845,764455.612784026,5881.3005878428,47561669.9538007,47507904.504727,53765.4490737408,77954052.5686159,701586.473117543,53.1731341946276,101.973288265514
"5",4.3,"Treatment of early-stage breast cancer","LIC",1204019.292862,7508588.07312864,6304568.78026664,9948.66885985451,9291094.72298886,9135544.66554254,155550.057446323,226384406.703549,0,35.9079922186168,35.9079922186168
"6",2.5,"Aspirin for suspected ACS","LIC",647558.488038882,1340119.71615866,692561.228119775,2331.59060988034,35512209.9648428,35495799.2889011,16410.6759416635,23735050.9508913,0,34.2714116632392,34.2714116632392
"7",1.2,"Pulmonary rehabilitation","LIC",9174126.73734625,17692637.5026803,8518510.76533402,8374.32549906892,11923584.5214921,11839239.1846014,84345.3368907006,121817257.135171,0,14.3002997226822,14.3002997226822
"8",2.13,"Epilepsy acute and chronic treatment","LIC",63623654.0482838,293679751.663197,230056097.614913,19322.7234993954,10539480.8843975,8303953.8057348,2235527.07866268,3164407758.12085,0,13.75493973395,13.75493973395
"9",2.7,"Heart failure chronic treatment","LIC",273449911.802387,623371042.049012,349921130.246625,366464.663133612,47082952.4840273,43943250.0638199,3139702.42020732,4527466340.13717,0,12.9385337117144,12.9385337117144
"10",1.1,"IDU harm reduction measures","LIC",1217725.58162729,53941832.4998324,52724106.9182051,4262.58116505165,8939912.8664467,8499590.87266535,440321.993781344,641376595.601376,0,12.1647692695182,12.1647692695182
"11",5.6,"Trans fat regulations","LIC",6592111.34797121,34273672.8594985,27681561.5115273,24588.6104740306,35512209.9648428,35311756.3157614,200453.649081427,289893440.578514,289893.440578514,10.3639028100213,10.4724381410996
"12",5.5,"Salt regulations","LIC",0,62396042.4872965,62396042.4872965,35979.2341768796,73518455.9527163,73244364.5424123,274091.410303938,395796517.436522,395796.517436522,6.30331144476734,6.34329521006247
"13",2.1,"Depression chronic treatment","LIC",106833410.455856,237948797.953892,131115387.498036,3550.1702384888,32758583.5344786,32252347.3888542,506236.145624455,728995963.320078,0,5.55995735688152,5.55995735688152
"14",2.4,"CVD primary prevention","LIC",1473833443.94379,3193381764.60827,1719548320.66448,844936.042305466,73518455.9527163,67251475.0572337,6266980.89548255,9058022437.15067,0,5.26767542865582,5.26767542865582
"15",3.7,"Management of appendicitis","LIC",2580481.46809499,76910483.5481726,74330002.0800776,8265.49027087831,1231981.5048674,1000442.44223919,231539.06262821,331246221.558471,0,4.45642691092099,4.45642691092099
"16",3.2,"Heart failure acute treatment","LIC",760402411.84255,3594202155.73184,2833799743.88929,912000.287758019,47082952.4840273,39488120.4165752,7594832.06745206,10905783037.8799,0,3.84846637854236,3.84846637854236
"17",3.9,"Repair of gastrointestinal perforations","LIC",364572.42649202,11866808.2852298,11502235.8587378,2055.81415012133,2858691.68510669,2829197.7025817,29493.9825249884,42456896.4547792,0,3.69118638986405,3.69118638986405
"18",3.3,"Cervical cancer screening and treatment","LIC",144152749.11064,914441317.393646,770288568.283006,119206.567717449,8098308.10836842,6361853.53032871,1736454.5780397,2519878938.77542,0,3.27134406835648,3.27134406835648
"19",3.6,"Management of bowel obstruction","LIC",16252087.1958093,522497989.497586,506245902.301777,53365.6019396415,5457427.00951995,4428317.74981097,1029109.25970897,1488722210.87975,0,2.94070965139845,2.94070965139845
"20",3.1,"Medical management of ACS","LIC",407884987.965644,1438673169.80445,1030788181.83881,247599.670419272,35512209.9648428,33647565.883953,1864644.08088976,2696536351.6473,0,2.61599463319126,2.61599463319126
