"","Code","Intervention","WB_Region","Baseline.cost","Adjusted.cost","Incremental.cost","Deaths.avert","DALYS.Baseline","DALYS.Adjusted","DALYS.avert","Gross.benefits","Forgone.surplus","BCR","BCR.without.surplus"
"1",5.1,"Tobacco tax","LIC",764449.573702193,2925311.6741382,2160862.100436,158311.72547343,133145931.986021,131939324.195535,1206607.79048581,1784438153.8618,10974294.6462501,135.852063913284,825.799181494157
"2",5.4,"Alcohol regulations","LIC",1281462.75785039,2340954.43655193,1059491.67870154,24856.0737230502,47561669.9538007,47326609.6175417,235060.336259066,341146468.685001,2098050.78241276,108.041767572814,321.990701336224
"3",5.3,"Tobacco regulations","LIC",1728807.31130028,3077337.76504808,1348530.4537478,33917.0025602283,133145931.986021,132861652.167408,284279.818612761,420712498.96372,2587381.86862688,106.890719229713,311.978493177138
"4",5.2,"Alcohol tax","LIC",2107495.54257442,2871952.56986848,764457.027294057,7561.8447066858,47561669.9538007,47492542.2897117,69127.6640890077,100227651.389044,616400.056042619,72.5836530069105,131.109595190483
"5",4.3,"Treatment of early-stage breast cancer","LIC",1204019.292862,7508657.45404579,6304638.16118379,12791.3101626763,9291094.72298886,9091099.49034388,199995.232644976,291069226.089137,0,46.1674752218428,46.1674752218428
"6",2.5,"Aspirin for suspected ACS","LIC",647558.488038882,1340121.60319033,692563.115151446,2997.78598531262,35512209.9648428,35491110.4450944,21099.5197484277,30516615.8953783,0,44.0632993986478,44.0632993986478
"7",1.2,"Pulmonary rehabilitation","LIC",9174126.73734625,17692819.9687351,8518693.23138889,10767.4672331149,11923584.5214921,11815138.6839064,108445.837585645,156624997.106013,0,18.3860356103557,18.3860356103557
"8",2.13,"Epilepsy acute and chronic treatment","LIC",63623654.0482838,293680586.303198,230056932.254915,24843.6561384148,10539480.8843975,7736958.21664527,2802522.66775222,3961318640.23691,0,17.2188623112107,17.2188623112107
"9",2.7,"Heart failure chronic treatment","LIC",273449911.802387,623792215.385336,350342303.582949,462849.199086565,47082952.4840273,43108968.7876843,3973983.69634291,5726520635.11251,0,16.3455014611351,16.3455014611351
"10",1.1,"IDU harm reduction measures","LIC",1217725.58162729,53941904.1396596,52724178.5580323,5480.48872892123,8939912.8664467,8373782.00909583,566130.857350869,824631053.468545,0,15.6404722846633,15.6404722846633
"11",5.6,"Trans fat regulations","LIC",6592111.34797121,34273806.350545,27681695.0025738,31617.4209677725,35512209.9648428,35254472.8167753,257737.148067496,372737090.85158,149094.836340632,13.3929756578593,13.465110818428
"12",5.5,"Salt regulations","LIC",0,62396434.5211527,62396434.5211527,46277.9187384934,73518455.9527163,73166001.0350538,352454.917662522,508960522.937639,203584.209175056,8.13035735868021,8.15688471374272
"13",2.1,"Depression chronic treatment","LIC",106833410.455856,237948965.673056,131115555.2172,4564.51335097577,32758583.5344786,32108001.147772,650582.386706654,936842737.589164,0,7.14516851976285,7.14516851976285
"14",2.4,"CVD primary prevention","LIC",1473833443.94379,3194322946.22399,1720489502.2802,1089512.60495273,73518455.9527163,65451908.7812279,8066547.1714884,11659857140.9974,0,6.77705799747361,6.77705799747361
"15",3.7,"Management of appendicitis","LIC",2580481.46809499,76910559.0854803,74330077.6173853,10627.1070138056,1231981.5048674,936672.349066759,295309.155800645,422332263.251884,0,5.68184881261449,5.68184881261449
