"year","PopTotal","GDP","wb2023","GDP_pc"
2020,6351556949,31384145230298.1,"All LMICs",4941.17355512954
2030,7047849396,50691113735681.6,"All LMICs",7192.42294882908
2040,7660363963,79438866507062.6,"All LMICs",10370.1164710655
2050,8176236788,123398390997337,"All LMICs",15092.3211003924
2020,613166571,423723342724.771,"LIC",691.041166894878
2030,792347461,732792106272.994,"LIC",924.836820134638
2040,991969633,1279934909401.72,"LIC",1290.29646354277
2050,1201459503,2228882865926.14,"LIC",1855.14606223573
2020,3301659369,8156801580858.52,"LMIC",2470.51578289526
2030,3725250915,13895811299763.4,"LMIC",3730.16787776921
2040,4105772859,23099563083660.4,"LMIC",5626.11812122663
2050,4428634572,38034821944875.4,"LMIC",8588.38572623494
2020,2436731009,22803620306714.8,"UMIC",9358.28379188767
2030,2530251020,36062510329645.2,"UMIC",14252.5425519422
2040,2562621471,55059368514000.5,"UMIC",21485.5643477126
2050,2546142713,83134686186535.2,"UMIC",32651.2279779406
