Code,,Conflict-affected states ,Vulnerable countries,Health System category 1 (HS1),Health System category 2 (HS2),Health System category 3 (HS3)
1.1,IDU harm reduction measures,h,h,h,h ,h 
1.2,Pulmonary rehabilitation,h,h,h,h,h
2.1,Depression chronic treatment,h,h,,h,h
2.3,Diabetes screening/treatment,,,,,
2.4,CVD primary prevention,h,h,,h,h
2.5,Aspirin for suspected ACS,h,h,h,h,h
2.6,CVD secondary prevention,,,,,
2.7,Heart failure chronic treatment,h,h,h,h,h
NA,Cervical cancer screening f,,,,,
2.9,Alcohol use screening/brief intervention,,,,,
2.11,Bipolar disorder chronic treatment,,,,,
2.12,Schizophrenia chronic treatment,,,,,
2.13,Epilepsy acute and chronic treatment,h,h,h,h,h
2.14,Asthma/COPD chronic treatment,,,,,
3.1,Medical management of ACS,h,h,h,h,h
3.2,Heart failure acute treatment,h,h,h,h,h
3.3,Treatment of early-stage cervical cancer,,,,,
3.4,Asthma acute treatment,h,h,,h,h
3.6,Management of bowel obstruction,h,,h,h,
3.7,Management of appendicitis,,,,h,
3.8,Repair of hernias,,,,,
3.9,Repair of gastrointestinal perforations,,,,,
4.1,PCI for ACS,,,,,h
4.2,Management of acute ventilatory failure g,,,,,h
4.3,Treatment of early-stage breast cancer,,,,h,h
4.4,Treatment of early-stage colorectal cancer,,,h,h,h
