"HLI_group","Code","DALYs.averted","Incremental.cost","ICER"
"China",1.1,889866.257696695,10168002.097135,11.4264385340934
"China",1.2,278433.168226579,385167323.627031,1383.33850841217
"China",2.1,114169.581894227,214974341.114391,1882.93884892699
"China",2.11,108891.553595296,2792074503.1368,25640.8730608598
"China",2.12,175117.102301017,4869795499.00628,27808.7944296575
"China",2.13,1171960.32496159,251797966.448165,214.851954528766
"China",2.14,150533.294283212,3017510382.7869,20045.4683274903
"China",2.3,2105451.63873241,101470020445.647,48193.9449849996
"China",2.4,16886504.1178081,13750614245.2916,814.296088128184
"China",2.5,861161.747296151,18573293.7196896,21.56771800188
"China",2.6,9497041.16313084,27968414935.0025,2944.96090462161
"China",2.7,4824420.43663379,4167924475.76066,863.922315748419
"China",2.9,288677.253756747,2363486526.58499,8187.29739121245
"China",3.1,3489099.17857384,4556156380.45034,1305.82598752973
"China",3.2,13304906.7654824,34037881522.0856,2558.29538094862
"China",3.3,1168269.08976604,4518007570.6542,3867.26620624619
"China",3.4,4681187.65680253,10850196734.8427,2317.82990350229
"China",3.6,329203.816761132,4774344773.74425,14502.7017630494
"China",3.7,34689.5126348791,4936676970.86512,142310.358258002
"China",3.8,1155608.84433885,10544120594.4773,9124.29897549792
"China",3.9,9618.16672088834,80285461.5293588,8347.27280771689
"China",4.1,309222.754125938,2192094986.64967,7089.04812922302
"China",4.2,48736.7415466793,187890296.537054,3855.20842334311
"China",4.3,115405.16751768,88006217.6391931,762.584722436373
"China",4.4,223456.624645411,1266018675.40361,5665.61263248549
"China",5.1,16357161.8867879,21598085.1908386,1.32040541875935
"China",5.2,1445816.44583727,21598085.1908386,14.9383313857183
"China",5.3,4498636.82568777,124728941.977093,27.725941615219
"China",5.4,0,0,NA
"China",5.5,8284412.81677208,94761598.7748042,11.438541375311
"China",5.6,1384962.81927275,46975835.2900738,33.9184811580293
"Eurasia and the Mediterranean",1.1,899080.942126579,5666408.28143645,6.30244510358968
"Eurasia and the Mediterranean",1.2,263438.505843358,151183638.999885,573.885880941715
"Eurasia and the Mediterranean",2.1,222892.351611076,225482120.880268,1011.61892389072
"Eurasia and the Mediterranean",2.11,211604.995886128,4230086579.49006,19990.4853936739
"Eurasia and the Mediterranean",2.12,337062.075982303,2355621083.32408,6988.68621294482
"Eurasia and the Mediterranean",2.13,2614893.41757459,214499027.926948,82.0297402889573
"Eurasia and the Mediterranean",2.14,492973.434422876,2938017001.9561,5959.7876818568
"Eurasia and the Mediterranean",2.3,4160192.04281857,51327039988.527,12337.6612089649
"Eurasia and the Mediterranean",2.4,21650106.1335266,7698651684.18365,355.59417753901
"Eurasia and the Mediterranean",2.5,1488141.77684966,8313110.66712993,5.58623566413708
"Eurasia and the Mediterranean",2.6,14723034.039831,18697256293.6151,1269.93228726039
"Eurasia and the Mediterranean",2.7,9068861.85705989,1413998436.79845,155.917959616695
"Eurasia and the Mediterranean",2.9,505391.758264235,1690212396.41305,3344.36082261823
"Eurasia and the Mediterranean",3.1,5606361.3666235,5361547147.21818,956.332779249162
"Eurasia and the Mediterranean",3.2,19986529.5252754,13158053810.039,658.346102228456
"Eurasia and the Mediterranean",3.3,1099315.35382676,2635723242.43542,2397.60432096246
"Eurasia and the Mediterranean",3.4,5958135.76017778,7890489651.46256,1324.32189682551
"Eurasia and the Mediterranean",3.6,642115.824286387,2948670829.46312,4592.11674582248
"Eurasia and the Mediterranean",3.7,228255.448031887,4513099188.26154,19772.1422519171
"Eurasia and the Mediterranean",3.8,1949880.74106753,9675869560.58989,4962.28787576644
"Eurasia and the Mediterranean",3.9,17581.5105559228,49232941.7765131,2800.26802133493
"Eurasia and the Mediterranean",4.1,508150.485560487,3131331098.80443,6162.21215522522
"Eurasia and the Mediterranean",4.2,54383.33955779,191216195.23366,3516.0804170635
"Eurasia and the Mediterranean",4.3,173722.809277154,56415711.0865011,324.745560593005
"Eurasia and the Mediterranean",4.4,151103.522531074,482165559.573341,3190.96174263035
"Eurasia and the Mediterranean",5.1,12832782.7431034,12290964.3135857,0.957778570683828
"Eurasia and the Mediterranean",5.2,1590050.85411121,10978584.4464577,6.9045492589571
"Eurasia and the Mediterranean",5.3,2627836.81203459,46706887.0163847,17.773891743385
"Eurasia and the Mediterranean",5.4,1609213.98775653,11300043.6658215,7.02208889047463
"Eurasia and the Mediterranean",5.5,14293485.8647296,101242187.94416,7.08309987516651
"Eurasia and the Mediterranean",5.6,4259715.53154624,29144059.4799529,6.84178538780825
"India",1.1,354765.883018694,1950376.97589936,5.49764526200674
"India",1.2,405871.797759134,57179086.6666727,140.879674277358
"India",2.1,325067.550823574,123223650.635002,379.070904871338
"India",2.11,310876.74033605,1034221494.74659,3326.78956176851
"India",2.12,492771.964187513,849035548.548288,1722.97859913395
"India",2.13,1951258.13232186,68252310.8401568,34.9786169802871
"India",2.14,418779.430302178,1291250772.47458,3083.36723115282
"India",2.3,2306791.7181993,21460719126.8767,9303.27560896096
"India",2.4,13765513.413258,3083388551.15377,223.993719564725
"India",2.5,1199967.36449273,2317885.7751232,1.93162401221058
"India",2.6,10588577.7477697,6777922805.10732,640.1164506286
"India",2.7,5062487.13650277,217463056.680506,42.9557746650853
