"HLI_group","Country","iso3","Cumulative deaths averted","Cumulative DALYs averted","Cumulative incremental cost","Total cost (2030)","pop","GGHED"
"China","China","CHN",14656041.8154069,121421825.452213,519300550170.654,259936997665.179,1412360000,729999763132.969
"Eurasia and the Mediterranean","Afghanistan","AFG",202357.817965641,2864147.26789562,1735870897.76873,661668818.607077,39835428,215842074.283403
"Eurasia and the Mediterranean","Albania","ALB",52359.3429668981,309485.980259506,615345149.837434,264297446.693091,2811666,948750532.086781
"Eurasia and the Mediterranean","Algeria","DZA",312391.386380189,3075379.41636848,7185516484.71546,3622162490.65531,44616626,4648857998.2507
"Eurasia and the Mediterranean","Armenia","ARM",47286.8510886016,375609.850511961,858974825.385119,283672489.813324,2968128,317513994.016393
"Eurasia and the Mediterranean","Azerbaijan","AZE",129126.979206118,1330237.83795728,1834233660.65169,920537549.111323,10145212,887542265.115656
"Eurasia and the Mediterranean","Bangladesh","BGD",1073078.11031867,13193486.6483413,19988671805.9184,6803005479.33006,166303494,2880845577.07823
"Eurasia and the Mediterranean","Belarus","BLR",143571.825550241,1036185.25734083,2163263420.92324,1158192853.2162,9340314,2809837578.63602
"Eurasia and the Mediterranean","Bhutan","BTN",6085.09254646103,81498.518838711,143347651.443151,44065115.2355373,779900,64197564.9690621
"Eurasia and the Mediterranean","Bosnia and Herzegovina","BIH",51938.8314971928,336094.533167592,984005753.302847,554421713.945476,3263459,1187872232.47263
"Eurasia and the Mediterranean","Bulgaria","BGR",108223.723064052,718749.329950179,2421754107.42553,1436625664.90922,6899125,4660237495.91449
"Eurasia and the Mediterranean","Cambodia","KHM",147014.39944167,1690340.57760182,1154400176.12111,430868951.729715,16946446,601065268.822423
"Eurasia and the Mediterranean","Djibouti","DJI",6508.48068853353,91258.9936494537,146652216.944128,47533641.8090104,1002197,31303053.185528
"Eurasia and the Mediterranean","Egypt","EGY",1020058.0187991,11319157.1297458,13679600366.7322,5689814184.71586,104258327,7530402855.9399
"Eurasia and the Mediterranean","Fiji","FJI",12277.6579060523,144490.474749046,258635630.490918,111845027.734211,902899,313034399.624698
"Eurasia and the Mediterranean","Georgia","GEO",57344.9110723499,405056.992038105,786789898.233634,426802944.524549,3708610,1119409621.08449
"Eurasia and the Mediterranean","Indonesia","IDN",3231425.14281961,36487449.6558746,52620978323.4916,16395331605.2169,276361788,53668011148.4414
"Eurasia and the Mediterranean","Iran","IRN",460822.017590797,3861535.9863624,17367286502.4405,10328069503.746,85028760,25466292219.9981
"Eurasia and the Mediterranean","Iraq","IRQ",270302.907472545,3271271.36101094,6064393465.78317,3228547764.19619,41179351,11461163829.1889
"Eurasia and the Mediterranean","Jordan","JOR",40156.7543808219,598286.635760458,1056019377.21725,755549298.140411,10269022,1521830338.61152
