"HLI_group","location_name","iso3","Cumulative deaths averted","Cumulative DALYs averted","Cumulative incremental cost","Total cost (2030)","pop","GGHED"
"China","China","CHN",14379710.8291042,113948845.319333,199320077742.664,122075015857.875,1412360000,729999763132.969
"Eurasia and the Mediterranean","Afghanistan","AFG",172899.567839799,2386893.19255031,698414739.10141,204658591.231761,39835428,215842074.283403
"Eurasia and the Mediterranean","Albania","ALB",51704.2248615017,295779.751219522,242846385.347672,127738591.697132,2811666,948750532.086781
"Eurasia and the Mediterranean","Algeria","DZA",302243.214093431,2823674.15024058,2451740560.14138,1544247516.51261,44616626,4648857998.2507
"Eurasia and the Mediterranean","Armenia","ARM",45526.5430272623,345944.341431969,346629219.244939,124168568.604154,2968128,317513994.016393
"Eurasia and the Mediterranean","Azerbaijan","AZE",126487.270319823,1257321.96631292,829467366.294549,476241561.696736,10145212,887542265.115656
"Eurasia and the Mediterranean","Bangladesh","BGD",1028797.74620129,12013723.9249315,6968334713.81042,2668583517.24772,166303494,2880845577.07823
"Eurasia and the Mediterranean","Belarus","BLR",139820.378448867,961674.715472269,1016230238.34781,629924248.844707,9340314,2809837578.63602
"Eurasia and the Mediterranean","Bhutan","BTN",5799.73373283953,73721.3619354095,47533734.6732593,16176195.4789849,779900,64197564.9690621
"Eurasia and the Mediterranean","Bosnia and Herzegovina","BIH",50095.7160547184,311406.19625501,313160318.269319,211495750.503274,3263459,1187872232.47263
"Eurasia and the Mediterranean","Bulgaria","BGR",106655.946603308,696923.500148936,1150422841.90667,724335698.015626,6899125,4660237495.91449
"Eurasia and the Mediterranean","Cambodia","KHM",140191.357213449,1546155.7433842,439207334.916911,174969320.145578,16946446,601065268.822423
"Eurasia and the Mediterranean","Djibouti","DJI",5971.62379411809,79249.7916280794,62507249.1083281,22360199.2477579,1002197,31303053.185528
"Eurasia and the Mediterranean","Egypt","EGY",995171.024894065,10644134.0051618,6624749118.56358,2841435793.2255,104258327,7530402855.9399
"Eurasia and the Mediterranean","Fiji","FJI",11171.1631460255,132553.982068021,49193373.7151587,27374312.255028,902899,313034399.624698
"Eurasia and the Mediterranean","Georgia","GEO",55632.7288132184,366268.975590277,289339208.462116,190189987.548798,3708610,1119409621.08449
"Eurasia and the Mediterranean","Indonesia","IDN",3072883.56607223,33717446.6497294,21460689034.594,7327060750.98413,276361788,53668011148.4414
"Eurasia and the Mediterranean","Iran","IRN",364545.114439069,2904520.40582432,3793911008.7488,3164278277.33754,85028760,25466292219.9981
"Eurasia and the Mediterranean","Iraq","IRQ",261873.794704877,3068001.18097447,1771017076.77174,1185485023.54203,41179351,11461163829.1889
"Eurasia and the Mediterranean","Jordan","JOR",38899.8290088872,575908.610804652,417247349.287711,334277027.150751,10269022,1521830338.61152
"Eurasia and the Mediterranean","Kazakhstan","KAZ",64991.8542292744,656901.675939215,955271399.177695,1098226800.58967,19002586,5023310842.07575
"Eurasia and the Mediterranean","Kyrgyzstan","KGZ",86730.3154739169,675081.391820521,228577510.112106,94260396.8245233,6694200,175570804.888385
"Eurasia and the Mediterranean","Laos","LAO",53002.2033802299,605811.319643979,235557885.985706,89830298.2458465,7379358,537646451.894053
"Eurasia and the Mediterranean","Lebanon","LBN",31163.0555562952,286064.90625505,297933386.854217,240177492.852962,6769151,3570554108.52167
"Eurasia and the Mediterranean","Libya","LBY",49477.7847412314,588267.070943935,454145939.003558,274167664.987248,6958538,NA
"Eurasia and the Mediterranean","Macedonia","MKD",31338.4039325118,218611.804719322,232396884.485882,104865273.018073,2065092,588263022.929728
"Eurasia and the Mediterranean","Malaysia","MYS",146316.411639538,1756026.58345852,3339627115.3823,2098080474.08809,32776195,11377766495.904
"Eurasia and the Mediterranean","Moldova","MDA",98434.3350515813,630176.269141454,254075499.311178,223796606.64922,2573928,NA
"Eurasia and the Mediterranean","Mongolia","MNG",37235.3605623875,410858.265192023,177364409.707347,85490327.5610937,3329282,426400451.377268
"Eurasia and the Mediterranean","Montenegro","MNE",5922.57294353166,49198.854133205,72597044.8123143,46678508.133998,620173,NA
"Eurasia and the Mediterranean","Morocco","MAR",456100.131276704,3745296.71124217,3613679307.04562,1355538649.02799,37344787,3050732226.79802
"Eurasia and the Mediterranean","Myanmar","MMR",511034.155815185,5170147.29310543,1717190395.37799,651968645.991258,54806014,1568473862.18115
"Eurasia and the Mediterranean","Nepal","NPL",324853.692846581,3300778.2388086,871317249.554432,230239504.776152,29674920,899334868.601099
"Eurasia and the Mediterranean","Pakistan","PAK",1601966.37237554,18787017.9515884,6398589550.97238,2539444843.65693,225199929,3715837605.89404
"Eurasia and the Mediterranean","Papua New Guinea","PNG",91348.4764571531,1147020.36315782,413676954.233619,141320766.737892,9119005,421391385.460914
"Eurasia and the Mediterranean","Philippines","PHL",1261798.31328236,17803656.8083622,7904161897.69928,2901587901.44064,111046910,16484245085.6141
"Eurasia and the Mediterranean","Romania","ROU",216007.903570542,1585561.05386826,3457141547.76296,2429008992.43412,19115146,17808514902.1413
"Eurasia and the Mediterranean","Russian Federation","RUS",1689795.39736602,13625770.8068329,22510604926.7492,14466642196.3721,143446060,60152951256.1049
"Eurasia and the Mediterranean","Serbia","SRB",90885.6817854804,614770.253042751,993614566.957556,678427814.911761,6844078,4144777301.08331
