"Code","Intervention","HSP","Incremental.cost","Deaths.avert","DALYS.avert","Gross.benefits","Forgone.surplus","BCR","BCR.without.surplus"
5.1,"Tobacco tax","HS1",22389890.3994793,621583.209804403,5826645.0177063,42466333502.3567,382197001.52121,104.962207996302,1896.67446980197
5.4,"Alcohol policy","HS1",18939570.5591982,304559.273569761,3164355.45000087,23062769990.5144,207564929.914629,101.82036093,1217.70289977951
5.3,"Tobacco policy","HS1",11694073.3941534,139041.079674292,1284621.32725292,9362704874.1744,84264343.8675696,97.5704387520063,800.636746375769
5.2,"Alcohol tax","HS1",13011783.1478628,89419.8071772096,895018.259101563,6523161058.58596,58708449.5272737,90.9528708326036,501.327218910606
5.6,"Trans fat policy","HS1",367848772.483208,146757.705358839,1172698.63495678,8546978780.84171,8546978.78084172,22.7074262983532,23.2350341232466
5.5,"Salt policy","HS1",0,0,0,0,0,NA,NA
5.5,"Salt policy","HS2",9037658366.90475,11607509.0220077,95236489.3077865,2033996683389.5,2033996683.3895,183.712071424718,225.057929921079
5.6,"Trans fat policy","HS2",10191594255.9881,11230718.3941973,92027627.6714656,1980989705228.11,1980989705.22811,162.741921644563,194.3748598571
5.1,"Tobacco tax","HS2",2960469782.54971,77865445.6054856,569167900.103302,12245547801757,110209930215.813,108.204511090658,4136.3529105879
5.3,"Tobacco policy","HS2",1261221895.24483,14261609.9509474,105582849.166934,2274405930843.27,20469653377.5894,104.662417058116,1803.3352730542
5.4,"Alcohol policy","HS2",1881374596.29019,6461100.04531472,60304292.5213092,1296268444256.49,11666415998.3084,95.6811692065349,689.000716185153
5.2,"Alcohol tax","HS2",1993699758.71344,2768309.15939353,25904911.6588173,553757531954.929,4983817787.59437,79.3631156467609,277.753723716292
5.5,"Salt policy","HS3",73361729989.574,45387407.6930275,283800444.227954,17559289510238,17559289510.238,193.126843570801,239.35217330253
5.1,"Tobacco tax","HS3",4827046746.35092,74936257.5926519,474917873.549551,30842144046040,277579296414.36,109.211938021125,6389.44382905668
5.3,"Tobacco policy","HS3",4185571750.02871,29331019.1703004,186366964.950076,12921979983414.8,116297819850.733,107.251130730396,3087.26758377183
5.6,"Trans fat policy","HS3",57252247681.061,19051768.1060658,119610099.215042,6814597913054.16,6814597913.05416,106.366996062627,119.027604837747
5.4,"Alcohol policy","HS3",1733235560.11579,6101372.81590021,52455546.9490059,2912430509120.3,26211874582.0827,104.219682595646,1680.34315481373
5.2,"Alcohol tax","HS3",3760121148.22715,6062953.11195344,45507626.7575734,2834952277812.59,25514570500.3133,96.8396973005839,753.952377079457
5.5,"Salt policy","conflict",9197868768.37818,10458576.2919643,72981551.3808315,1805367981233.77,1805367981.23377,164.076082548841,196.281119756844
5.6,"Trans fat policy","conflict",7161858352.66446,5475036.80466248,38296462.1179807,1013388866832.15,1013388866.83215,123.958192287493,141.498032623772
5.1,"Tobacco tax","conflict",473274895.659939,16397090.3301399,138900371.273247,3103041118127.83,27927370063.1505,109.259529937725,6556.53014048194
5.3,"Tobacco policy","conflict",403212178.511526,5312577.35160762,40239642.3059627,1082233893195.81,9740105038.76228,106.694276636916,2684.03076809564
5.4,"Alcohol policy","conflict",318240056.219991,1977795.18724723,18403660.2037242,424243722963.35,3818193506.67015,102.562682686224,1333.09341382871
5.2,"Alcohol tax","conflict",322802240.388467,947316.009281698,8513962.49589729,235512363188.551,2119611268.69696,96.4260811334686,729.58713949795
5.6,"Trans fat policy","fragile",1778087472.21573,992395.174641735,7592651.89074834,249120138041.535,249120138.041535,122.888320259374,140.105670803192
5.1,"Tobacco tax","fragile",87243478.2503715,2194982.56662881,18649046.0949604,692586589282.361,6233279303.54125,109.577421550886,7938.54856743303
5.3,"Tobacco policy","fragile",106634370.672277,1012479.40933789,8525466.31362497,266251446038.091,2396263014.34282,106.377292026491,2496.86329425971
5.4,"Alcohol policy","fragile",110362456.071823,515452.072066772,4755449.29654682,166585646439.693,1499270817.95724,103.49291924285,1509.4412753127
5.2,"Alcohol tax","fragile",66020054.2019906,164682.570332914,1566219.68766256,47934149345.7658,431407344.111892,96.3641116437233,726.054377342824
5.5,"Salt policy","fragile",4148112073.27041,1364769.97212543,10184420.9969945,397205853228.166,397205853.228166,87.3879142562308,95.7558152268064
