"wb2023","Code","Intervention","year_id","Incremental.cost","Deaths.avert","DALYS.avert","ICER"
"LIC",1.1,"IDU harm reduction measures",2050,4368827.05014805,2985.96460743767,121671.499227023,35.9067413313976
"LIC",1.2,"Pulmonary rehabilitation",2050,1161121.7076837,1623.06134494459,11535.849848939,100.653330520811
"LIC",2.1,"Depression chronic treatment",2050,16339104.1006532,1003.43541928839,64005.6256165906,255.276062740617
"LIC",2.11,"Bipolar disorder chronic treatment",2050,117983023.106922,21.0570976348654,22404.8256018473,5265.96480613508
"LIC",2.12,"Schizophrenia chronic treatment",2050,36378332.3529122,9.29364245115698,18796.5557742192,1935.37224531356
"LIC",2.13,"Epilepsy acute and chronic treatment",2050,19438241.1876027,4209.07600175064,173560.132455772,111.997155755548
"LIC",2.14,"Asthma/COPD chronic treatment",2050,143949533.415418,3573.44467903896,39172.552832241,3674.75497529841
"LIC",2.3,"Diabetes screening and treatment",2050,688553243.203405,26237.0351455337,252502.772112182,2726.91359957622
"LIC",2.4,"CVD primary prevention",2050,232059614.966049,223818.146664915,962090.714844747,241.203465936678
"LIC",2.5,"Aspirin for suspected ACS",2050,100197.879376328,614.036437207806,2619.30606601349,38.2535972700686
"LIC",2.6,"CVD secondary prevention",2050,395495689.190005,136290.90138936,595325.012538797,664.335750825235
"LIC",2.7,"Heart failure chronic treatment",2050,55028007.6344866,98894.073630839,488196.105230538,112.717014832597
"LIC",2.9,"Alcohol use screening/brief intervention",2050,88092995.8993835,1680.60304592104,37890.5248939351,2324.93469398953
"LIC",3.1,"Medical management of ACS",2050,131642734.163704,55293.7035594128,246189.174875672,534.721862690285
"LIC",3.2,"Heart failure acute treatment",2050,362534577.343491,201493.372740079,958267.886263169,378.322786916318
"LIC",3.3,"Cervical cancer screening and treatment",2050,76692397.5631194,46584.1061652541,323229.018112754,237.269531092553
"LIC",3.4,"Asthma/COPD acute treatment",2050,238509418.729138,34632.0840690697,296484.651514731,804.457895242133
"LIC",3.6,"Management of bowel obstruction",2050,48093703.0960717,15304.1413363856,131173.982161347,366.640566243658
"LIC",3.7,"Management of appendicitis",2050,5772836.77159072,1271.97892563017,14454.6141204094,399.37674734877
"LIC",3.8,"Repair of hernias",2050,238045382.854891,10118.9150104435,151571.394608873,1570.51654416166
"LIC",3.9,"Repair of gastrointestinal perforations",2050,1075251.12406967,322.263648892053,2338.68949180851,459.766517887835
"LIC",4.1,"PCI for ACS",2050,2032744.62234799,21.5510172469221,132.941266428446,15290.5465470505
"LIC",4.2,"Management of acute ventilatory failure",2050,12627486.0002547,379.088827903813,2946.89394014353,4285.01542869901
"LIC",4.3,"Treatment of early-stage breast cancer",2050,711000.715126212,5292.75623095371,37647.5887340595,18.8856906653088
"LIC",4.4,"Treatment of early-stage colorectal cancer",2050,6244179.00927062,2484.57771292293,14705.933786033,424.60268760363
"LIC",5.1,"Tobacco tax",2050,1389144.09607939,101541.552341356,622953.487509983,2.22993228857576
"LIC",5.2,"Alcohol tax",2050,481481.068631219,1682.54121401276,11355.4622402462,42.4008339286047
"LIC",5.3,"Tobacco policy",2050,859507.453563267,28262.33313797,173551.867544781,4.95245292212998
"LIC",5.4,"Alcohol policy",2050,709911.784310456,6220.39007512037,43576.3685144517,16.2912103167803
"LIC",5.5,"Salt policy",2050,32874151.9400584,4209.18427548349,28169.5285845507,1167.01107870466
"LIC",5.6,"Trans fat policy",2050,13606548.9213844,5031.36245175677,32535.05427188,418.211963246809
"LIC",5.7,"SSB",2050,0,0,0,NA
"LMIC",1.1,"IDU harm reduction measures",2050,34440507.5508023,22058.7112416279,942166.970021199,36.5545690378292
"LMIC",1.2,"Pulmonary rehabilitation",2050,31096577.855421,21206.8518197238,124284.7333659,250.204325288056
