"HSP","Intervention","gdp_pc","DALYs.averted","Incremental.cost","ICER","perc","color","name"
"Conflict","IDU harm reduction measures",931.059133073333,7159830.23706589,186128431.789755,25.9962073997485,0.0279211131455611,"<0.1","IDU harm reduction measures"
"HS1","Treatment of early-stage breast cancer",835.594421389388,78693.7266667753,2111509.45072351,26.8319920806977,0.03211126282543,"<0.1","Treatment of early-stage breast cancer"
"HS1","IDU harm reduction measures",835.594421389388,441084.598085823,12974006.1593263,29.4138725669171,0.0352011356394757,"<0.1","IDU harm reduction measures"
"HS1","Aspirin for suspected ACS",835.594421389388,6292.67070493467,276005.640365872,43.8614466429064,0.0524913109998696,"<0.1","Aspirin for suspected ACS"
"Fragile","IDU harm reduction measures",1737.17397698043,1050246.40216832,49263646.3959931,46.9067509246253,0.027001757766461,"<0.1","IDU harm reduction measures"
"Conflict","Treatment of early-stage breast cancer",931.059133073333,735052.223347268,36908060.0694246,50.211480078726,0.0539294211238581,"<0.1","Treatment of early-stage breast cancer"
"HS2","Aspirin for suspected ACS",2006.8322400859,306108.789127862,17501652.9576304,57.1746175844689,0.0284899835882753,"<0.1","Aspirin for suspected ACS"
"Conflict","Aspirin for suspected ACS",931.059133073333,88529.5024795814,5631149.23375299,63.6076005854858,0.0683174659116693,"<0.1","Aspirin for suspected ACS"
"Fragile","Aspirin for suspected ACS",1737.17397698043,19284.7895154956,1256306.55715376,65.1449452504679,0.0375005302368755,"<0.1","Aspirin for suspected ACS"
"HS2","Heart failure chronic treatment",2006.8322400859,37229370.3028948,2755685078.90545,74.0191159959312,0.0368835593316773,"<0.1","Heart failure chronic treatment"
"Fragile","Heart failure chronic treatment",1737.17397698043,3426076.63316114,300926787.122449,87.8342253672222,0.0505615594817373,"<0.1","Heart failure chronic treatment"
"Fragile","Epilepsy acute and chronic treatment",1737.17397698043,1514038.76364785,136409762.474069,90.0966116253259,0.0518638966615955,"<0.1","Epilepsy acute and chronic treatment"
"HS1","Pulmonary rehabilitation",835.594421389388,36248.1007449852,3388037.92837968,93.4680123578171,0.111858109586709,"0.1-0.5","Pulmonary rehabilitation"
"HS2","Treatment of early-stage breast cancer",2006.8322400859,961298.934021858,94498229.8876527,98.3026471196565,0.0489839883753556,"<0.1","Treatment of early-stage breast cancer"
"Conflict","Heart failure chronic treatment",931.059133073333,13776866.200673,1393070176.12663,101.11662230258,0.108603867048492,"0.1-0.5","Heart failure chronic treatment"
"Fragile","Treatment of early-stage breast cancer",1737.17397698043,132792.019621172,13902229.294857,104.691752821571,0.0602655544055218,"<0.1","Treatment of early-stage breast cancer"
"HS1","Heart failure chronic treatment",835.594421389388,1401758.12551539,150272303.411094,107.202733963709,0.128295176726357,"0.1-0.5","Heart failure chronic treatment"
"Conflict","Epilepsy acute and chronic treatment",931.059133073333,6845234.29997488,744613385.244518,108.778363546628,0.11683292680623,"0.1-0.5","Epilepsy acute and chronic treatment"
"HS1","Cervical cancer screening and treatment",835.594421389388,1764870.02146772,229351868.78781,129.953971679497,0.15552278516103,"0.1-0.5","Cervical cancer screening and treatment"
"HS2","IDU harm reduction measures",2006.8322400859,3383977.55708874,448509377.349533,132.539111085414,0.0660439415103981,"<0.1","IDU harm reduction measures"
"Fragile","Depression chronic treatment",1737.17397698043,553083.045924589,74010213.2394043,133.81392502401,0.0770296624271375,"<0.1","Depression chronic treatment"
"HS1","Epilepsy acute and chronic treatment",835.594421389388,619291.514556999,83140347.9749497,134.250746248999,0.160664962345934,"0.1-0.5","Epilepsy acute and chronic treatment"
"HS2","Pulmonary rehabilitation",2006.8322400859,2210272.81291302,405257613.373768,183.351851864685,0.0913638161687282,"<0.1","Pulmonary rehabilitation"
"HS2","Epilepsy acute and chronic treatment",2006.8322400859,8350397.18143587,1582873629.36109,189.556687540569,0.0944556718564852,"<0.1","Epilepsy acute and chronic treatment"
"HS2","Depression chronic treatment",2006.8322400859,4633567.7982346,926723970.519929,200.00224683731,0.09966067060431,"<0.1","Depression chronic treatment"
"Conflict","Pulmonary rehabilitation",931.059133073333,385999.748943009,85120402.1705352,220.51932003485,0.236847813636646,"0.1-0.5","Pulmonary rehabilitation"
"Fragile","Management of appendicitis",1737.17397698043,224596.05448946,52237276.0186133,232.583230980421,0.133885974613032,"0.1-0.5","Management of appendicitis"
"Fragile","CVD primary prevention",1737.17397698043,6441264.80974244,1548076982.1642,240.337422523403,0.138349656227962,"0.1-0.5","CVD primary prevention"
"HS2","CVD primary prevention",2006.8322400859,88961542.7397135,22563865609.3554,253.636177099283,0.126386337648446,"0.1-0.5","CVD primary prevention"
"Conflict","CVD primary prevention",931.059133073333,31393835.4678132,8293500198.73427,264.176073905887,0.283737159673058,"0.1-0.5","CVD primary prevention"
"HS1","CVD primary prevention",835.594421389388,2593744.95434838,707012020.312637,272.583477850179,0.326215052270143,"0.1-0.5","CVD primary prevention"
"Conflict","Depression chronic treatment",931.059133073333,1586239.00474992,438768084.918648,276.609063076104,0.297090757450652,"0.1-0.5","Depression chronic treatment"
"HS2","Heart failure acute treatment",2006.8322400859,79228358.4534235,23624389567.0987,298.180979995779,0.148582912930986,"0.1-0.5","Heart failure acute treatment"
"Fragile","Pulmonary rehabilitation",1737.17397698043,69921.1131208361,20977221.2571713,300.012690314568,0.172701579859061,"0.1-0.5","Pulmonary rehabilitation"
"HS1","Depression chronic treatment",835.594421389388,191911.849196316,58957832.9555166,307.213093940885,0.367658143803862,"0.1-0.5","Depression chronic treatment"
"Fragile","Heart failure acute treatment",1737.17397698043,6805475.59528176,2115575137.2353,310.863672584768,0.178947921569211,"0.1-0.5","Heart failure acute treatment"
