"year","age","Scenario","deaths","pop","ncd_mxn"
2040,31,"All interventions",68307.2877968045,104979464.743901,65.0672852671148
2040,31,"Baseline",81306.9489634786,104979464.743901,77.4503367509331
2040,31,"High-priority interventions",71060.6464334695,104979464.743901,67.6900445309212
2040,32,"All interventions",70686.6631326782,103837842.505535,68.0740868907306
2040,32,"Baseline",84021.1536967248,103837842.505535,80.9157352169039
2040,32,"High-priority interventions",73521.2612763829,103837842.505535,70.8039184004267
2040,33,"All interventions",73226.1715648264,102630944.397161,71.3490185586285
2040,33,"Baseline",86952.1873047145,102630944.397161,84.7231678666297
2040,33,"High-priority interventions",76154.5581338092,102630944.397161,74.202335933991
2040,34,"All interventions",75970.1897293968,101395331.744551,74.9247410332373
2040,34,"Baseline",90151.0241597482,101395331.744551,88.9104287235519
2040,34,"High-priority interventions",79006.3912996342,101395331.744551,77.919160517841
2040,35,"All interventions",90194.1667334634,100170118.790206,90.0409900904323
2040,35,"Baseline",110392.685940566,100170118.790206,110.205206177074
2040,35,"High-priority interventions",94684.3882676755,100170118.790206,94.5235858869057
2040,36,"All interventions",94514.3442731192,98945656.4963535,95.5214686726571
2040,36,"Baseline",115661.429334613,98945656.4963535,116.893892496307
2040,36,"High-priority interventions",99210.3811978631,98945656.4963535,100.267545550642
2040,37,"All interventions",99102.3437868959,97843148.3957972,101.286953058793
2040,37,"Baseline",121259.450837564,97843148.3957972,123.932490752487
2040,37,"High-priority interventions",104021.316600419,97843148.3957972,106.314359570309
2040,38,"All interventions",103992.861972954,96926500.5470694,107.290432839318
2040,38,"Baseline",127230.049628103,96926500.5470694,131.264462154307
2040,38,"High-priority interventions",109154.309879508,96926500.5470694,112.615548135363
2040,39,"All interventions",109227.62859465,96150538.7501024,113.600641259572
2040,39,"Baseline",133628.129037531,96150538.7501024,138.978034626342
2040,39,"High-priority interventions",114652.982595967,96150538.7501024,119.243203508149
2040,40,"All interventions",107228.555324321,95415319.5438925,112.380858584238
2040,40,"Baseline",136425.834107025,95415319.5438925,142.981058764119
2040,40,"High-priority interventions",113427.330216389,95415319.5438925,118.877482943618
2040,41,"All interventions",113188.618116158,94751753.0132649,119.45807282353
2040,41,"Baseline",144073.026436962,94751753.0132649,152.053151372083
2040,41,"High-priority interventions",119742.769983326,94751753.0132649,126.375255523306
2040,42,"All interventions",119511.559375551,94126908.1639934,126.968538228549
2040,42,"Baseline",152204.551259027,94126908.1639934,161.701424415054
2040,42,"High-priority interventions",126443.136101331,94126908.1639934,134.332613880225
2040,43,"All interventions",126246.198644915,93517976.656774,134.996717377942
2040,43,"Baseline",160893.636154453,93517976.656774,172.045677105439
2040,43,"High-priority interventions",133579.4935131,93517976.656774,142.838305840767
2040,44,"All interventions",133672.087674118,92955326.7577564,143.802504209867
2040,44,"Baseline",170486.345511023,92955326.7577564,183.406751885574
2040,44,"High-priority interventions",141447.673367549,92955326.7577564,152.167367165697
2040,45,"All interventions",143452.811166712,92357291.5388375,155.323752761187
2040,45,"Baseline",187144.204616104,92357291.5388375,202.630676471719
2040,45,"High-priority interventions",152898.999179035,92357291.5388375,165.551627415079
2040,46,"All interventions",153427.414632917,91578340.8917878,167.536792148497
2040,46,"Baseline",200237.624169267,91578340.8917878,218.651727274548
2040,46,"High-priority interventions",163500.075369292,91578340.8917878,178.535747401768
2040,47,"All interventions",165564.302334154,91336938.7562505,181.267627959366
2040,47,"Baseline",216038.020839317,91336938.7562505,236.528641950498
2040,47,"High-priority interventions",176394.305341882,91336938.7562505,193.124827417988
2040,48,"All interventions",180733.856039626,91930219.6240309,196.598960362303
2040,48,"Baseline",235592.826580123,91930219.6240309,256.273538281136
2040,48,"High-priority interventions",192498.424334458,91930219.6240309,209.396241107357
2040,49,"All interventions",199041.649891861,92935257.6220055,214.172376539182
2040,49,"Baseline",259057.631908745,92935257.6220055,278.750646996005
2040,49,"High-priority interventions",211923.343216679,92935257.6220055,228.033309036095
2040,50,"All interventions",224501.785562195,93758109.458136,239.447858814216
