year,age,Ageintervaln,ax,mxn,nqx,npx,Ix,dxn,Lxn,Tx,ex
1982,0,1,.14,.0059099998,.0058801137,.99411988,100000,588.01135,99494.313,8068740.5,80.687408
1982,1,4,.405,.00026,.0010393568,.99896061,99411.992,103.32453,397402.03,7969246,80.163826
1982,5,5,.48400003,.00014,.0006997473,.99930024,99308.664,69.490967,496364.03,7571844,76.245552
1982,10,5,.50999999,.00013,.00064979302,.99935019,99239.172,64.484924,496037.88,7075480,71.297249
1982,15,5,.546,.00026,.0012992332,.99870074,99174.688,128.85104,495580.94,6579442,66.341949
1982,20,5,.47199997,.00030000001,.001498813,.99850118,99045.836,148.45119,494837.25,6083861,61.424702
1982,25,5,.542,.00034,.0016986774,.99830133,98897.383,167.99475,494102.22,5589023.5,56.513363
1982,30,5,.52199996,.00047999999,.0023972499,.99760276,98729.391,236.67902,493081.28,5094921.5,51.604912
1982,35,5,.51599997,.00079999998,.0039922707,.99600774,98492.711,393.20956,491511.97,4601840,46.722645
1982,40,5,.53600001,.00124,.0061822152,.99381781,98099.5,606.47223,489090.5,4110328.3,41.899586
1982,45,5,.53200001,.0019700001,.009804802,.99019521,97493.031,955.89984,485228.34,3621237.8,37.143555
1982,50,5,.53000003,.00306,.015190763,.98480922,96537.133,1466.4728,479239.44,3136009.5,32.485008
1982,55,5,.53200001,.0045599998,.022559283,.97744071,95070.656,2144.7258,470334.63,2656770,27.945215
1982,60,5,.53600001,.00734,.036085509,.96391451,92925.93,3353.2795,456850.03,2186435.3,23.528795
1982,65,5,.53400004,.01245,.060495127,.93950486,89572.648,5418.709,435237.66,1729585.1,19.309299
1982,70,5,.54000002,.022299999,.10606017,.89393985,84153.938,8925.3809,400241.31,1294347.5,15.380713
1982,75,5,.52600002,.03951,.18063553,.81936449,75228.555,13588.949,343936.97,894106.25,11.885198
1982,80,5,.51599997,.067740001,.29099667,.70900333,61639.605,17936.92,264790.69,550169.25,8.92558
1982,85,-1,,.15313935,1,0,43702.688,43702.688,285378.56,285378.56,6.5300002
