"year_id","Total.cost.base","Total.cost.all","Total.cost.hpp","PopTotal","GDP"
2020,220137822915.606,220137822915.606,70929412674.7369,6351556949,31384145230298.1
2021,225370283444.483,225370283444.483,72935620982.1543,6425001191,33046626034968.9
2022,230558793042.885,230558793042.885,74889952100.2715,6497502477,34789888173351.5
2023,235722806912.762,247472331692.736,80001381949.8424,6569094992,36636149279329.4
2024,240886566416.584,264898705894.494,85240020579.5827,6639865010,38568564850063.3
2025,246082314101.346,282876649949.11,90629042295.3865,6709873776,40592927666683.6
2026,251614600793.758,301760032532.374,96573819385.0636,6779099918,42260778315211.5
2027,257037013713.922,320995909440.183,102622900383.786,6847497508,44232024306924
2028,262417245448.204,340671480091.482,108773964095.907,6915077987,46291506876470.8
2029,267820029131.584,360908609599.728,115117774607.753,6981858864,48443178037216.1
2030,273277287606.079,381753295044.545,121687239601.309,7047849396,50691113735681.6
2031,278969291676.865,403229757594.367,128761136048.42,7113048762,53039623213963
2032,284555860614.282,422456292056.903,133851666237.982,7177439526,55493051490158.6
2033,290060640927.622,441933430538.337,138956673732.994,7240993217,58055631150633.7
2034,295521249669.087,461725316358.551,144112390335.426,7303672240,60731564915816.5
2035,300972468412.583,481595852348.69,149329882108.013,7365445802,63525271832716.5
2036,306611079291.172,502043130228.101,155090000406.289,7426296334,66441532753426.4
2037,312074593062.733,522583580533.934,160791041798.203,7486218085,69485513370095.8
2038,317339028948.202,542234425195.406,166280219412.152,7545204869,72662582324693.1
2039,322373242458.56,561538187169.662,171566229480.904,7603255267,75978416704982.2
2040,327192147641.587,580282895638.984,176644916644.262,7660363963,79438866507062.6
2041,332131038147.047,599264964145.033,182218162061.823,7716520742,83049940425157.1
2042,336733271176.588,617801346412.205,187529112158.338,7771709137,86817719086991.6
2043,341069928635.899,631259242904.332,192079991539.053,7825909434,90748385384025.3
2044,345218881619.449,644489340291.361,196501970866.477,7879098934,94848233142398.8
2045,349244479053.422,657297849652.799,200819130365.034,7931258574,99123864651145.2
2046,353588550280.345,670748983172.293,205922858768.445,7982376501,103582368730401
2047,357540375148.397,681718571117.63,209865876387.352,8032444719,108231236556281
2048,361152846124.294,690711884850.66,213347983519.517,8081451108,113078127759194
2049,364529259990.849,699337256446.843,216619045451.197,8129384943,118131046269999
2050,367798645601.125,707729003697.241,219791343693.803,8176236788,123398390997337
