"","Country","World_bank","NCD_region","iso3","Region","Class","senario","total_cost_2023","total_cost_2024","total_cost_2025","total_cost_2026","total_cost_2027","total_cost_2028","total_cost_2029","total_cost_2030","total_cost_all"
"1","Afghanistan","LIC","South Asia","AFG","South Asia","LIC","Adjusted",181537822.726132,190845569.840426,200610136.024227,210936666.823892,221764915.210486,233122123.220546,245038172.944036,257541572.007419,1741396978.79716
"2","Afghanistan","LIC","South Asia","AFG","South Asia","LIC","Baseline",179124772.454375,185840161.902887,192801771.895353,200065044.627975,207580486.606551,215364134.940646,223435917.092807,231815889.656264,1636028179.17686
"3","Albania","UMIC","Central and Eastern Europe","ALB","Central and Eastern Europe","UMIC","Adjusted",90227544.275008,91695996.4706332,93200576.8553382,94847164.8358216,96444014.3354034,98005408.8935665,99526747.9218062,101016458.389859,764963911.977435
"4","Albania","UMIC","Central and Eastern Europe","ALB","Central and Eastern Europe","UMIC","Baseline",90215619.9786682,91684100.8398763,93188709.3084797,94835324.1244159,96432202.4731935,97993627.6295067,99514999.1161921,101004743.896262,764869327.366593
"5","Algeria","UMIC","Central Asia, Middle East and North Africa","DZA","Central Asia, Middle East and North Africa","UMIC","Adjusted",1372984858.22109,1433688269.7139,1496492463.6191,1563330746.29541,1630637800.17013,1699402822.29892,1770993377.7056,1846141692.44358,12813672030.4677
"6","Algeria","UMIC","Central Asia, Middle East and North Africa","DZA","Central Asia, Middle East and North Africa","UMIC","Baseline",1359191807.95284,1405005396.71175,1451564456.14867,1500525379.53469,1548798599.60709,1597352803.58615,1647462210.7234,1699757654.04477,12209658308.3094
"7","Angola","UMIC","Sub-Saharan Africa","AGO","Sub-Saharan Africa","UMIC","Adjusted",198356784.701202,208169070.361597,218522544.9444,229865527.700244,241758596.455471,254209112.755549,267212557.2028,280783634.088454,1898877828.20972
"8","Angola","UMIC","Sub-Saharan Africa","AGO","Sub-Saharan Africa","UMIC","Baseline",195624466.290765,202507782.004888,209649681.289667,217408720.812149,225432639.119978,233725430.367542,242285034.208346,251131475.097959,1777765229.19129
"9","Argentina","UMIC","Latin America and Caribbean","ARG","Latin America and Caribbean","UMIC","Adjusted",2723293629.5694,2906706721.23547,3096675826.90995,3296884457.41856,3501692941.77555,3711729301.58983,3927694008.84534,4150271047.70561,27314947935.0497
"10","Argentina","UMIC","Latin America and Caribbean","ARG","Latin America and Caribbean","UMIC","Baseline",2585286303.12049,2626099674.39006,2667616814.4664,2712227458.07433,2755697253.02435,2798653415.58856,2841698146.98333,2885342971.01255,21872622036.6601
