"","ISO","year","Region","GGHED_USD2017"
"1","MWI",2020,"Sub-Saharan Africa",169195140.776613
"2","MWI",2021,"Sub-Saharan Africa",175531498.392756
"3","MWI",2022,"Sub-Saharan Africa",183409552.913215
"4","MWI",2023,"Sub-Saharan Africa",192416460.893593
"5","MWI",2023,"Sub-Saharan Africa",192416460.893593
"6","MWI",2024,"Sub-Saharan Africa",201898906.056452
"7","MWI",2024,"Sub-Saharan Africa",201898906.056452
"8","MWI",2025,"Sub-Saharan Africa",211476871.078346
"9","MWI",2025,"Sub-Saharan Africa",211476871.078346
"10","MWI",2026,"Sub-Saharan Africa",221457695.427954
"11","MWI",2026,"Sub-Saharan Africa",221457695.427954
"12","MWI",2027,"Sub-Saharan Africa",231855771.566737
"13","MWI",2027,"Sub-Saharan Africa",231855771.566737
"14","MWI",2028,"Sub-Saharan Africa",242677795.238882
"15","MWI",2028,"Sub-Saharan Africa",242677795.238882
"16","MWI",2029,"Sub-Saharan Africa",253929481.462179
"17","MWI",2029,"Sub-Saharan Africa",253929481.462179
"18","MWI",2030,"Sub-Saharan Africa",265617560.285116
"19","MWI",2030,"Sub-Saharan Africa",265617560.285116
