"HSP","year","GDP","GGHED","PopTotal"
"conflict",2010,1647790523891.2,41390358301.3927,798127956
"conflict",2011,2110968311379.48,53730772725.3452,845789918
"conflict",2012,2285596744527.31,59376033142.9374,864494033
"conflict",2013,2422335934172.91,61932422871.8168,883791329
"conflict",2014,2400725633325.39,57105321191.2849,903401346
"conflict",2015,2235670349606.89,61713151185.5962,923118759
"conflict",2016,2034851995154.1,46494960421.0151,942879088
"conflict",2017,2167058766989.23,60591567507.159,962736282
"conflict",2018,2122504918487.23,47332010353.6057,982744877
"conflict",2019,2110186316771.9,44929737653.0146,1003002940
"conflict",2020,2187053152288.32,46113766985.0062,1023580030
"conflict",2021,2320037651989.62,49411486529.1176,1044479115
"conflict",2022,2462964410467.92,52892476465.7709,1065662974
"conflict",2023,2613753550276.73,56646248392.5253,1087115716
"conflict",2024,2759200084713.35,59473210938.7602,1108812757
"conflict",2025,2919570108480.96,62538248190.6547,1130734725
"conflict",2026,3063335133670.69,65581519492.8153,1152873549
"conflict",2027,3227869871221.08,68892830176.366,1175229511
"conflict",2028,3401361989434.84,72392644037.9897,1197801182
"conflict",2029,3584334025013.05,76060491865.7432,1220589274
"conflict",2030,3777328681100.9,79750077096.4445,1243591536
"fragile",2010,507788370643.116,11774794920.6892,117103442
"fragile",2011,573179854723.988,14906141853.6073,119864540
"fragile",2012,545589882335.598,14171165205.8364,122783108
"fragile",2013,440970659286.572,9209416948.6269,125735009
"fragile",2014,421317677606.964,8706271334.48473,128546923
"fragile",2015,539783037753.25,13529417203.066,144919395
"fragile",2016,474502677740.463,11281335960.9127,147379015
"fragile",2017,332221341858.965,9585906161.01143,149580947
"fragile",2018,282172762284.219,6840007951.2774,151694099
"fragile",2019,243758867280.032,5968225552.27149,153959275
"fragile",2020,242313552142.01,5878021107.86861,156547213
"fragile",2021,243536924766.086,5905651087.40481,159517017
"fragile",2022,240245091399.303,5797990495.0653,162807575
"fragile",2023,238908635991.275,5745397403.3307,166322697
"fragile",2024,238584210986.018,5706680229.61959,169913073
"fragile",2025,238330590902.444,5683021037.45612,173468190
"fragile",2026,238750176200.862,5682970400.95717,176963187
"fragile",2027,239918127483.871,5705848877.3785,180428551
"fragile",2028,241850348821.967,5752168978.25269,183874370
"fragile",2029,244528276613.102,5821028962.46479,187325531
"fragile",2030,247921148226.834,5911245249.1556,190800086
"HS1",2010,52014676651.5315,712007816.664976,82293838
"HS1",2011,53583676903.5154,724153011.806156,84665966
"HS1",2012,59172853876.3474,748470935.066604,87084448
"HS1",2013,63280534282.8289,717792945.826247,89579340
"HS1",2014,64100025483.7588,759848112.539984,92191092
"HS1",2015,57410870227.684,709415865.498711,94944783
"HS1",2016,59289385229.236,816272429.224256,97856697
"HS1",2017,63506452530.26,824083408.787736,100907642
"HS1",2018,67211416255.5337,801084965.06665,104043949
"HS1",2019,71046674950.8554,840097453.7537,107190775
"HS1",2020,75739948683.1787,894487784.525808,110294874
"HS1",2021,80375761470.0119,942129275.77948,113334833
"HS1",2022,85701133426.4425,993213921.913565,116327526
"HS1",2023,90428632472.8792,1038969409.24714,119304435
"HS1",2024,97921972864.086,1109343933.25688,122314975
"HS1",2025,104603486018.358,1172764877.64811,125394629
"HS1",2026,110916966555.178,1248483857.00271,128550726
"HS1",2027,118076698454.495,1340200478.62128,131770082
"HS1",2028,125703083295.35,1439325006.97004,135043570
"HS1",2029,133808351398.918,1546368434.17014,138355483
"HS1",2030,142407921846.739,1661565602.51113,141693989
"HS2",2010,2866606654437.64,30253405786.389,1809994622
"HS2",2011,3062226886241.72,33616282290.0407,1838098005
"HS2",2012,3074816453053.56,33962319752.5217,1865865286
"HS2",2013,3129771456492.27,33896851542.797,1893408493
"HS2",2014,3312655890885.59,34939742841.9448,1920891677
"HS2",2015,3362039248029.46,37853555724.1484,1948432969
"HS2",2016,3565376809402.4,40931447718.8905,1976058022
"HS2",2017,3955750648506.94,45647926157.2793,2003725541
"HS2",2018,3999563314743.11,48887373581.8796,2031404460
"HS2",2019,4153277994141.31,51744392657.8105,2059040587
