measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Dominica,Both,Age-standardized,Esophageal cancer,Rate,2019,5.140276107363218,6.3161212608966135,4.1382127934629995
Deaths,Switzerland,Both,Age-standardized,Esophageal cancer,Rate,2019,3.3130112915960677,3.6847564695928305,2.983656907109909
Deaths,Switzerland,Both,Age-standardized,Stomach cancer,Rate,2019,4.0343858611066805,4.384922310409852,3.6298370452107194
Deaths,Switzerland,Both,Age-standardized,Liver cancer,Rate,2019,4.428836925878079,4.913465690325874,3.9743553652496275
Deaths,Switzerland,Both,Age-standardized,"Tracheal, bronchus, and lung cancer",Rate,2019,22.247194010965547,23.7195967522482,20.472190291355595
Deaths,Switzerland,Both,Age-standardized,Breast cancer,Rate,2019,9.639174980687125,10.489675817965859,8.532420479391046
Deaths,Dominica,Both,Age-standardized,Stomach cancer,Rate,2019,20.49236838625559,24.658976012195552,16.90819564202206
Deaths,Dominica,Both,Age-standardized,Liver cancer,Rate,2019,3.3895756875110212,4.163939288221056,2.757498738811222
Deaths,Dominica,Both,Age-standardized,"Tracheal, bronchus, and lung cancer",Rate,2019,17.54538008355739,21.147073271693543,14.208451563844818
Deaths,Dominica,Both,Age-standardized,Breast cancer,Rate,2019,16.112756741680098,19.846184884325712,13.172518174496929
Deaths,Dominica,Both,Age-standardized,Cervical cancer,Rate,2019,8.779396737254736,11.135196317488871,6.791807506122164
Deaths,Dominica,Both,Age-standardized,Prostate cancer,Rate,2019,54.15293067596201,67.06274940070864,39.931788927491674
Deaths,Dominica,Both,Age-standardized,Colon and rectum cancer,Rate,2019,14.959894554441094,18.09288958386988,12.42079312636734
Deaths,Dominica,Both,Age-standardized,Lip and oral cavity cancer,Rate,2019,3.148377532676123,3.8799404465992438,2.5485845659437616
Deaths,Myanmar,Both,Age-standardized,Cervical cancer,Rate,2019,4.313027731855009,7.443324714574431,3.0624823616484975
Deaths,Myanmar,Both,Age-standardized,Prostate cancer,Rate,2019,5.933230847282873,7.317734175453399,4.347008609829853
Deaths,Myanmar,Both,Age-standardized,Colon and rectum cancer,Rate,2019,12.817779583754708,16.234815308809942,9.596563036835803
Deaths,Gabon,Both,Age-standardized,"Tracheal, bronchus, and lung cancer",Rate,2019,20.240474851557696,28.09778223728006,13.92608025712734
Deaths,Gabon,Both,Age-standardized,Breast cancer,Rate,2019,15.995057000096368,21.791931925892328,10.478739867520273
Deaths,Gabon,Both,Age-standardized,Cervical cancer,Rate,2019,9.077271100030142,13.225134842605618,6.052974003480558
Deaths,Gabon,Both,Age-standardized,Prostate cancer,Rate,2019,14.57694887136706,19.01068681860779,9.489426868949291
Deaths,Gabon,Both,Age-standardized,Colon and rectum cancer,Rate,2019,14.863617734232001,18.240469564336596,11.251919816962609
Deaths,Gabon,Both,Age-standardized,Lip and oral cavity cancer,Rate,2019,2.8342420126758467,3.7213357533471436,2.006743997121679
Deaths,Switzerland,Both,Age-standardized,Cervical cancer,Rate,2019,1.155069577507107,1.2979796601153577,0.9891252144693041
Deaths,Switzerland,Both,Age-standardized,Prostate cancer,Rate,2019,9.26461587956957,14.467188927984212,7.683045658205482
Deaths,Switzerland,Both,Age-standardized,Colon and rectum cancer,Rate,2019,11.854859689694445,12.840968289923543,10.69530146350614
Deaths,Denmark,Both,Age-standardized,Esophageal cancer,Rate,2019,4.4989385315330175,5.044811766078566,4.002341786308075
Deaths,Denmark,Both,Age-standardized,Stomach cancer,Rate,2019,4.328639489674837,4.717964435822936,3.9306884420731305
Deaths,Denmark,Both,Age-standardized,Liver cancer,Rate,2019,3.251185809071571,3.5724332241148242,2.9276025460127597
Deaths,Uganda,Both,Age-standardized,Kidney cancer,Rate,2019,1.5902240052795382,2.0705767282597045,1.2407659027360283
Deaths,Uganda,Both,Age-standardized,Bladder cancer,Rate,2019,2.794771367171389,3.4255012175630983,2.171538429331046
Deaths,Dominica,Both,Age-standardized,Pancreatic cancer,Rate,2019,8.537059534914786,10.358445867717803,6.828623965677685
Deaths,Dominica,Both,Age-standardized,Kidney cancer,Rate,2019,2.522236144964173,3.137545597834009,1.9860874464840128
Deaths,Dominica,Both,Age-standardized,Bladder cancer,Rate,2019,3.9465977186411916,4.7767475812321285,3.2604028276490586
Deaths,Myanmar,Both,Age-standardized,Esophageal cancer,Rate,2019,2.3680422811274817,3.5835829688374283,1.8984286346623593
