"age","sex","cause","scenario","PIF"
15,"Female","Breast cancer","Ideal",0.0297035867902495
15,"Female","Breast cancer","Intervention",0.0179138308037095
15,"Female","Colon and rectum cancer","Ideal",0.0499438658082702
15,"Female","Colon and rectum cancer","Intervention",0.0302686276370418
15,"Female","Diabetes mellitus type 2","Ideal",0.061803587341542
15,"Female","Diabetes mellitus type 2","Intervention",0.0333250390792024
15,"Female","Ischemic heart disease","Ideal",0.134835757327732
15,"Female","Ischemic heart disease","Intervention",0.100583706297235
15,"Female","Ischemic stroke","Ideal",0.140080702428849
15,"Female","Ischemic stroke","Intervention",0.102400864460209
15,"Male","Breast cancer","Ideal",0.0224375922446327
15,"Male","Breast cancer","Intervention",0.0105595495226929
15,"Male","Colon and rectum cancer","Ideal",0.0378479732604395
15,"Male","Colon and rectum cancer","Intervention",0.0179222345574981
15,"Male","Diabetes mellitus type 2","Ideal",0.0489757815953634
15,"Male","Diabetes mellitus type 2","Intervention",0.0201078508112901
15,"Male","Ischemic heart disease","Ideal",0.0955963251182251
15,"Male","Ischemic heart disease","Intervention",0.0597907759562099
15,"Male","Ischemic stroke","Ideal",0.100478779630116
15,"Male","Ischemic stroke","Intervention",0.0610636694812636
20,"Female","Breast cancer","Ideal",0.028525572417196
20,"Female","Breast cancer","Intervention",0.0167215027613299
20,"Female","Colon and rectum cancer","Ideal",0.0479932870527692
20,"Female","Colon and rectum cancer","Intervention",0.0282776532667923
20,"Female","Diabetes mellitus type 2","Ideal",0.0596824149115034
20,"Female","Diabetes mellitus type 2","Intervention",0.0311394793731025
20,"Female","Ischemic heart disease","Ideal",0.128904810944519
20,"Female","Ischemic heart disease","Intervention",0.0944179523848189
20,"Female","Ischemic stroke","Ideal",0.134078468604104
20,"Female","Ischemic stroke","Intervention",0.0961356254922999
20,"Male","Breast cancer","Ideal",0.0228738091564263
20,"Male","Breast cancer","Intervention",0.0110010667642386
20,"Male","Colon and rectum cancer","Ideal",0.0385775260045138
20,"Male","Colon and rectum cancer","Intervention",0.0186668960130281
20,"Male","Diabetes mellitus type 2","Ideal",0.0497551000366036
20,"Male","Diabetes mellitus type 2","Intervention",0.0209108251283588
20,"Male","Ischemic heart disease","Ideal",0.0980124507204651
20,"Male","Ischemic heart disease","Intervention",0.0623025565258448
20,"Male","Ischemic stroke","Ideal",0.102920661481557
20,"Male","Ischemic stroke","Intervention",0.0636125494111994
25,"Female","Breast cancer","Ideal",0.0288015009600326
25,"Female","Breast cancer","Intervention",0.0170007840221045
25,"Female","Colon and rectum cancer","Ideal",0.0484504679598871
25,"Female","Colon and rectum cancer","Intervention",0.0287443021862846
25,"Female","Diabetes mellitus type 2","Ideal",0.0601796588615379
25,"Female","Diabetes mellitus type 2","Intervention",0.031651816949203
25,"Female","Ischemic heart disease","Ideal",0.130300013814593
25,"Female","Ischemic heart disease","Intervention",0.0958683916568916
25,"Female","Ischemic stroke","Ideal",0.135490574963077
25,"Female","Ischemic stroke","Intervention",0.0976096073539522
25,"Male","Breast cancer","Ideal",0.024318144096173
25,"Male","Breast cancer","Intervention",0.0124629513478577
25,"Male","Colon and rectum cancer","Ideal",0.0409898624404553
25,"Male","Colon and rectum cancer","Intervention",0.0211291908590236
