"iso3","location_name","year_id","covid"
"AFG","Afghanistan",2020,2158
"AGO","Angola",2020,400
"ALB","Albania",2020,1134
"ARE","United Arab Emirates",2020,655
"ARG","Argentina",2020,47507
"ARM","Armenia",2020,2768
"AUS","Australia",2020,920
"AUT","Austria",2020,7049
"AZE","Azerbaijan",2020,2416
"BDI","Burundi",2020,2
"BEL","Belgium",2020,19374
"BEN","Benin",2020,44
"BFA","Burkina Faso",2020,78
"BGD","Bangladesh",2020,7452
"BGR","Bulgaria",2020,7123
"BHR","Bahrain",2020,351
"BHS","The Bahamas",2020,169
"BIH","Bosnia and Herzegovina",2020,3923
"BLR","Belarus",2020,1376
"BLZ","Belize",2020,228
"BOL","Bolivia",2020,9083
"BRA","Brazil",2020,190488
"BRB","Barbados",2020,7
"BRN","Brunei",2020,3
"BTN","Bhutan",2020,0
"BWA","Botswana",2020,39
"CAF","Central African Republic",2020,63
"CAN","Canada",2020,14734
"CHE","Switzerland",2020,7182
"CHL","Chile",2020,16404
"CHN","China",2020,4777
"CIV","Cote d'Ivoire",2020,134
"CMR","Cameroon",2020,448
"COD","Democratic Republic of the Congo",2020,579
"COG","Congo",2020,100
"COL","Colombia",2020,41690
"COM","Comoros",2020,7
"CPV","Cape Verde",2020,112
"CRI","Costa Rica",2020,2103
"CUB","Cuba",2020,141
"CYP","Cyprus",2020,114
"CZE","Czech Republic",2020,11367
"DEU","Germany",2020,47009
"DJI","Djibouti",2020,61
"DNK","Denmark",2020,1159
"DOM","Dominican Republic",2020,2404
"DZA","Algeria",2020,2722
"ECU","Ecuador",2020,13990
"EGY","Egypt",2020,7352
"ERI","Eritrea",2020,1
"ESP","Spain",2020,53964
"EST","Estonia",2020,284
"ETH","Ethiopia",2020,1901
"FIN","Finland",2020,618
"FJI","Fiji",2020,2
"FRA","France",2020,63534
"GAB","Gabon",2020,64
"GBR","United Kingdom",2020,90475
"GEO","Georgia",2020,2377
"GHA","Ghana",2020,335
"GIN","Guinea",2020,80
"GMB","The Gambia",2020,123
"GNB","Guinea-Bissau",2020,45
"GNQ","Equatorial Guinea",2020,86
"GRC","Greece",2020,4682
"GTM","Guatemala",2020,4763
"GUY","Guyana",2020,162
"HND","Honduras",2020,3061
"HRV","Croatia",2020,3613
"HTI","Haiti",2020,235
"HUN","Hungary",2020,9047
"IDN","Indonesia",2020,21237
"IND","India",2020,147622
"IRL","Ireland",2020,2230
"IRN","Iran",2020,54574
"IRQ","Iraq",2020,12767
"ISL","Iceland",2020,28
"ISR","Israel",2020,3242
"ITA","Italy",2020,71627
"JAM","Jamaica",2020,294
"JOR","Jordan",2020,3729
"JPN","Japan",2020,3213
"KAZ","Kazakhstan",2020,2669
"KEN","Kenya",2020,1655
"KGZ","Kyrgyzstan",2020,0
"KHM","Cambodia",2020,0
"KOR","South Korea",2020,808
"KWT","Kuwait",2020,929
"LAO","Laos",2020,0
"LBN","Lebanon",2020,1379
"LBR","Liberia",2020,89
"LBY","Libya",2020,1415
"LKA","Sri Lanka",2020,191
