"Table s7. Data quality rating from 0 to 5 stars, maximum percent well certified per 5-year interval and percent well certified across time series for 204 countries, 1980-2019.",,,,,,,,,
Country,Data Quality Rating,1980-1984,1985-1989,1990-1994,1995-1999,2000-2004,2005-2009,2010-2019,1980-2019
Afghanistan,1,0,0,0,0,3.4,28.7,0,4.6
Albania,3,0,65.9,67.8,74.8,73.8,72.5,54.6,58.5
Algeria,1,0,0,0,0,0,15.8,0,2.3
American Samoa,3,0,0,0,65.9,72.6,69.7,66.2,39.2
Andorra,1,0,0,0,0,0,0,65.3,9.3
Angola,1,0,0,0,0,0,0,2.8,0.4
Antigua and Barbuda,4,48.9,69.6,76,79.3,81.3,79.6,78.6,73.3
Argentina,4,76.1,71.5,70.6,69.9,69.1,69.1,73.7,71.4
Armenia,5,75.6,84.5,86.2,86.1,86.4,90.9,89.6,85.6
Australia,5,93.3,93.7,93.6,93.5,92.5,91.8,91.1,92.8
Austria,5,92.3,93.2,92.7,92.3,94.8,93.6,91.1,92.8
Azerbaijan,3,69.7,69.1,68,65.4,72.1,42.7,0,55.3
Bahrain,3,0,75.2,0,62.9,61.8,58.8,54.9,44.8
Bangladesh,2,2.2,3.4,30.2,3.9,19.1,6.3,53.3,16.9
Barbados,4,76.1,78.2,80.1,80.1,77.2,78,76.8,78.1
Belarus,4,85,87.9,80,80.7,82.6,83.4,83.7,83.3
Belgium,4,80.3,80.8,84.3,86.3,86.2,86.4,82.9,83.9
Belize,4,61.5,66.7,57.9,74.9,75.9,87.2,87.6,73.1
Benin,1,0,2.1,0,0,0,0,0,0.3
Bermuda,5,92.5,90.9,90.4,95,93,88.8,90.4,91.6
Bhutan,0,0,0,0,0,0,0,0,0
Venezuela,5,78.9,72.9,83.2,88.5,90.7,91.1,91.3,85.2
Bosnia and Herzegovina,2,0,65.1,66.5,0,0,0,75.4,29.6
Botswana,0,0,0,0,0,0,0,0,0
Brazil,4,51.3,55.5,62,66.2,70.9,77.8,82.3,66.6
Brunei,3,0,0,0,78.9,76.4,73.9,73.8,43.3
Bulgaria,4,81.1,81.4,81.3,78.6,70.1,70.2,68.1,75.8
Burkina Faso,1,3.7,0,0,4.6,6.3,2.4,0.3,2.5
Burundi,1,0,0,2.9,0,0,0,0,0.4
Cambodia,1,0,0,0,0,0.9,4.2,0,0.7
Cameroon,0,0,0,0,0,0,0,0,0
Canada,5,90.5,90.7,89.9,89.6,90,90.5,90.2,90.2
Central African Republic,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0
Chile,4,75.3,75.9,82,85.1,91.2,91.5,90.4,84.5
China,3,0,1,70,73.7,66.8,72.1,71.7,50.8
Colombia,4,69.2,72,76.3,88.3,89.7,88.5,90.8,82.1
The Bahamas,4,74.3,82.3,80.1,84.1,83.4,82.3,82.5,81.3
Comoros,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),0,0,0,0,0,0,0,0,0
Cook Islands,2,0,0,0,0,60,53.9,68.5,26.1
Costa Rica,5,81.7,83.2,83.3,91.4,92.7,91.6,91.6,87.9
Croatia,4,0,84.9,85.9,84.9,88.2,89.9,93.7,75.4
Cuba,5,85.9,87.2,86.8,89.9,91.3,92.2,92.3,89.4
Cyprus,2,0,0,0,32.2,60.7,69.7,78.4,34.4
Czech Republic,4,0,91.2,90.5,85.9,86.5,86.6,87.9,75.5
North Korea,0,0,0,0,0,0,0,0,0
DR Congo,1,0,0.9,3.6,0,0,0,0,0.6
Denmark,5,83.6,82.3,85.7,87.3,87.8,87,85.1,85.6
Djibouti,0,0,0,0,0,0,0,0,0
Dominica,3,60.1,55.6,55.9,63.3,58.9,72.3,74.2,62.9
Dominican Republic,3,46.3,46.7,39.3,42.9,45.9,44.6,45.6,44.5
Ecuador,3,65.9,65.3,66.5,63.4,60.8,55.2,63.4,62.9
Egypt,2,25,30.8,35.4,0,39.1,38.4,46.6,30.8
El Salvador,3,57.4,0,55.8,62.7,66.8,65.7,65.4,53.4
Equatorial Guinea,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0
Estonia,5,90.9,91.2,93.1,93.2,92.3,92.8,91.9,92.2
Ethiopia,1,0,3,3.2,0.9,3.3,4,4,2.6
Federated States of Micronesia,0,0,0,0,0,0,0,0,0
Fiji,2,0,0,0,32.9,53.5,59.7,66,30.3
Finland,5,82.7,91.6,91.3,96.1,95.3,94.3,94.4,92.2
France,4,78,80.3,82,81.9,82.3,82.4,80.7,81.1
Gabon,0,0,0,0,0,0,0,0,0
Georgia,4,78.3,76.5,71.1,67.3,69.6,48.3,58.9,67.1
Germany,4,80.5,83.1,86.1,86.1,85.4,85.7,85.6,84.7
Ghana,1,0,0.4,2.1,0.9,9.1,21.4,0.4,4.9
Greece,4,83.6,84,78.8,79.6,80.2,82.3,82.7,81.6
Greenland,3,0,0,0,86.3,87.4,88,83.6,49.3
Grenada,4,69,64,65.3,65.3,80.2,82.3,87.5,73.4
Guam,3,0,0,85.8,80.5,71.6,65.6,63.3,52.4
Guatemala,4,68.8,66.1,66.1,69.7,69.9,75,77.7,70.5
Guinea,1,0,0,0,3.4,0,0,0,0.5
Guinea-Bissau,1,0,0,0.4,2.3,0,0,0,0.4
Guyana,4,49.2,65.9,61.4,68.1,73.5,75.1,74.2,66.8
Haiti,1,15.6,1.9,1.7,11.9,5.4,0,0,5.2
Honduras,2,35.7,42.8,39.1,0,0,12.4,13,20.4
Hungary,5,91.2,90.4,90.5,91.6,93.3,93.9,94.2,92.1
Iceland,5,91.7,93.3,96,95,94.3,92.6,91.3,93.5
India,2,2.6,4.6,2.7,4.8,6.3,49.7,46,16.7
Indonesia,2,1.7,0,1.8,0.6,0.3,53.9,63.4,17.4
Iraq,2,0,0,0,0,0,39.2,46.2,12.2
Ireland,5,91.4,92.2,92.6,92,91.6,92.7,92.9,92.2
Iran,2,0,0,0,0,57.5,66.1,80,29.1
Israel,4,80.8,82.5,83.5,83.5,82.3,81,82.3,82.3
Italy,5,89.6,89.6,90.1,89.2,89.7,90.1,89.8,89.7
Jamaica,4,72,74.2,67,0,83.9,87.2,89.4,67.7
Japan,5,82.9,82.1,83.5,89.1,87.6,87,85.5,85.4
Jordan,2,0,0,0,1.7,72.8,79.3,65.2,31.3
Kazakhstan,4,79.8,83.6,87.3,85.5,79.7,76.9,73.6,80.9
Kenya,1,0,3.4,0,2.4,4.3,5.1,23.4,5.5
eSwatini,1,0,0,0,0,0.5,0,0,0.1
Kiribati,2,0,0,35.6,55.6,32.2,0,0,17.6
Kuwait,4,74.8,76.9,71.9,71.7,69.9,67.7,68.5,71.7
Kyrgyzstan,4,75.5,83.8,74.5,78.7,88.3,94.4,94.1,84.2
Laos,1,0,3.8,0,0,0,0,0,0.5
Latvia,5,91.3,91.3,88.8,92,91.3,89.2,93.8,91.1
Lebanon,1,0,3.6,0,0,0.3,0,0,0.6
Lesotho,0,0,0,0,0,0,0,0,0
Liberia,1,4.1,4.1,4.3,0,0,0,0,1.8
Libya,1,0,0,0,0,0,11.5,0,1.6
Lithuania,5,90.6,92.2,92.7,94.8,93.2,92.8,93.5,92.8
Luxembourg,4,86.9,87.5,85.1,85,82.8,82.2,83.1,84.7
Madagascar,1,2.3,2.9,2.1,2.2,0,0,0,1.4
Malawi,1,0,3.8,0,0.7,3.2,3.4,0.6,1.7
Malaysia,2,44,0,0,31.4,36,40.5,40.4,27.5
Maldives,2,0,0,0,0,44,49.1,61.9,22.1
Mali,1,2.3,0,0.3,0,0,0,5.6,1.2
Malta,5,83,87.9,89.9,90.8,92.3,94.5,93.5,90.2
Marshall Islands,0,0,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0
Mauritius,4,73.5,77.7,76.8,77.4,82.4,84.4,87,79.9
Mexico,4,64,71.4,73,78.8,80.6,82.4,89.4,77.1
Mongolia,2,0,0,59.1,0,19.5,20.9,79.4,25.6
1493,,,,,,,,,
"Table S7. Data quality rating from 0 to 5 stars, maximum percent well certified per 5-year interval and percent well certified across time series for 204 countries, 1980-2019.",,,,,,,,,
