"iso3","location_name","year_id","covid"
"AFG","Afghanistan",2020,2189
"AGO","Angola",2020,405
"ALB","Albania",2020,1174
"ARG","Argentina",2020,48271
"ARM","Armenia",2020,2823
"AZE","Azerbaijan",2020,2575
"BDI","Burundi",2020,2
"BEN","Benin",2020,44
"BFA","Burkina Faso",2020,85
"BGD","Bangladesh",2020,7559
"BGR","Bulgaria",2020,7515
"BIH","Bosnia and Herzegovina",2020,4050
"BLR","Belarus",2020,1414
"BLZ","Belize",2020,241
"BOL","Bolivia",2020,9135
"BRA","Brazil",2020,192681
"BTN","Bhutan",2020,0
"BWA","Botswana",2020,43
"CAF","Central African Republic",2020,63
"CHN","China",2020,4788
"CIV","Cote d'Ivoire",2020,138
"CMR","Cameroon",2020,448
"COD","Democratic Republic of the Congo",2020,591
"COG","Congo",2020,100
"COL","Colombia",2020,42620
"COM","Comoros",2020,9
"CPV","Cape Verde",2020,112
"CRI","Costa Rica",2020,2156
"CUB","Cuba",2020,145
"DJI","Djibouti",2020,61
"DOM","Dominican Republic",2020,2409
"DZA","Algeria",2020,2751
"ECU","Ecuador",2020,14023
"EGY","Egypt",2020,7576
"ERI","Eritrea",2020,1
"ETH","Ethiopia",2020,1918
"FJI","Fiji",2020,2
"GAB","Gabon",2020,64
"GEO","Georgia",2020,2505
"GHA","Ghana",2020,335
"GIN","Guinea",2020,81
"GMB","The Gambia",2020,124
"GNB","Guinea-Bissau",2020,45
"GNQ","Equatorial Guinea",2020,86
"GTM","Guatemala",2020,4803
"GUY","Guyana",2020,164
"HND","Honduras",2020,3111
"HTI","Haiti",2020,236
"IDN","Indonesia",2020,22138
"IND","India",2020,148738
"IRN","Iran",2020,55095
"IRQ","Iraq",2020,12808
"JAM","Jamaica",2020,302
"JOR","Jordan",2020,3815
"KAZ","Kazakhstan",2020,2749
"KEN","Kenya",2020,1667
"KGZ","Kyrgyzstan",2020,1355
"KHM","Cambodia",2020,0
"LAO","Laos",2020,0
"LBN","Lebanon",2020,1443
"LBR","Liberia",2020,89
"LBY","Libya",2020,1459
"LKA","Sri Lanka",2020,204
"LSO","Lesotho",2020,64
"MAR","Morocco",2020,7355
"MDG","Madagascar",2020,261
"MDV","Maldives",2020,48
"MEX","Mexico",2020,147623
"MKD","Macedonia",2020,2488
"MLI","Mali",2020,269
"MMR","Myanmar",2020,2682
"MNE","Montenegro",2020,677
"MNG","Mongolia",2020,1
"MOZ","Mozambique",2020,165
"MRT","Mauritania",2020,340
"MUS","Mauritius",2020,10
"MWI","Malawi",2020,189
"MYS","Malaysia",2020,463
"NAM","Namibia",2020,208
"NER","Niger",2020,101
"NGA","Nigeria",2020,1278
"NIC","Nicaragua",2020,165
"NPL","Nepal",2020,2758
"PAK","Pakistan",2020,10047
"PAN","Panama",2020,3933
"PER","Peru",2020,93066
"PHL","Philippines",2020,9230
"PNG","Papua New Guinea",2020,9
"PRK","North Korea",2020,0
"PRY","Paraguay",2020,2220
"PSE","Palestine",2020,1500
"ROU","Romania",2020,15596
"RUS","Russian Federation",2020,57019
"RWA","Rwanda",2020,86
"SDN","Sudan",2020,1561
