,Country Code,Country,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Super_region,Region,NCD_region,SDI,World_bank,LocID
1,GBR,United Kingdom,Consumer price index (2010 = 100),FP.CPI.TOTL,6.273283799,6.489555021,6.761889125,6.898380803,7.124757167,7.464877011,7.756725171,7.949256057,8.322666636,8.775974293,9.3347027,10.21635019,10.93875837,11.94469022,13.86109765,17.21649343,20.06746255,23.24620215,25.16706861,28.54481136,33.67315055,37.67238487,40.91178195,42.79753005,44.92059183,47.6478981,49.28108193,51.32571574,53.45847975,56.53782134,61.09672647,65.65563159,68.67024228,70.42722397,71.99001295,73.93194008,76.04031811,77.71407435,79.12890697,80.51599778,81.4684668,82.71684853,83.97447753,85.13038654,86.31403736,88.11725541,90.28111707,92.43573146,95.69077122,97.56796745,100,103.8561124,106.5285741,108.9698539,110.5511374,110.9580174,112.0769373,114.9435916,117.5790642,NA,High-income,Western Europe,High-income Western countries,High SDI,HIC,826
2,LIC,LIC,NA,NA,6.143702087,7.439418659,7.681984383,1.657031373,2.678695261,2.418876958,2.688751886,4.177889815,3.927159249,3.681735759,3.891178907,3.848365236,4.205468995,4.458238137,4.802028628,6.237799803,6.735605219,7.38540023,7.841452416,9.479073706,11.43534922,12.83588827,13.79012811,15.23676405,17.507959,20.06629213,21.60967333,22.81308434,22.28848951,22.57635604,24.07222154,25.64934349,27.88734157,27.35991096,35.32041844,41.3227146,43.26114148,44.6024104,47.66819598,50.59519062,44.12741847,54.64414028,58.13334995,62.13949161,63.25368668,68.60146861,72.81823887,78.8335485,90.45899265,95.40509306,100.2593776,113.4340132,127.4426303,134.5957538,141.282304,154.8152056,171.8112802,174.3031777,168.3279499,0,NA,NA,NA,NA,NA,UMIC
3,LMIC,LMIC,NA,NA,2.297990096,2.323099982,2.485155251,2.596819693,2.821200852,2.924957056,3.021446502,3.209073041,3.352424706,3.338364124,3.366908527,3.62401916,3.792618831,4.363974306,5.241340976,5.529673224,5.331437129,6.004066053,6.572056282,7.157061901,8.051856017,7.424712603,8.332552954,10.19596124,11.60036245,12.64812404,15.00139083,16.79578048,18.70506572,20.09877454,21.90454372,24.6267877,24.9066793,27.1365374,30.59261227,34.46832397,37.94418742,40.27635685,47.24104902,49.90454857,51.12044036,53.72041628,56.38027752,59.24468559,62.46178548,66.4581951,71.13015913,75.67462847,84.40456328,91.56572042,100,108.4747552,116.8992921,126.8915701,136.6938367,146.601918,154.6894234,159.6461533,165.9771882,0,NA,NA,NA,NA,NA,UMIC
4,UMIC,UMIC,NA,NA,3.201490063,3.691230315,3.738257562,3.774180114,3.7405257,2.17022129,2.225681325,2.257457411,3.773276198,3.758691307,4.380665522,4.674619323,4.696191361,5.142840065,6.919295734,7.318529786,8.913615577,9.974132397,11.19189495,5.248386202,4.459561845,4.644304189,5.395812855,6.685468515,7.059081957,6.72260291,11.4070494,12.46542876,14.89949966,16.3369912,15.89171605,20.07345971,20.91892449,22.81657436,31.15806766,39.71541161,45.3335675,48.68801164,51.52323787,56.44646401,59.59202124,63.53858713,67.62135135,70.91396893,73.89153868,77.21461053,80.6534166,84.96583654,91.13871517,95.08384033,100,106.7108707,112.2310037,118.5863883,126.3073429,125.7685729,130.8617941,135.7652995,134.3484778,0,NA,NA,NA,NA,NA,UMIC
5,LIC+LMIC,LIC+LMIC,NA,NA,2.336093164,2.372218332,2.536987055,2.509934429,2.812584388,2.88996186,2.991849182,3.287316399,3.398282519,3.366087018,3.405327955,3.641173076,3.825162003,4.371594524,5.207864334,5.58670341,5.430613988,6.103717097,6.670396468,7.330262041,8.280740929,7.753256321,8.673173594,10.51572408,11.94629332,13.08067826,15.42440058,17.17288072,18.96787694,20.27769485,22.06161995,24.70694488,25.09546292,27.15112174,30.81792719,34.8119586,38.20959267,40.49228686,47.2663039,49.94190722,50.67188903,53.77343394,56.48058729,59.41280294,62.50922668,66.58453957,71.22424506,75.84855089,84.79370012,91.82246253,100.0154549,108.7707995,117.5461519,127.3828433,136.9908869,147.1318781,155.7086742,160.428547,166.0629773,0,NA,NA,NA,NA,NA,LIC+LMIC
6,LIC+LMIC+UMIC,LIC+LMIC+UMIC,NA,NA,2.751567809,2.966087217,3.093560759,3.06361623,3.222460658,2.586855278,2.630289166,2.808931171,3.574842734,3.554910533,3.875437225,4.149416808,4.267527742,4.779910051,6.150303336,6.565161992,7.396492252,8.235306924,9.1709553,6.15672778,5.874814129,5.872838524,6.723989211,8.251803645,8.96319134,9.231143355,12.75675854,14.11385582,16.30750747,17.60184469,17.58962184,21.32316452,22.00727404,23.86299631,31.07691035,38.52483877,43.59719223,46.73702652,50.56565326,54.81655193,57.39779394,61.14635522,64.75445794,67.91470868,71.03667409,74.63511028,78.36073884,82.77756095,89.74675334,94.33123938,100.0035764,107.1645099,113.3816395,120.4695088,128.6382866,130.7162999,136.8247238,141.6291841,141.5122414,0,NA,NA,NA,NA,NA,LIC+LMIC+UMIC
7,AFG,Afghanistan,Consumer price index (2010 = 100),FP.CPI.TOTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.52339481,63.52339481,71.58214338,76.43870301,83.07401873,105.0210647,97.86791084,100,111.8041858,119.0057313,127.7952231,133.7683667,132.8832092,138.7086655,145.6107414,NA,NA,South Asia,South Asia,South Asia,Low SDI,LIC,NA
8,AGO,Angola,Consumer price index (2010 = 100),FP.CPI.TOTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22E-08,4.08E-08,1.63E-07,2.41E-06,2.53E-05,0.000699938,0.029713097,0.094837289,0.196583305,0.684495013,2.909082393,7.347208236,15.34812963,30.42369853,43.67081782,53.69480503,60.8390117,68.29270166,76.81278243,87.35939555,100,113.4824679,125.1460881,136.1311793,146.0420564,161.0523262,213.1974201,280.7632773,337.4504325,NA,Sub-Saharan Africa,Central Sub-Saharan Africa,Sub-Saharan Africa,Low SDI,UMIC,NA
9,ALB,Albania,Consumer price index (2010 = 100),FP.CPI.TOTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.114763191,16.67440529,30.84844202,37.80940922,40.7559791,45.94237218,61.18617732,73.81675356,74.10422379,74.14128934,76.44529535,82.38549678,82.78424473,84.67174138,86.67556753,88.73040976,91.33259094,94.40423163,96.51076466,100,103.4428359,105.549369,107.581663,109.3170007,111.404974,112.825527,115.0751869,117.4006153,NA,"Central Europe, Eastern Europe, and Central Asia",Central Europe,Central and Eastern Europe,Middle SDI,UMIC,NA
10,ARG,Argentina,Consumer price index (2010 = 100),FP.CPI.TOTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8358,29.1359,34.248,36.7704,37.625,38.1876,38.2148,38.4963,38.8016,38.8227,38.95,39.2088,53.0335,54.9726,58.3265,65.5161,71.9617,78.0612,83.7114,90.1606,100,105.507,109.533,120.604,121.398,134.668,134.668,NA,NA,NA,High-income,Southern Latin America,Latin America and Caribbean,High-middle SDI,UMIC,NA
