Region,Super_region,iso3,LocID,SDI,World_bank_2015,countryname_WB,countryname_WHO,countryname_GBD,HLI_group,NCD_region,location_name
South Asia,South Asia,AFG,4,Low SDI,LIC,Afghanistan,Afghanistan,Afghanistan,Eurasia and the Mediterranean,South Asia,Afghanistan
Central Europe,"Central Europe, Eastern Europe, and Central Asia",ALB,8,Middle SDI,UMIC,Albania,Albania,Albania,Eurasia and the Mediterranean,Central and Eastern Europe,Albania
North Africa and Middle East,North Africa and Middle East,DZA,12,Middle SDI,UMIC,Algeria,Algeria,Algeria,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Algeria
Oceania,"Southeast Asia, East Asia, and Oceania",ASM,16,Middle SDI,UMIC,American Samoa,NA,American Samoa,NA,NA,American Samoa
Western Europe,High-income,AND,20,High SDI,HIC,Andorra,NA,Andorra,NA,NA,Andorra
Central Sub-Saharan Africa,Sub-Saharan Africa,AGO,24,Low SDI,UMIC,Angola,Angola,Angola,Sub-Saharan Africa,Sub-Saharan Africa,Angola
Caribbean,Latin America and Caribbean,ATG,28,High-middle SDI,HIC,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,NA,NA,Antigua and Barbuda
Southern Latin America,High-income,ARG,32,High-middle SDI,UMIC,Argentina,Argentina,Argentina,Latin America and the Caribbean,Latin America and Caribbean,Argentina
Central Asia,"Central Europe, Eastern Europe, and Central Asia",ARM,51,High-middle SDI,LMIC,Armenia,Armenia,Armenia,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Armenia
Australasia,High-income,AUS,36,High SDI,HIC,Australia,Australia,Australia,High-income,High-income Western countries,Australia
Western Europe,High-income,AUT,40,High SDI,HIC,Austria,Austria,Austria,High-income,High-income Western countries,Austria
Central Asia,"Central Europe, Eastern Europe, and Central Asia",AZE,31,High-middle SDI,UMIC,Azerbaijan,Azerbaijan,Azerbaijan,Eurasia and the Mediterranean,"Central Asia, Middle East and North Africa",Azerbaijan
North Africa and Middle East,North Africa and Middle East,BHR,48,Middle SDI,HIC,Bahrain,Bahrain,Bahrain,High-income,"Central Asia, Middle East and North Africa",Bahrain
South Asia,South Asia,BGD,50,Low-middle SDI,LMIC,Bangladesh,Bangladesh,Bangladesh,Eurasia and the Mediterranean,South Asia,Bangladesh
Caribbean,Latin America and Caribbean,BRB,52,High-middle SDI,HIC,Barbados,Barbados,Barbados,NA,Latin America and Caribbean,Barbados
Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",BLR,112,High-middle SDI,UMIC,Belarus,Belarus,Belarus,Eurasia and the Mediterranean,Central and Eastern Europe,Belarus
Western Europe,High-income,BEL,56,High SDI,HIC,Belgium,Belgium,Belgium,High-income,High-income Western countries,Belgium
Caribbean,Latin America and Caribbean,BLZ,84,Low-middle SDI,UMIC,Belize,Belize,Belize,NA,Latin America and Caribbean,Belize
Western Sub-Saharan Africa,Sub-Saharan Africa,BEN,204,Low SDI,LIC,Benin,Benin,Benin,Sub-Saharan Africa,Sub-Saharan Africa,Benin
Caribbean,Latin America and Caribbean,BMU,60,High-middle SDI,HIC,Bermuda,NA,Bermuda,NA,NA,Bermuda
South Asia,South Asia,BTN,64,Low-middle SDI,LMIC,Bhutan,Bhutan,Bhutan,Eurasia and the Mediterranean,South Asia,Bhutan
Andean Latin America,Latin America and Caribbean,BOL,68,Low-middle SDI,LMIC,Bolivia,Bolivia (Plurinational State of),Bolivia (Plurinational State of),Latin America and the Caribbean,Latin America and Caribbean,Bolivia
Central Europe,"Central Europe, Eastern Europe, and Central Asia",BIH,70,Middle SDI,UMIC,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Eurasia and the Mediterranean,Central and Eastern Europe,Bosnia and Herzegovina
Southern Sub-Saharan Africa,Sub-Saharan Africa,BWA,72,Middle SDI,UMIC,Botswana,Botswana,Botswana,Sub-Saharan Africa,Sub-Saharan Africa,Botswana
Tropical Latin America,Latin America and Caribbean,BRA,76,Middle SDI,UMIC,Brazil,Brazil,Brazil,Latin America and the Caribbean,Latin America and Caribbean,Brazil
High-income Asia Pacific,High-income,BRN,96,High SDI,HIC,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,NA,East and South East Asia,Brunei
Central Europe,"Central Europe, Eastern Europe, and Central Asia",BGR,100,High-middle SDI,UMIC,Bulgaria,Bulgaria,Bulgaria,Eurasia and the Mediterranean,Central and Eastern Europe,Bulgaria
Western Sub-Saharan Africa,Sub-Saharan Africa,BFA,854,Low SDI,LIC,Burkina Faso,Burkina Faso,Burkina Faso,Sub-Saharan Africa,Sub-Saharan Africa,Burkina Faso
Eastern Sub-Saharan Africa,Sub-Saharan Africa,BDI,108,Low SDI,LIC,Burundi,Burundi,Burundi,Sub-Saharan Africa,Sub-Saharan Africa,Burundi
Southeast Asia,"Southeast Asia, East Asia, and Oceania",KHM,132,Low-middle SDI,LMIC,Cambodia,Cambodia,Cambodia,Eurasia and the Mediterranean,East and South East Asia,Cambodia
Western Sub-Saharan Africa,Sub-Saharan Africa,CMR,116,Low-middle SDI,LMIC,Cameroon,Cameroon,Cameroon,Sub-Saharan Africa,Sub-Saharan Africa,Cameroon
High-income North America,High-income,CAN,120,High SDI,HIC,Canada,Canada,Canada,High-income,High-income Western countries,Canada
Western Sub-Saharan Africa,Sub-Saharan Africa,CPV,124,Low-middle SDI,LMIC,Cabo Verde,Cabo Verde,Cabo Verde,Sub-Saharan Africa,Sub-Saharan Africa,Cape Verde
Central Sub-Saharan Africa,Sub-Saharan Africa,CAF,140,Low SDI,LIC,Central African Republic,Central African Republic,Central African Republic,Sub-Saharan Africa,Sub-Saharan Africa,Central African Republic
Western Sub-Saharan Africa,Sub-Saharan Africa,TCD,148,Low SDI,LIC,Chad,Chad,Chad,Sub-Saharan Africa,Sub-Saharan Africa,Chad
Southern Latin America,High-income,CHL,152,High-middle SDI,HIC,Chile,Chile,Chile,High-income,Latin America and Caribbean,Chile
East Asia,"Southeast Asia, East Asia, and Oceania",CHN,156,Middle SDI,UMIC,China,China,China,China,East and South East Asia,China
Central Latin America,Latin America and Caribbean,COL,170,Middle SDI,UMIC,Colombia,Colombia,Colombia,Latin America and the Caribbean,Latin America and Caribbean,Colombia
Eastern Sub-Saharan Africa,Sub-Saharan Africa,COM,174,Low SDI,LIC,Comoros,Comoros,Comoros,Sub-Saharan Africa,Sub-Saharan Africa,Comoros
