Super_region,Region,location_gbd,gbd2019,location_wb,location_who,location_ncdrisc,NCD_region,SDI,World_bank_2015,iso3,LocID,wb2021
South Asia,South Asia,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,South Asia,Low SDI,LIC,AFG,4,LIC
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Albania,Albania,Albania,Albania,Albania,Central and Eastern Europe,Middle SDI,UMIC,ALB,8,UMIC
North Africa and Middle East,North Africa and Middle East,Algeria,Algeria,Algeria,Algeria,Algeria,"Central Asia, Middle East and North Africa",Middle SDI,UMIC,DZA,12,LMIC
"Southeast Asia, East Asia, and Oceania",Oceania,American Samoa,American Samoa,American Samoa,NA,American Samoa,NA,Middle SDI,UMIC,ASM,16,UMIC
High-income,Western Europe,Andorra,Andorra,Andorra,NA,Andorra,NA,High SDI,HIC,AND,20,HIC
Sub-Saharan Africa,Central Sub-Saharan Africa,Angola,Angola,Angola,Angola,Angola,Sub-Saharan Africa,Low SDI,UMIC,AGO,24,LMIC
Latin America and Caribbean,Caribbean,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,NA,High-middle SDI,HIC,ATG,28,HIC
High-income,Southern Latin America,Argentina,Argentina,Argentina,Argentina,Argentina,Latin America and Caribbean,High-middle SDI,UMIC,ARG,32,UMIC
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Armenia,Armenia,Armenia,Armenia,Armenia,"Central Asia, Middle East and North Africa",High-middle SDI,LMIC,ARM,51,UMIC
High-income,Australasia,Australia,Australia,Australia,Australia,Australia,High-income Western countries,High SDI,HIC,AUS,36,HIC
High-income,Western Europe,Austria,Austria,Austria,Austria,Austria,High-income Western countries,High SDI,HIC,AUT,40,HIC
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,AZE,31,UMIC
North Africa and Middle East,North Africa and Middle East,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,"Central Asia, Middle East and North Africa",Middle SDI,HIC,BHR,48,HIC
South Asia,South Asia,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,South Asia,Low-middle SDI,LMIC,BGD,50,LMIC
Latin America and Caribbean,Caribbean,Barbados,Barbados,Barbados,Barbados,Barbados,Latin America and Caribbean,High-middle SDI,HIC,BRB,52,HIC
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Belarus,Belarus,Belarus,Belarus,Belarus,Central and Eastern Europe,High-middle SDI,UMIC,BLR,112,UMIC
High-income,Western Europe,Belgium,Belgium,Belgium,Belgium,Belgium,High-income Western countries,High SDI,HIC,BEL,56,HIC
Latin America and Caribbean,Caribbean,Belize,Belize,Belize,Belize,Belize,Latin America and Caribbean,Low-middle SDI,UMIC,BLZ,84,LMIC
Sub-Saharan Africa,Western Sub-Saharan Africa,Benin,Benin,Benin,Benin,Benin,Sub-Saharan Africa,Low SDI,LIC,BEN,204,LMIC
Latin America and Caribbean,Caribbean,Bermuda,Bermuda,Bermuda,NA,Bermuda,NA,High-middle SDI,HIC,BMU,60,HIC
South Asia,South Asia,Bhutan,Bhutan,Bhutan,Bhutan,Bhutan,South Asia,Low-middle SDI,LMIC,BTN,64,LMIC
Latin America and Caribbean,Andean Latin America,Bolivia,Bolivia (Plurinational State of),Bolivia,Bolivia (Plurinational State of),Bolivia,Latin America and Caribbean,Low-middle SDI,LMIC,BOL,68,LMIC
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Central and Eastern Europe,Middle SDI,UMIC,BIH,70,UMIC
Sub-Saharan Africa,Southern Sub-Saharan Africa,Botswana,Botswana,Botswana,Botswana,Botswana,Sub-Saharan Africa,Middle SDI,UMIC,BWA,72,UMIC
Latin America and Caribbean,Tropical Latin America,Brazil,Brazil,Brazil,Brazil,Brazil,Latin America and Caribbean,Middle SDI,UMIC,BRA,76,UMIC
High-income,High-income Asia Pacific,Brunei,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,East and South East Asia,High SDI,HIC,BRN,96,HIC
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Central and Eastern Europe,High-middle SDI,UMIC,BGR,100,UMIC
Sub-Saharan Africa,Western Sub-Saharan Africa,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Sub-Saharan Africa,Low SDI,LIC,BFA,854,LIC
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Burundi,Burundi,Burundi,Burundi,Burundi,Sub-Saharan Africa,Low SDI,LIC,BDI,108,LIC
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,East and South East Asia,Low-middle SDI,LMIC,KHM,132,LMIC
Sub-Saharan Africa,Western Sub-Saharan Africa,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Sub-Saharan Africa,Low-middle SDI,LMIC,CMR,116,LMIC
