WB_region15,GBD_region,Country,iso3,LocID,X1.1,X1.2,X3.3,X3.1,X3.5,X3.4,X3.2,X3.6,X3.7,X3.8,X3.9,X2.8,X2.4,X2.14,X2.5,X2.2,X2.3,X2.1,X2.6,X2.7,X2.11,X2.10,X2.13,X2.12,X2.9,X4.2,X4.1,X4.3,X4.4,X5.1,X5.2,X5.3,X5.4,X5.5,X5.6,X5.7
LIC,North Africa and Middle East,Afghanistan,AFG,4,0.01,0.455857665,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.455857665,0.455857665,0.455857665,0.455857665,0.455857665,0.455857665,0.455857665,0.455857665,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06,0,1,0.666666667,1,0,0.25,0
UMIC,Central Europe,Albania,ALB,8,0.043,0.314830039,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.314830039,0.314830039,0.314830039,0.314830039,0.314830039,0.314830039,0.314830039,0.314830039,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0.5,0.5,0.833333333,0,0,0.25,0
UMIC,North Africa and Middle East,Algeria,DZA,12,0.043,0.393180294,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.393180294,0.393180294,0.393180294,0.393180294,0.393180294,0.393180294,0.393180294,0.393180294,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0,1,0.333333333,1,0,0.25,0
UMIC,Oceania,American Samoa,ASM,16,0.043,0.491180417,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.491180417,0.491180417,0.491180417,0.491180417,0.491180417,0.491180417,0.491180417,0.491180417,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0,0,0,0,0,0,0
HIC,Western Europe,Andorra,AND,20,0.103,0.550191428,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.550191428,0.550191428,0.550191428,0.550191428,0.550191428,0.550191428,0.550191428,0.550191428,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,0.5,0.5,0.166666667,0,0,0,0
UMIC,Central Sub‐Saharan Africa,Angola,AGO,24,0.043,0.24734747,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.24734747,0.24734747,0.24734747,0.24734747,0.24734747,0.24734747,0.24734747,0.24734747,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0,0,0.166666667,0,0,0,0
HIC,Caribbean,Antigua and Barbuda,ATG,28,0.103,0.494656148,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.494656148,0.494656148,0.494656148,0.494656148,0.494656148,0.494656148,0.494656148,0.494656148,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,0,0,0.166666667,0,0,0.25,0
UMIC,Southern Latin America,Argentina,ARG,32,0.043,0.410366885,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.410366885,0.410366885,0.410366885,0.410366885,0.410366885,0.410366885,0.410366885,0.410366885,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,1,0.5,0.666666667,0.5,0.75,0.75,0
LMIC,Central Asia,Armenia,ARM,51,0.01,0.283132411,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.283132411,0.283132411,0.283132411,0.283132411,0.283132411,0.283132411,0.283132411,0.283132411,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13,0,0.5,0.166666667,1,0,0.75,0
HIC,Australasia,Australia,AUS,36,0.103,0.479571047,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.479571047,0.479571047,0.479571047,0.479571047,0.479571047,0.479571047,0.479571047,0.479571047,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,0.5,0.5,0.833333333,0,0.5,0,0
HIC,Western Europe,Austria,AUT,40,0.103,0.538503579,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.538503579,0.538503579,0.538503579,0.538503579,0.538503579,0.538503579,0.538503579,0.538503579,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63,1,0.5,0.5,0,0.25,1,0
UMIC,Central Asia,Azerbaijan,AZE,31,0.043,0.418963721,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.418963721,0.418963721,0.418963721,0.418963721,0.418963721,0.418963721,0.418963721,0.418963721,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46,0,0.5,0.333333333,0.5,0.5,0.5,0
