ISO3,ParentLocation,Country,MD_per_10K,N_mper_10K,total_HRH,SBA.coverage,UHC_idex,GNI_2020,conflict_frag,HSP,,,,,,,
AFG,Eastern Mediterranean,Afghanistan,2.97,4.46,7.43,61.8,37,2100,conflict,conflict,,,,,,,
AGO,Africa,Angola,2.14,4.08,6.22,49.6,39,5930,neither,conflict,,,,,,,
ALB,Europe,Albania,18.75,60.46,79.21,99.8,62,13410,neither,conflict,,,,,,,
AND,Europe,Andorra,33.33,40.13,73.46,100,77,NA,neither,conflict,,,,,,,
ARE,Eastern Mediterranean,United Arab Emirates,26.01,57.46,83.47,99.2,78,66680,neither,conflict,,,,,,,
ARG,Americas,Argentina,39.9,26,65.9,98.8,73,20230,neither,conflict,,,,,,,
ARM,Europe,Armenia,29.14,49.54,78.68,99.8,69,13100,neither,conflict,,,,,,,
ATG,Americas,Antigua and Barbuda,27.67,44.97,72.64,99,72,17910,neither,conflict,,,,,,,
AUS,Western Pacific,Australia,38.5,131.4,169.9,98.8,87,52230,neither,conflict,,,,,,,
AUT,Europe,Austria,52.73,105.6,158.33,98.1,82,55620,neither,conflict,,,,,,,
AZE,Europe,Azerbaijan,34.46,64.34,98.8,99.9,65,14390,neither,conflict,,,,,,,
BDI,Africa,Burundi,0.72,6.49,7.21,85.1,44,780,fragile,fragile,,,,,,,
BEN,Africa,Benin,0.65,3.03,3.68,78.1,38,3470,neither,conflict,,,,,,,
BFA,Africa,Burkina Faso,0.94,9.27,10.21,79.8,43,2110,conflict,conflict,,,,,,,
BGD,South-East Asia,Bangladesh,6.67,4.89,11.56,59,51,6240,neither,conflict,,,,,,,
BGR,Europe,Bulgaria,42.07,47.85,89.92,99.8,70,24100,neither,conflict,,,,,,,
BHR,Eastern Mediterranean,Bahrain,9.26,24.94,34.2,99.6,71,40730,neither,conflict,,,,,,,
BHS,Americas,Bahamas,23.08,40.55,63.63,99,70,27750,neither, HS3,,,,,,,
BIH,Europe,Bosnia and Herzegovina,21.62,61.8,83.42,99.9,65,15460,neither, HS3,,,,,,,
BLR,Europe,Belarus,51.91,110,161.91,99.9,74,19040,neither, HS3,,,,,,,
BLZ,Americas,Belize,10.78,23.41,34.19,94.6,67,5940,neither, HS3,,,,,,,
BOL,Americas,Bolivia (Plurinational State of),10.3,15.59,25.89,81.1,67,8190,neither,  HS2 ,,,,,,,
BRA,Americas,Brazil,23.11,74.01,97.12,99.1,75,14440,neither, HS3,,,,,,,
BRB,Americas,Barbados,17.7,47.45,65.15,98.4,74,13840,neither, HS3,,,,,,,
BRN,Western Pacific,Brunei Darussalam,16.09,60.99,77.08,99.8,77,67580,neither, HS3,,,,,,,
BTN,South-East Asia,Bhutan,4.99,20.78,25.77,96.3,62,10440,neither, HS3,,,,,,,
BWA,Africa,Botswana,3.78,54.57,58.35,99.8,54,15210,neither, HS3,,,,,,,
CAF,Africa,Central African Republic,0.72,2.56,3.28,40.3,32,1040,conflict,conflict,,,,,,,
