measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Croatia,Both,All ages,Self-harm,Number,2019,22507.24021791819,28487.70030198456,17453.962107306
YLLs (Years of Life Lost),Vanuatu,Both,All ages,Self-harm,Number,2019,2822.0260306953046,3850.871405301664,1759.2255508258113
YLLs (Years of Life Lost),Myanmar,Both,All ages,Self-harm,Number,2019,97537.0966126753,127266.81146573609,70410.88723773355
YLLs (Years of Life Lost),Russian Federation,Both,All ages,Self-harm,Number,2019,1673981.347372301,2081115.354974273,1389083.7978048532
YLLs (Years of Life Lost),Egypt,Both,All ages,Self-harm,Number,2019,150341.86596851159,241391.86818921447,96417.53447168593
YLLs (Years of Life Lost),Ukraine,Both,All ages,Self-harm,Number,2019,594298.6481595942,707724.4554112913,493972.4598151554
YLLs (Years of Life Lost),Yemen,Both,All ages,Self-harm,Number,2019,83163.90695067572,120371.21713303043,52517.23909058247
YLLs (Years of Life Lost),Czechia,Both,All ages,Self-harm,Number,2019,54403.91772857821,66532.05002980882,44404.4162793625
YLLs (Years of Life Lost),Gabon,Both,All ages,Self-harm,Number,2019,7040.252541907519,10311.461356540416,4618.744829634546
YLLs (Years of Life Lost),Gambia,Both,All ages,Self-harm,Number,2019,5503.181401427835,7929.741974039057,3519.2668518594037
YLLs (Years of Life Lost),Finland,Both,All ages,Self-harm,Number,2019,34279.33880395589,36315.070336808625,32169.20690932087
YLLs (Years of Life Lost),Uganda,Both,All ages,Self-harm,Number,2019,96437.99389632604,130360.2560897099,69282.2035267983
YLLs (Years of Life Lost),France,Both,All ages,Self-harm,Number,2019,379525.1786348121,410918.41683984175,356027.9721218805
YLLs (Years of Life Lost),Saint Kitts and Nevis,Both,All ages,Self-harm,Number,2019,87.65525101148462,121.27299398804895,51.417361119308964
YLLs (Years of Life Lost),United Kingdom,Both,All ages,Self-harm,Number,2019,234716.73241464293,243967.69117907906,227853.5472898867
YLLs (Years of Life Lost),El Salvador,Both,All ages,Self-harm,Number,2019,26861.773029474967,35721.08542933909,19271.290169667725
YLLs (Years of Life Lost),Zambia,Both,All ages,Self-harm,Number,2019,63996.82772224433,86370.33331508291,45166.373822712805
YLLs (Years of Life Lost),Brunei Darussalam,Both,All ages,Self-harm,Number,2019,1139.9296945263354,1331.5747935347888,869.0694044135201
YLLs (Years of Life Lost),Guatemala,Both,All ages,Self-harm,Number,2019,52545.715006892446,66353.67035809229,41084.346460670116
YLLs (Years of Life Lost),Iraq,Both,All ages,Self-harm,Number,2019,105652.91944594444,148982.67179785564,77261.9453100858
YLLs (Years of Life Lost),Armenia,Both,All ages,Self-harm,Number,2019,10346.456844147491,12265.65829855307,8738.299298776214
YLLs (Years of Life Lost),Burundi,Both,All ages,Self-harm,Number,2019,35978.0376246072,50526.48920360227,26606.020450398464
YLLs (Years of Life Lost),Dominican Republic,Both,All ages,Self-harm,Number,2019,30367.726805331677,43163.916271286915,21250.20123661076
YLLs (Years of Life Lost),Jordan,Both,All ages,Self-harm,Number,2019,12917.97326900467,16033.345202723745,10242.794851274868
YLLs (Years of Life Lost),Ghana,Both,All ages,Self-harm,Number,2019,88438.91298738387,118662.44752342135,63387.5781466329
YLLs (Years of Life Lost),Afghanistan,Both,All ages,Self-harm,Number,2019,85417.52905094257,121619.89069215863,63175.783449135415
YLLs (Years of Life Lost),San Marino,Both,All ages,Self-harm,Number,2019,142.4574014459141,218.09775096165293,89.35120382593465
YLLs (Years of Life Lost),Hungary,Both,All ages,Self-harm,Number,2019,64439.288598713945,78817.62042496346,52451.92186260169
YLLs (Years of Life Lost),Thailand,Both,All ages,Self-harm,Number,2019,317792.28028157965,424600.0731265833,227075.90627306036
YLLs (Years of Life Lost),North Macedonia,Both,All ages,Self-harm,Number,2019,7566.0036687982165,9643.662335450077,5689.474428392573
YLLs (Years of Life Lost),Azerbaijan,Both,All ages,Self-harm,Number,2019,17447.823975624447,23145.11269994925,12196.42717678225
YLLs (Years of Life Lost),American Samoa,Both,All ages,Self-harm,Number,2019,206.50086179831214,280.6383963963488,154.6629581136763
YLLs (Years of Life Lost),Sudan,Both,All ages,Self-harm,Number,2019,111717.60460621965,167252.96632493427,68329.97073834621
YLLs (Years of Life Lost),Grenada,Both,All ages,Self-harm,Number,2019,213.6122477692799,249.1441925994356,181.0602412662575
YLLs (Years of Life Lost),Sri Lanka,Both,All ages,Self-harm,Number,2019,193454.4687524361,258079.6003564174,142429.65104769194
YLLs (Years of Life Lost),Democratic People's Republic of Korea,Both,All ages,Self-harm,Number,2019,119035.72285136474,171050.8659418686,86001.30697708024
YLLs (Years of Life Lost),Botswana,Both,All ages,Self-harm,Number,2019,19391.30847506671,29552.030993832857,12010.779080852411
YLLs (Years of Life Lost),Comoros,Both,All ages,Self-harm,Number,2019,1624.8288290479613,2544.1799202289326,941.9302806392252
YLLs (Years of Life Lost),Nicaragua,Both,All ages,Self-harm,Number,2019,18617.735791571322,24444.91074547553,14050.21056503538
YLLs (Years of Life Lost),Montenegro,Both,All ages,Self-harm,Number,2019,4108.903494580952,5333.792769796494,3210.3645837547383
YLLs (Years of Life Lost),Djibouti,Both,All ages,Self-harm,Number,2019,3215.772814185123,5201.357042667584,1823.0958712776771
YLLs (Years of Life Lost),Chile,Both,All ages,Self-harm,Number,2019,90856.79626660631,96671.83048339495,85471.72301726523
YLLs (Years of Life Lost),Iceland,Both,All ages,Self-harm,Number,2019,1390.3124280524805,1522.9780504424793,1266.6038961270997
YLLs (Years of Life Lost),Guinea-Bissau,Both,All ages,Self-harm,Number,2019,7476.719381461671,10053.894749485442,5252.954413981777
YLLs (Years of Life Lost),Bermuda,Both,All ages,Self-harm,Number,2019,95.08293937247721,116.08059211941725,78.66327595971572
YLLs (Years of Life Lost),Greece,Both,All ages,Self-harm,Number,2019,17443.226129493072,19046.599304470143,16248.396199690236
YLLs (Years of Life Lost),Bangladesh,Both,All ages,Self-harm,Number,2019,366285.27519819903,465759.8697113086,284273.78413868597
YLLs (Years of Life Lost),Mexico,Both,All ages,Self-harm,Number,2019,401962.5971957551,467266.8127474063,342279.0678683955
YLLs (Years of Life Lost),Tuvalu,Both,All ages,Self-harm,Number,2019,98.37298528470083,134.76666465263486,66.62782253517527
YLLs (Years of Life Lost),Japan,Both,All ages,Self-harm,Number,2019,855204.8767509902,884510.1110478049,825537.5688256554
YLLs (Years of Life Lost),Lesotho,Both,All ages,Self-harm,Number,2019,34084.50439923745,51837.1876436526,16387.667800735922
YLLs (Years of Life Lost),Lebanon,Both,All ages,Self-harm,Number,2019,8667.742214562364,13246.374506561779,5477.669345217975
YLLs (Years of Life Lost),Bhutan,Both,All ages,Self-harm,Number,2019,1812.167397700712,2831.622674006778,1161.0600963948655
YLLs (Years of Life Lost),Timor-Leste,Both,All ages,Self-harm,Number,2019,3217.708170035932,4540.189512595523,1511.2827632434498
YLLs (Years of Life Lost),Kuwait,Both,All ages,Self-harm,Number,2019,6649.240018918313,8078.4074918407605,5460.537156692026
YLLs (Years of Life Lost),Georgia,Both,All ages,Self-harm,Number,2019,11934.443983435505,14196.381860490455,9933.086925075962
