ISO,Sex,Year,Number of Smokers All Ages,Number of Smokers All Ages Lower Bound,Number of Smokers All Ages Upper Bound
AFG,Male,1980,651813,518631,790133
AFG,Male,1981,640826,510541,772269
AFG,Male,1982,624355,495397,751967
AFG,Male,1983,604572,478138,734598
AFG,Male,1984,584905,460734,712558
AFG,Male,1985,568786,446250,692912
AFG,Male,1986,556301,435444,676924
AFG,Male,1987,546936,428821,669222
AFG,Male,1988,545540,431011,670388
AFG,Male,1989,558210,441311,686372
AFG,Male,1990,588319,466636,729092
AFG,Male,1991,638989,512553,789814
AFG,Male,1992,708380,570433,880531
AFG,Male,1993,787847,637482,967812
AFG,Male,1994,865100,696107,1062163
AFG,Male,1995,932830,748080,1146026
AFG,Male,1996,985659,797926,1210355
AFG,Male,1997,1025349,833566,1251999
AFG,Male,1998,1052159,854073,1285811
AFG,Male,1999,1077138,874281,1318883
AFG,Male,2000,1108812,896585,1351285
AFG,Male,2001,1149511,934917,1400086
AFG,Male,2002,1198356,968221,1460277
AFG,Male,2003,1252098,1013245,1514749
AFG,Male,2004,1305098,1057753,1567425
AFG,Male,2005,1353950,1099389,1639250
AFG,Male,2006,1397587,1122750,1700315
AFG,Male,2007,1437977,1141153,1757421
AFG,Male,2008,1476933,1177759,1819521
AFG,Male,2009,1518511,1218887,1854886
AFG,Male,2010,1563656,1261192,1906041
AFG,Male,2011,1613527,1303621,1964995
AFG,Male,2012,1668864,1343646,2024565
AFG,Female,1980,81707,57760,111685
AFG,Female,1981,79276,56313,109053
AFG,Female,1982,76061,54359,105436
AFG,Female,1983,72411,51823,99301
AFG,Female,1984,68908,49162,94366
AFG,Female,1985,65946,46636,90395
AFG,Female,1986,63570,45098,88354
AFG,Female,1987,61716,43522,86218
AFG,Female,1988,60768,42776,85278
AFG,Female,1989,61324,43342,86190
AFG,Female,1990,63711,45297,89240
AFG,Female,1991,68289,48691,94904
AFG,Female,1992,74721,53751,103293
AFG,Female,1993,82119,59023,112383
AFG,Female,1994,89356,64310,123599
AFG,Female,1995,95703,69364,131223
AFG,Female,1996,100795,71627,138270
AFG,Female,1997,106644,76413,146303
AFG,Female,1998,111314,80267,154189
AFG,Female,1999,115541,83849,159131
AFG,Female,2000,120114,86333,166420
AFG,Female,2001,125384,89272,173450
AFG,Female,2002,131469,93547,180242
AFG,Female,2003,137947,98585,187817
AFG,Female,2004,144378,102697,198430
AFG,Female,2005,150483,107096,205919
AFG,Female,2006,156158,110902,212909
AFG,Female,2007,161714,114364,218580
AFG,Female,2008,167313,118944,228080
AFG,Female,2009,173446,124513,237610
AFG,Female,2010,179969,127950,248014
AFG,Female,2011,186782,132330,258828
AFG,Female,2012,193836,138710,266365
AFG,Both,1980,733520,599568,870540
AFG,Both,1981,720102,584248,855963
AFG,Both,1982,700415,566914,830456
AFG,Both,1983,676984,551381,812776
AFG,Both,1984,653812,530236,786535
AFG,Both,1985,634732,511883,761018
AFG,Both,1986,619871,498087,744629
AFG,Both,1987,608651,488325,733968
AFG,Both,1988,606307,487620,735155
AFG,Both,1989,619534,501113,753507
AFG,Both,1990,652030,535115,789943
AFG,Both,1991,707278,580013,856296
AFG,Both,1992,783101,646467,952721
AFG,Both,1993,869965,719949,1053538
AFG,Both,1994,954455,786069,1149827
AFG,Both,1995,1028533,843401,1248633
AFG,Both,1996,1086454,896489,1317192
AFG,Both,1997,1131993,937188,1358318
AFG,Both,1998,1163473,967919,1396880
AFG,Both,1999,1192680,988220,1431813
AFG,Both,2000,1228925,1013846,1475359
AFG,Both,2001,1274895,1051996,1531574
AFG,Both,2002,1329825,1096170,1606032
AFG,Both,2003,1390046,1143292,1666403
AFG,Both,2004,1449475,1196140,1723150
AFG,Both,2005,1504433,1236068,1802897
AFG,Both,2006,1553745,1267529,1868297
AFG,Both,2007,1599691,1302416,1924359
AFG,Both,2008,1644245,1342673,1976427
AFG,Both,2009,1691957,1388250,2025698
AFG,Both,2010,1743624,1435031,2102197
AFG,Both,2011,1800309,1492924,2156853
AFG,Both,2012,1862700,1530591,2221895
AGO,Male,1980,331804,267015,407368
AGO,Male,1981,344356,274934,424159
AGO,Male,1982,357951,285783,448224
AGO,Male,1983,371975,297984,466688
AGO,Male,1984,385683,305136,480823
AGO,Male,1985,398476,318763,498183
AGO,Male,1986,410002,329292,507206
AGO,Male,1987,420293,337778,519068
AGO,Male,1988,429912,346784,529381
AGO,Male,1989,440031,353091,538348
AGO,Male,1990,451343,363304,558526
AGO,Male,1991,464225,369555,580853
AGO,Male,1992,478584,381785,604485
AGO,Male,1993,494905,390760,624160
AGO,Male,1994,511413,404089,639964
AGO,Male,1995,527270,416693,660499
AGO,Male,1996,541308,431275,677009
AGO,Male,1997,555304,443338,690734
AGO,Male,1998,569400,454952,708317
AGO,Male,1999,584547,464984,735347
AGO,Male,2000,601257,475431,747541
AGO,Male,2001,620221,490166,765754
AGO,Male,2002,640216,502553,786660
AGO,Male,2003,661704,520025,816257
AGO,Male,2004,683860,536844,838993
AGO,Male,2005,705528,555562,871770
AGO,Male,2006,726667,571376,900595
AGO,Male,2007,747739,590182,922738
AGO,Male,2008,769559,600523,949330
AGO,Male,2009,793103,621385,983425
AGO,Male,2010,818200,641863,1016903
AGO,Male,2011,844787,666905,1050299
AGO,Male,2012,872950,685327,1092045
AGO,Female,1980,23628,16182,33985
AGO,Female,1981,24330,16491,34955
AGO,Female,1982,25088,17142,35856
AGO,Female,1983,25849,17922,37613
AGO,Female,1984,26596,18335,37930
AGO,Female,1985,27310,18655,39576
AGO,Female,1986,27988,18985,39899
AGO,Female,1987,28647,19315,41058
AGO,Female,1988,29311,19553,42411
AGO,Female,1989,30010,19950,43778
AGO,Female,1990,30761,20764,45771
AGO,Female,1991,31601,21615,45974
AGO,Female,1992,32563,22571,46601
AGO,Female,1993,33604,23109,48151
AGO,Female,1994,34617,23953,50163
AGO,Female,1995,35600,24660,51531
AGO,Female,1996,36546,25541,53128
AGO,Female,1997,38334,26829,55442
AGO,Female,1998,40950,28551,59188
AGO,Female,1999,43849,30234,63048
AGO,Female,2000,46818,32169,67601
AGO,Female,2001,49824,34435,72072
AGO,Female,2002,52818,36653,76022
AGO,Female,2003,55809,38699,79762
AGO,Female,2004,58755,40242,83539
AGO,Female,2005,61608,42019,89729
AGO,Female,2006,64417,44738,94352
AGO,Female,2007,67120,46672,96385
AGO,Female,2008,69819,48774,100547
AGO,Female,2009,72575,51553,105580
AGO,Female,2010,75343,53415,110394
AGO,Female,2011,78239,55313,112292
AGO,Female,2012,81267,57342,118177
AGO,Both,1980,355432,290797,432101
AGO,Both,1981,368686,299628,449353
AGO,Both,1982,383039,307885,471601
AGO,Both,1983,397824,319757,492301
AGO,Both,1984,412279,330348,509376
AGO,Both,1985,425787,344661,525965
AGO,Both,1986,437990,356449,535699
AGO,Both,1987,448940,364548,549135
AGO,Both,1988,459222,374306,558406
AGO,Both,1989,470041,382789,568556
AGO,Both,1990,482103,395138,590745
AGO,Both,1991,495826,403126,610188
AGO,Both,1992,511147,413354,638204
AGO,Both,1993,528509,423330,654958
AGO,Both,1994,546030,438807,676697
AGO,Both,1995,562869,451380,694302
AGO,Both,1996,577854,467182,711219
AGO,Both,1997,593637,479285,728167
AGO,Both,1998,610351,492927,745926
AGO,Both,1999,628396,508021,774990
AGO,Both,2000,648075,523593,796322
AGO,Both,2001,670045,539811,817008
AGO,Both,2002,693035,555984,841091
AGO,Both,2003,717513,574236,868144
AGO,Both,2004,742615,594851,900051
AGO,Both,2005,767136,619183,929058
AGO,Both,2006,791084,634428,963619
AGO,Both,2007,814860,652476,986351
AGO,Both,2008,839378,671586,1018190
AGO,Both,2009,865678,686137,1052754
AGO,Both,2010,893543,711962,1091120
AGO,Both,2011,923026,738379,1132091
AGO,Both,2012,954216,768142,1174037
ALB,Male,1980,333318,286031,377873
ALB,Male,1981,343245,295713,392914
ALB,Male,1982,353311,304379,404205
ALB,Male,1983,363785,313524,414683
ALB,Male,1984,374972,322966,426658
ALB,Male,1985,387002,335871,441203
ALB,Male,1986,400193,347475,454447
ALB,Male,1987,414231,359791,470024
ALB,Male,1988,427897,372482,486873
ALB,Male,1989,439003,381052,496741
ALB,Male,1990,446803,389833,506403
ALB,Male,1991,451479,395836,513508
ALB,Male,1992,452844,396254,513536
ALB,Male,1993,451527,394700,510469
ALB,Male,1994,449317,393916,506751
ALB,Male,1995,447238,391985,503346
ALB,Male,1996,445488,392938,499224
ALB,Male,1997,439233,389713,492305
ALB,Male,1998,434630,387875,482464
ALB,Male,1999,430428,387017,472686
ALB,Male,2000,426043,385358,464626
ALB,Male,2001,421364,381714,456718
ALB,Male,2002,416609,380070,450349
ALB,Male,2003,401310,365012,435251
ALB,Male,2004,389803,355897,423014
ALB,Male,2005,392414,357481,427250
ALB,Male,2006,398020,360714,434066
ALB,Male,2007,405916,365866,446379
ALB,Male,2008,415547,373576,457549
ALB,Male,2009,426584,383690,469246
ALB,Male,2010,437103,391835,481100
ALB,Male,2011,448520,400889,498548
ALB,Male,2012,460614,407225,516371
ALB,Female,1980,27584,20220,37507
ALB,Female,1981,28413,20730,39094
ALB,Female,1982,29246,21083,40616
ALB,Female,1983,30082,21249,41520
ALB,Female,1984,30947,22100,42915
ALB,Female,1985,31869,22966,44767
ALB,Female,1986,32809,23563,45371
ALB,Female,1987,33774,24163,46769
ALB,Female,1988,34717,25024,47979
ALB,Female,1989,35487,25545,48370
ALB,Female,1990,36047,26149,49020
ALB,Female,1991,36412,26609,49105
ALB,Female,1992,36574,26908,49039
ALB,Female,1993,36552,27172,48166
ALB,Female,1994,36458,27403,48336
ALB,Female,1995,36355,27545,47874
ALB,Female,1996,36235,27534,47576
ALB,Female,1997,35989,27586,46647
ALB,Female,1998,35767,27597,45750
ALB,Female,1999,35466,27888,44848
ALB,Female,2000,35035,28075,43476
ALB,Female,2001,34513,27955,42219
ALB,Female,2002,34027,27880,40925
ALB,Female,2003,33277,27145,40241
ALB,Female,2004,33057,26920,40203
ALB,Female,2005,34169,27787,41521
ALB,Female,2006,35832,29097,43362
ALB,Female,2007,37914,30535,46160
ALB,Female,2008,40251,32382,48915
ALB,Female,2009,42768,34575,51911
ALB,Female,2010,44575,35665,55239
ALB,Female,2011,46461,36719,58037
ALB,Female,2012,48426,37715,61355
ALB,Both,1980,360902,313036,408849
ALB,Both,1981,371658,323181,420950
ALB,Both,1982,382557,334225,434262
ALB,Both,1983,393867,344379,446112
ALB,Both,1984,405919,354109,461157
ALB,Both,1985,418871,365027,474866
ALB,Both,1986,433002,377955,488639
ALB,Both,1987,448005,394006,505755
