measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Prevalence,Honduras,Male,1 to 4,Heart failure due to myocarditis,Heart failure,Rate,2019,1.238973955,1.964913455,0.68524223
Prevalence,Honduras,Female,1 to 4,Heart failure due to myocarditis,Heart failure,Rate,2019,0.840142887,1.404126749,0.464318344
Prevalence,Honduras,Male,5 to 9,Heart failure due to myocarditis,Heart failure,Rate,2019,1.450774321,2.610895935,0.714656552
Prevalence,Honduras,Female,5 to 9,Heart failure due to myocarditis,Heart failure,Rate,2019,0.738516603,1.363565442,0.333746204
Prevalence,Honduras,Male,10 to 14,Heart failure due to myocarditis,Heart failure,Rate,2019,0.604639175,1.148971353,0.255094386
Prevalence,Honduras,Female,10 to 14,Heart failure due to myocarditis,Heart failure,Rate,2019,0.523170511,1.032371061,0.203215903
Prevalence,Honduras,Male,15 to 19,Heart failure due to myocarditis,Heart failure,Rate,2019,0.95883429,1.822858445,0.408572696
Prevalence,Honduras,Female,15 to 19,Heart failure due to myocarditis,Heart failure,Rate,2019,0.719537778,1.414550957,0.283208324
Prevalence,Honduras,Male,20 to 24,Heart failure due to myocarditis,Heart failure,Rate,2019,1.197202851,2.048142489,0.594095032
Prevalence,Honduras,Female,20 to 24,Heart failure due to myocarditis,Heart failure,Rate,2019,0.759119831,1.356644899,0.35646593
Prevalence,Honduras,Male,25 to 29,Heart failure due to myocarditis,Heart failure,Rate,2019,1.147152525,2.087809248,0.499375465
Prevalence,Honduras,Female,25 to 29,Heart failure due to myocarditis,Heart failure,Rate,2019,0.868458852,1.625719919,0.338915246
Prevalence,Honduras,Male,30 to 34,Heart failure due to myocarditis,Heart failure,Rate,2019,0.056420177,0.488340221,0
Prevalence,Honduras,Female,30 to 34,Heart failure due to myocarditis,Heart failure,Rate,2019,0.256569576,0.827550775,0
Prevalence,Honduras,Male,35 to 39,Heart failure due to myocarditis,Heart failure,Rate,2019,0.097999021,0.591128339,0
Prevalence,Honduras,Female,35 to 39,Heart failure due to myocarditis,Heart failure,Rate,2019,0.308272961,0.835807731,0
Prevalence,Honduras,Male,40 to 44,Heart failure due to myocarditis,Heart failure,Rate,2019,0.381285987,1.254256186,0
Prevalence,Honduras,Female,40 to 44,Heart failure due to myocarditis,Heart failure,Rate,2019,0.466439135,1.066895102,0.083318397
Prevalence,Honduras,Male,45 to 49,Heart failure due to myocarditis,Heart failure,Rate,2019,1.03143334,2.074282371,0.338903475
Prevalence,Honduras,Female,45 to 49,Heart failure due to myocarditis,Heart failure,Rate,2019,0.914104073,1.656648061,0.431578668
Prevalence,Honduras,Male,50 to 54,Heart failure due to myocarditis,Heart failure,Rate,2019,2.059192571,3.879513295,0.902261828
Prevalence,Honduras,Female,50 to 54,Heart failure due to myocarditis,Heart failure,Rate,2019,1.179950646,2.119073787,0.550998436
Prevalence,Honduras,Male,55 to 59,Heart failure due to myocarditis,Heart failure,Rate,2019,2.195036659,4.303860517,0.905117736
Prevalence,Honduras,Female,55 to 59,Heart failure due to myocarditis,Heart failure,Rate,2019,1.610430494,3.0344882,0.685539839
Prevalence,Honduras,Male,60 to 64,Heart failure due to myocarditis,Heart failure,Rate,2019,4.550008073,7.777145209,2.296835955
Prevalence,Honduras,Female,60 to 64,Heart failure due to myocarditis,Heart failure,Rate,2019,2.356882861,4.14886636,1.15904176
Prevalence,Honduras,Male,65 to 69,Heart failure due to myocarditis,Heart failure,Rate,2019,7.586420952,12.6900895,4.380407127
Prevalence,Honduras,Female,65 to 69,Heart failure due to myocarditis,Heart failure,Rate,2019,3.701708404,6.35243842,2.024577482
Prevalence,Honduras,Male,70 to 74,Heart failure due to myocarditis,Heart failure,Rate,2019,10.94883277,19.54934147,5.587439463
Prevalence,Honduras,Female,70 to 74,Heart failure due to myocarditis,Heart failure,Rate,2019,4.640938716,8.561791724,2.32222487
Prevalence,Honduras,Male,75 to 79,Heart failure due to myocarditis,Heart failure,Rate,2019,14.42158073,25.34247855,7.540257937
Prevalence,Honduras,Female,75 to 79,Heart failure due to myocarditis,Heart failure,Rate,2019,8.284198184,14.27359035,4.268780521
Prevalence,Honduras,Male,<1 year,Heart failure due to myocarditis,Heart failure,Rate,2019,0.518917962,0.885705226,0.281148269
Prevalence,Honduras,Female,<1 year,Heart failure due to myocarditis,Heart failure,Rate,2019,0.218376978,0.386491352,0.115493122
Prevalence,Honduras,Male,80 to 84,Heart failure due to myocarditis,Heart failure,Rate,2019,21.8295577,37.31985238,11.36492061
Prevalence,Honduras,Female,80 to 84,Heart failure due to myocarditis,Heart failure,Rate,2019,13.57995772,23.15689331,7.309636268
Prevalence,Honduras,Male,85 plus,Heart failure due to myocarditis,Heart failure,Rate,2019,54.4552347,90.64957213,29.85994908
Prevalence,Honduras,Female,85 plus,Heart failure due to myocarditis,Heart failure,Rate,2019,37.22439763,60.53564273,19.61529452
Prevalence,Honduras,Male,1 to 4,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,0,0,0
Prevalence,Honduras,Female,1 to 4,Heart failure due to ischemic heart disease,Heart failure,Rate,2019,0,0,0
Prevalence,Oman,Male,1 to 4,Heart failure due to myocarditis,Heart failure,Rate,2010,7.91443311,12.71778048,4.373680243
Prevalence,Oman,Female,1 to 4,Heart failure due to myocarditis,Heart failure,Rate,2010,5.301335536,8.915845609,2.730327657
Prevalence,Oman,Male,5 to 9,Heart failure due to myocarditis,Heart failure,Rate,2010,6.860292725,12.36029092,3.197962189
Prevalence,Oman,Female,5 to 9,Heart failure due to myocarditis,Heart failure,Rate,2010,2.935011913,5.355905006,1.347756751
Prevalence,Oman,Male,10 to 14,Heart failure due to myocarditis,Heart failure,Rate,2010,4.612707369,8.700107547,1.780776649
Prevalence,Oman,Female,10 to 14,Heart failure due to myocarditis,Heart failure,Rate,2010,2.449236237,4.607734501,1.071395306
Prevalence,Oman,Male,15 to 19,Heart failure due to myocarditis,Heart failure,Rate,2010,4.819042524,8.612296286,2.222942657
Prevalence,Oman,Female,15 to 19,Heart failure due to myocarditis,Heart failure,Rate,2010,2.891487831,5.366800916,1.277307985
Prevalence,Oman,Male,20 to 24,Heart failure due to myocarditis,Heart failure,Rate,2010,8.663151117,13.8216273,4.651897286
Prevalence,Oman,Female,20 to 24,Heart failure due to myocarditis,Heart failure,Rate,2010,4.046242219,6.904069701,2.103201967
Prevalence,Oman,Male,25 to 29,Heart failure due to myocarditis,Heart failure,Rate,2010,8.137011921,13.14534631,4.376367633
Prevalence,Oman,Female,25 to 29,Heart failure due to myocarditis,Heart failure,Rate,2010,3.86139905,6.804998711,1.885647047
Prevalence,Oman,Male,30 to 34,Heart failure due to myocarditis,Heart failure,Rate,2010,6.868599622,11.94835677,3.432841653
Prevalence,Oman,Female,30 to 34,Heart failure due to myocarditis,Heart failure,Rate,2010,3.360968384,6.237216746,1.473461983
Prevalence,Oman,Male,35 to 39,Heart failure due to myocarditis,Heart failure,Rate,2010,6.516686626,10.77201864,3.501924618
Prevalence,Oman,Female,35 to 39,Heart failure due to myocarditis,Heart failure,Rate,2010,3.128006774,5.636212578,1.576464435
Prevalence,Oman,Male,40 to 44,Heart failure due to myocarditis,Heart failure,Rate,2010,6.13713556,11.11883781,3.055020395
Prevalence,Oman,Female,40 to 44,Heart failure due to myocarditis,Heart failure,Rate,2010,3.749250393,7.283892461,1.801104547
Prevalence,Oman,Male,45 to 49,Heart failure due to myocarditis,Heart failure,Rate,2010,11.9455399,19.25787842,7.024524506
Prevalence,Oman,Female,45 to 49,Heart failure due to myocarditis,Heart failure,Rate,2010,5.904825505,10.13717486,3.213753412
Prevalence,Oman,Male,50 to 54,Heart failure due to myocarditis,Heart failure,Rate,2010,17.38718789,27.9901987,10.26725094
Prevalence,Oman,Female,50 to 54,Heart failure due to myocarditis,Heart failure,Rate,2010,9.165347064,16.56872653,4.899358301
Prevalence,Oman,Male,55 to 59,Heart failure due to myocarditis,Heart failure,Rate,2010,21.74400032,36.51314745,12.27507733
Prevalence,Oman,Female,55 to 59,Heart failure due to myocarditis,Heart failure,Rate,2010,13.45478041,23.36482237,7.040835117
Prevalence,Oman,Male,60 to 64,Heart failure due to myocarditis,Heart failure,Rate,2010,32.45324444,54.50448311,17.31708498
Prevalence,Oman,Female,60 to 64,Heart failure due to myocarditis,Heart failure,Rate,2010,15.60836863,27.65923958,8.034558126
Prevalence,Oman,Male,65 to 69,Heart failure due to myocarditis,Heart failure,Rate,2010,21.1619104,34.9201421,12.41756521
Prevalence,Oman,Female,65 to 69,Heart failure due to myocarditis,Heart failure,Rate,2010,17.58078158,31.55201067,9.480474884
Prevalence,Oman,Male,70 to 74,Heart failure due to myocarditis,Heart failure,Rate,2010,34.51202949,62.31221676,18.1336738
Prevalence,Oman,Female,70 to 74,Heart failure due to myocarditis,Heart failure,Rate,2010,19.15076397,36.17436348,9.19138099
Prevalence,Oman,Male,75 to 79,Heart failure due to myocarditis,Heart failure,Rate,2010,32.81489959,56.1715014,16.76053435
Prevalence,Oman,Female,75 to 79,Heart failure due to myocarditis,Heart failure,Rate,2010,20.18879061,35.21379187,9.955268815
Prevalence,Oman,Male,<1 year,Heart failure due to myocarditis,Heart failure,Rate,2010,2.026308555,3.348536505,1.129496676
Prevalence,Oman,Female,<1 year,Heart failure due to myocarditis,Heart failure,Rate,2010,1.745551205,3.012594336,0.891177449
Prevalence,Oman,Male,80 to 84,Heart failure due to myocarditis,Heart failure,Rate,2010,48.16049282,79.54177281,25.76039689
Prevalence,Oman,Female,80 to 84,Heart failure due to myocarditis,Heart failure,Rate,2010,29.88693971,50.7289703,15.27855148
