"","Average price 500 mls Beer in US$"
"Country"," 2016"
"Afghanistan","1.39"
"Albania","0.71"
"Algeria","1.53"
"Andorra","3.47"
"Angola","2.12"
"Antigua and Barbuda","1.74"
"Argentina","1.16"
"Australia","5.1"
"Azerbaijan","2.03"
"Bahrain","3.49"
"Bangladesh","2.34"
"Barbados","1.17"
"Belarus","0.71"
"Belgium","1.47"
"Bhutan","0.43"
"Bolivia (Plurinational State of)","0.58"
"Bosnia and Herzegovina","0.98"
"Botswana","1.46"
"Brazil","1.3"
"Brunei Darussalam","2.33"
"Bulgaria","0.98"
"Burkina Faso","0.6"
"Burundi","0.43"
"Cabo Verde","3.02"
"Cambodia","0.71"
"Cameroon","0.96"
"Canada","3.47"
"Chad","1.16"
"Chile","1.63"
"China","1.19"
"Colombia","0.69"
"Costa Rica","1.1"
"Côte d'Ivoire","2.34"
"Croatia","1.85"
"Cuba","0.98"
"Cyprus","2.49"
"Czechia","0.86"
"Democratic People's Republic of Korea","0.45"
"Democratic Republic of the Congo","0.51"
"Denmark","5.44"
"Djibouti","6.34"
"Dominica","2.12"
"Dominican Republic","1.06"
"Ecuador","0.73"
"Egypt","1.91"
"El Salvador","0.73"
"Equatorial Guinea","4.63"
"Estonia","1.96"
"Eswatini","0.96"
"Ethiopia","0.5"
"Fiji","1.7"
"Finland","4.91"
"France","5.39"
"Gabon","2.08"
"Gambia","0.98"
"Georgia","1.04"
"Germany","2.65"
"Ghana","1.92"
"Greece","3.02"
"Grenada","1.74"
"Guatemala","1.04"
"Guinea","1.11"
"Guyana","1.17"
"Haiti","0.79"
"Honduras","0.61"
"Hungary","1.16"
"Iceland","4.05"
"India","1.03"
"Indonesia","1.43"
"Iran (Islamic Republic of)","5.11"
"Iraq","1.17"
"Ireland","4.41"
"Israel","6.42"
"Italy","4.56"
"Jamaica","1.75"
"Japan","4.07"
"Jordan","4.07"
"Kazakhstan","0.56"
"Kenya","1.04"
"Kiribati","2.04"
"Kuwait","2.62"
"Kyrgyzstan","1.17"
"Lao People's Democratic Republic","0.9"
"Latvia","2.31"
"Lebanon","2"
"Lesotho","0.83"
"Liberia","0.87"
"Libya","4.56"
"Lithuania","1.55"
"Luxembourg","2.73"
"Madagascar","0.44"
"Malawi","1.17"
"Malaysia","3.58"
"Maldives","2.9"
"Mali","0.87"
"Malta","2.03"
"Mauritius","1.47"
"Mexico","1.09"
"Micronesia (Federated States of)","2.57"
"Monaco","1.74"
"Mongolia","1.13"
"Montenegro","1.77"
"Mozambique","0.69"
"Myanmar","0.44"
"Namibia","1.12"
"Nepal","1.86"
"Netherlands","1.96"
"New Zealand","3.58"
"Nicaragua","0.58"
"Niger","0.87"
"Nigeria","1.16"
"Norway","8.1"
"Oman","4.05"
"Pakistan","1.94"
"Panama","0.52"
"Papua New Guinea","0.64"
"Paraguay","0.71"
"Peru","1.02"
"Philippines","0.58"
"Poland","1.47"
"Portugal","1.96"
"Qatar","7.39"
"Republic of Korea","8.32"
"Republic of Moldova","0.67"
"North Macedonia","0.93"
"Romania","1.16"
"Russian Federation","1.46"
"Rwanda","0.45"
"Saint Kitts and Nevis","1.17"
"Saint Lucia","1.75"
"Samoa","1.3"
"Saudi Arabia","1.27"
"Senegal","1.05"
"Serbia","0.98"
"Seychelles","2.12"
"Sierra Leone","1.01"
"Singapore","6.12"
"Slovakia","0.95"
"Slovenia","1.96"
"Solomon Islands","1.93"
"Somalia","1.16"
"South Africa","1.15"
"Suriname","0.87"
"Sweden","5.79"
"Switzerland","5.28"
"Syrian Arab Republic","1.19"
"Tajikistan","0.35"
"Thailand","1.62"
"Togo","0.98"
"Tonga","1.61"
"Tunisia","2.31"
"Turkmenistan","3.1"
"Tuvalu","2.33"
"Uganda","0.91"
"Ukraine","0.58"
"United Arab Emirates","6.1"
"United Kingdom of Great Britain and Northern Ireland","3.47"
"United Republic of Tanzania","0.96"
"United States of America","3.1"
"Uruguay","1.5"
"Uzbekistan","1.02"
"Vanuatu","2.84"
"Venezuela (Bolivarian Republic of)","0.91"
"Viet Nam","0.53"
"Yemen","3.9"
"Zambia","1.08"
"Zimbabwe","1.08"
