"","Average price 750 mls Wine in US$"
"Country"," 2016"
"Albania","5.09"
"Algeria","5.66"
"Andorra","5.26"
"Angola","15.76"
"Antigua and Barbuda","4.99"
"Armenia","3.73"
"Australia","11.4"
"Austria","8.18"
"Azerbaijan","3.9"
"Bahamas","17.72"
"Bahrain","20.74"
"Barbados","18.39"
"Belarus","5.21"
"Belgium","8.18"
"Belize","12.6"
"Bhutan","5.42"
"Bolivia (Plurinational State of)","5.33"
"Botswana","7.48"
"Brazil","8.79"
"Bulgaria","4.78"
"Burundi","9.19"
"Cambodia","8.41"
"Canada","12.04"
"Chile","5.34"
"China","12.67"
"Colombia","8.5"
"Congo","13.91"
"Cook Islands","10.64"
"Costa Rica","11.74"
"Croatia","5.46"
"Cuba","4.2"
"Cyprus","6.03"
"Czechia","4.33"
"Denmark","9.43"
"Dominica","9.64"
"Dominican Republic","8.24"
"Ecuador","12.6"
"Egypt","7.63"
"El Salvador","10.51"
"Estonia","7.31"
"Ethiopia","2.63"
"Fiji","1.36"
"Finland","11.69"
"France","5.85"
"Gambia","5.88"
"Georgia","4.91"
"Germany","5.85"
"Ghana","10.42"
"Greece","10.14"
"Grenada","9.73"
"Guatemala","8.27"
"Haiti","7.98"
"Honduras","9.43"
"Hungary","4.1"
"Iceland","20.61"
"Indonesia","23.08"
"Iraq","11.29"
"Ireland","11.69"
"Israel","10.91"
"Italy","8.45"
"Jamaica","10.95"
"Japan","11.4"
"Jordan","19.28"
"Kazakhstan","4.69"
"Kenya","8.34"
"Latvia","8.45"
"Lesotho","10.51"
"Lithuania","6.78"
"Luxembourg","8.18"
"Madagascar","6.79"
"Malawi","14.59"
"Malaysia","12.75"
"Malta","5.85"
"Marshall Islands","25.53"
"Mauritius","8.86"
"Mexico","6.83"
"Mongolia","8.43"
"Montenegro","4.68"
"Morocco","6.14"
"Mozambique","6.34"
"Myanmar","15.76"
"Namibia","4.64"
"Nepal","5.86"
"Netherlands","8.45"
"New Zealand","10.67"
"Nicaragua","8.27"
"Nigeria","4.22"
"Norway","16.33"
"Oman","13.64"
"Panama","8.14"
"Papua New Guinea","15.65"
"Paraguay","4.62"
"Peru","7.79"
"Philippines","5.73"
"Poland","5.32"
"Portugal","6.76"
"Qatar","20.75"
"Republic of Moldova","2.24"
"North Macedonia","3.8"
"Romania","3.88"
"Russian Federation","6.3"
"Rwanda","13.33"
"Senegal","7.12"
"Serbia","3.81"
"Seychelles","11.83"
"Singapore","22.87"
"Slovakia","7.78"
"Slovenia","8.45"
"South Africa","3.34"
"Spain","7.61"
"Sri Lanka","10.23"
"Suriname","4.7"
"Sweden","10.08"
"Switzerland","12.68"
"Syrian Arab Republic","3.16"
"Tajikistan","4.64"
"Thailand","15.43"
"Tunisia","4"
"Türkiye","8.91"
"Turkmenistan","5.21"
"Uganda","8.29"
"Ukraine","3.2"
"United Arab Emirates","20.03"
"United Kingdom of Great Britain and Northern Ireland","10.64"
"United Republic of Tanzania","9.49"
"United States of America","12.6"
"Uruguay","5.46"
"Uzbekistan","4.17"
"Venezuela (Bolivarian Republic of)","7.35"
"Viet Nam","11.74"
"Zambia","8.37"
"Zimbabwe","8.32"
