"","Average price 500 mls Spirits in US$"
"Country"," 2016"
"Albania","9.59"
"Argentina","14.18"
"Armenia","15.89"
"Australia","25.9"
"Austria","15.77"
"Azerbaijan","13.44"
"Belarus","18.85"
"Belgium","15.75"
"Bosnia and Herzegovina","13.23"
"Brazil","11.65"
"Bulgaria","12.92"
"Canada","20.8"
"Chile","14.27"
"China","11.71"
"Colombia","15.48"
"Costa Rica","5.86"
"Croatia","10.17"
"Cyprus","13.43"
"Czechia","16.7"
"Denmark","19.24"
"Dominican Republic","14.55"
"Estonia","19.77"
"Finland","27.63"
"France","17.61"
"Georgia","10.1"
"Germany","12.97"
"Greece","17.63"
"Hungary","13.93"
"Iceland","43.38"
"Indonesia","23.3"
"Ireland","28.82"
"Israel","19.13"
"Italy","12.35"
"Kazakhstan","8.68"
"Kenya","11.82"
"Latvia","19.79"
"Lithuania","17.13"
"Luxembourg","11.95"
"Malta","11.54"
"Mexico","10.96"
"Montenegro","13.65"
"Netherlands","13.06"
"New Zealand","24.6"
"Nicaragua","19.82"
"Nigeria","8.5"
"Norway","37.27"
"Paraguay","12.42"
"Peru","11.61"
"Poland","11.38"
"Portugal","13.32"
"North Macedonia","13.85"
"Romania","13.42"
"Russian Federation","18.11"
"Serbia","10.87"
"Singapore","39.31"
"Slovakia","15.39"
"Slovenia","14.89"
"South Africa","11.58"
"Spain","11.86"
"Sweden","27.25"
"Switzerland","19.96"
"Thailand","17.22"
"Trinidad and Tobago","24.46"
"Türkiye","25.72"
"Ukraine","13.96"
"United States of America","25.35"
"Zambia","5.11"
