"country","iso3","LocID"
"San Marino","SMR",NA
"Monaco","MCO",NA
"Saint Vincent and the  Grenadines","VCT",NA
"Saint Kitts and Nevis","KNA",NA
"Nauru","NRU",NA
"The former Yugoslav Republic of Macedonia","MKD",NA
"Tuvalu","TUV",NA
"Democratic  People's Republic of Korea","PRK",NA
"Palau","PLW",NA
"Niue","NIU",NA
"Cook Islands","COK",NA
"Caba Verde","CPV",NA
"Afghanistan","AFG",4
"Albania","ALB",8
"Algeria","DZA",12
"American Samoa","ASM",16
"Andorra","AND",20
"Angola","AGO",24
"Antigua and Barbuda","ATG",28
"Argentina","ARG",32
"Armenia","ARM",51
"Australia","AUS",36
"Austria","AUT",40
"Azerbaijan","AZE",31
"Bahrain","BHR",48
"Bangladesh","BGD",50
"Barbados","BRB",52
"Belarus","BLR",112
"Belgium","BEL",56
"Belize","BLZ",84
"Benin","BEN",204
"Bermuda","BMU",60
"Bhutan","BTN",64
"Bolivia","BOL",68
"Bosnia and Herzegovina","BIH",70
"Botswana","BWA",72
"Brazil","BRA",76
"Brunei","BRN",96
"Bulgaria","BGR",100
"Burkina Faso","BFA",854
"Burundi","BDI",108
"Cambodia","KHM",132
"Cameroon","CMR",116
"Canada","CAN",120
"Cape Verde","CPV",124
"Central African Republic","CAF",140
"Chad","TCD",148
"Chile","CHL",152
"China","CHN",156
"Colombia","COL",170
"Comoros","COM",174
"Congo","COG",178
"Costa Rica","CRI",188
"Cote d'Ivoire","CIV",384
"Croatia","HRV",191
"Cuba","CUB",192
"Cyprus","CYP",196
"Czech Republic","CZE",203
"Democratic Republic of the Congo","COD",180
"Denmark","DNK",208
"Djibouti","DJI",262
"Dominica","DMA",212
"Dominican Republic","DOM",214
"Ecuador","ECU",218
"Egypt","EGY",818
"El Salvador","SLV",222
"Equatorial Guinea","GNQ",226
"Eritrea","ERI",232
"Estonia","EST",233
"Ethiopia","ETH",231
"Federated States of Micronesia","FSM",583
"Fiji","FJI",242
"Finland","FIN",246
"France","FRA",250
"Gabon","GAB",266
"Georgia","GEO",268
"Germany","DEU",276
"Ghana","GHA",288
"Greece","GRC",300
"Greenland","GRL",304
"Grenada","GRD",308
"Guam","GUM",316
"Guatemala","GTM",320
"Guinea","GIN",324
"Guinea-Bissau","GNB",624
"Guyana","GUY",328
"Haiti","HTI",332
"Honduras","HND",340
"Hungary","HUN",348
"Iceland","ISL",352
"India","IND",356
"Indonesia","IDN",360
"Iran","IRN",364
"Iraq","IRQ",368
"Ireland","IRL",372
"Israel","ISR",376
"Italy","ITA",380
"Jamaica","JAM",388
"Japan","JPN",392
"Jordan","JOR",400
"Kazakhstan","KAZ",398
"Kenya","KEN",404
"Kiribati","KIR",296
"Kuwait","KWT",414
"Kyrgyzstan","KGZ",417
"Laos","LAO",418
"Latvia","LVA",428
"Lebanon","LBN",422
"Lesotho","LSO",426
"Liberia","LBR",430
"Libya","LBY",434
"Lithuania","LTU",440
"Luxembourg","LUX",442
"Macedonia","MKD",807
"Madagascar","MDG",450
"Malawi","MWI",454
"Malaysia","MYS",458
"Maldives","MDV",462
"Mali","MLI",466
"Malta","MLT",470
"Marshall Islands","MHL",584
"Mauritania","MRT",478
"Mauritius","MUS",480
"Mexico","MEX",484
"Moldova","MDA",498
"Mongolia","MNG",496
"Montenegro","MNE",499
"Morocco","MAR",504
"Mozambique","MOZ",508
"Myanmar","MMR",104
"Namibia","NAM",516
"Nepal","NPL",524
"Netherlands","NLD",528
"New Zealand","NZL",554
"Nicaragua","NIC",558
"Niger","NER",562
"Nigeria","NGA",566
"North Korea","PRK",408
"Northern Mariana Islands","MNP",580
"Norway","NOR",578
"Oman","OMN",512
"Pakistan","PAK",586
"Palestine","PSE",275
"Panama","PAN",591
"Papua New Guinea","PNG",598
"Paraguay","PRY",600
"Peru","PER",604
"Philippines","PHL",608
"Poland","POL",616
"Portugal","PRT",620
"Puerto Rico","PRI",630
"Qatar","QAT",634
"Romania","ROU",642
"Russian Federation","RUS",643
"Rwanda","RWA",646
"Saint Lucia","LCA",662
"Saint Vincent and the Grenadines","VCT",670
"Samoa","WSM",882
"Sao Tome and Principe","STP",678
"Saudi Arabia","SAU",682
"Senegal","SEN",686
"Serbia","SRB",688
"Seychelles","SYC",690
"Sierra Leone","SLE",694
"Singapore","SGP",702
"Slovakia","SVK",703
"Slovenia","SVN",705
"Solomon Islands","SLB",90
"Somalia","SOM",706
"South Africa","ZAF",710
"South Korea","KOR",410
"South Sudan","SSD",728
"Spain","ESP",724
"Sri Lanka","LKA",144
"Sudan","SDN",729
"Suriname","SUR",740
"Swaziland","SWZ",748
"Sweden","SWE",752
"Switzerland","CHE",756
"Syria","SYR",760
"Taiwan (Province of China)","TWN",158
"Tajikistan","TJK",762
"Tanzania","TZA",834
"Thailand","THA",764
"The Bahamas","BHS",44
"The Gambia","GMB",270
"Timor-Leste","TLS",626
"Togo","TGO",768
"Tonga","TON",776
"Trinidad and Tobago","TTO",780
"Tunisia","TUN",788
"Turkey","TUR",792
"Turkmenistan","TKM",795
"Uganda","UGA",800
"Ukraine","UKR",804
"United Arab Emirates","ARE",784
"United Kingdom","GBR",826
"United States","USA",840
"Uruguay","URY",858
"Uzbekistan","UZB",860
"Vanuatu","VUT",548
"Venezuela","VEN",862
"Vietnam","VNM",704
"Virgin Islands, U.S.","VIR",850
"Yemen","YEM",887
"Zambia","ZMB",894
"Zimbabwe","ZWE",716
"Brunei Darussalam","BRN",96
"Cabo Verde","CPV",124
"Congo, Rep.","COG",178
"Congo, Dem. Rep.","COD",180
"Egypt, Arab Rep.","EGY",818
"Micronesia, Fed. Sts.","FSM",583
"Iran, Islamic Rep.","IRN",364
"Kyrgyz Republic","KGZ",417
"Lao PDR","LAO",418
"North Macedonia","MKD",807
"Korea, Dem. People’s Rep.","PRK",408
"West Bank and Gaza","PSE",275
"St. Lucia","LCA",662
"St. Vincent and the Grenadines","VCT",670
"Slovak Republic","SVK",703
"Korea, Rep.","KOR",410
"Eswatini","SWZ",748
"Syrian Arab Republic","SYR",760
"Bahamas, The","BHS",44
"Gambia, The","GMB",270
"Venezuela, RB","VEN",862
"Virgin Islands (U.S.)","VIR",850
"Yemen, Rep.","YEM",887
"Bolivia (Plurinational State of)","BOL",68
"CÃ´te d'Ivoire","CIV",384
"Czechia","CZE",203
"Micronesia (Fed. States of)","FSM",583
"Iran (Islamic Republic of)","IRN",364
"Lao People's Democratic Republic","LAO",418
"Republic of Moldova","MDA",498
"Dem. People's Republic of Korea","PRK",408
"State of Palestine","PSE",275
"Republic of Korea","KOR",410
"China, Taiwan Province of China","TWN",158
"United Republic of Tanzania","TZA",834
"Bahamas","BHS",44
"Gambia","GMB",270
"United States of America","USA",840
"Venezuela (Bolivarian Republic of)","VEN",862
"Viet Nam","VNM",704
"United States Virgin Islands","VIR",850
"Micronesia (Federated States of)","FSM",583
"Democratic People's Republic of Korea","PRK",408
"Taiwan","TWN",NA
