iso3,income,region
ABW,High income,
AFG,Low income,5_Emr
AGO,Upper middle income,1_Afr
AIA,,
ALB,Upper middle income,4_Eur
AND,High income,4_Eur
ARE,High income,5_Emr
ARG,Upper middle income,2_Amr
ARM,Lower middle income,4_Eur
ASM,Upper middle income,
ATG,High income,2_Amr
AUS,High income,6_Wpr
AUT,High income,4_Eur
AZE,Upper middle income,4_Eur
BDI,Low income,1_Afr
BEL,High income,4_Eur
BEN,Low income,1_Afr
BES,,
BFA,Low income,1_Afr
BGD,Lower middle income,3_Sear
BGR,Upper middle income,4_Eur
BHR,High income,5_Emr
BHS,High income,2_Amr
BIH,Upper middle income,4_Eur
BLR,Upper middle income,4_Eur
BLZ,Upper middle income,2_Amr
BMU,High income,
BOL,Lower middle income,2_Amr
BRA,Upper middle income,2_Amr
BRB,High income,2_Amr
BRN,High income,6_Wpr
BTN,Lower middle income,3_Sear
BWA,Upper middle income,1_Afr
CAF,Low income,1_Afr
CAN,High income,2_Amr
CHE,High income,4_Eur
CHI,High income,
CHL,High income,2_Amr
CHN,Upper middle income,6_Wpr
CIV,Lower middle income,1_Afr
CMR,Lower middle income,1_Afr
COD,Low income,1_Afr
COG,Lower middle income,1_Afr
COK,,6_Wpr
COL,Upper middle income,2_Amr
COM,Low income,1_Afr
CPV,Lower middle income,1_Afr
CRI,Upper middle income,2_Amr
CUB,Upper middle income,2_Amr
CUW,High income,
CYM,High income,
CYP,High income,4_Eur
CZE,High income,4_Eur
DEU,High income,4_Eur
DJI,Lower middle income,5_Emr
DMA,Upper middle income,2_Amr
DNK,High income,4_Eur
DOM,Upper middle income,2_Amr
DZA,Upper middle income,1_Afr
ECU,Upper middle income,2_Amr
EGY,Lower middle income,5_Emr
ERI,Low income,1_Afr
ESH,,
ESP,High income,4_Eur
EST,High income,4_Eur
ETH,Low income,1_Afr
FIN,High income,4_Eur
FJI,Upper middle income,6_Wpr
FLK,,
FRA,High income,4_Eur
FRO,High income,
FSM,Lower middle income,6_Wpr
GAB,Upper middle income,1_Afr
GBR,High income,4_Eur
GEO,Upper middle income,4_Eur
GHA,Lower middle income,1_Afr
GIN,Low income,1_Afr
GLP,,
GMB,Low income,1_Afr
GNB,Low income,1_Afr
GNQ,Upper middle income,1_Afr
GRC,High income,4_Eur
GRD,Upper middle income,2_Amr
GRL,High income,
GTM,Lower middle income,2_Amr
GUF,,
GUM,High income,
GUY,Upper middle income,2_Amr
HKG,High income,
HND,Lower middle income,2_Amr
HRV,High income,4_Eur
HTI,Low income,2_Amr
HUN,High income,4_Eur
IDN,Lower middle income,3_Sear
IMN,High income,
IND,Lower middle income,3_Sear
IRL,High income,4_Eur
IRN,Upper middle income,5_Emr
IRQ,Upper middle income,5_Emr
ISL,High income,4_Eur
ISR,High income,4_Eur
ITA,High income,4_Eur
JAM,Upper middle income,2_Amr
JOR,Upper middle income,5_Emr
JPN,High income,6_Wpr
KAZ,Upper middle income,4_Eur
KEN,Lower middle income,1_Afr
KGZ,Lower middle income,4_Eur
KHM,Lower middle income,6_Wpr
KIR,Lower middle income,6_Wpr
KNA,High income,2_Amr
KOR,High income,6_Wpr
KWT,High income,5_Emr
LAO,Lower middle income,6_Wpr
LBN,Upper middle income,5_Emr
LBR,Low income,1_Afr
LBY,Upper middle income,5_Emr
LCA,Upper middle income,2_Amr
LIE,High income,
LKA,Lower middle income,3_Sear
LSO,Lower middle income,1_Afr
LTU,High income,4_Eur
LUX,High income,4_Eur
LVA,High income,4_Eur
MAC,High income,
MAR,Lower middle income,5_Emr
MCO,High income,4_Eur
MDA,Lower middle income,4_Eur
MDG,Low income,1_Afr
MDV,Upper middle income,3_Sear
MEX,Upper middle income,2_Amr
MHL,Upper middle income,6_Wpr
MKD,Upper middle income,4_Eur
MLI,Low income,1_Afr
MLT,High income,4_Eur
MMR,Lower middle income,3_Sear
MNE,Upper middle income,4_Eur
MNG,Lower middle income,6_Wpr
MNP,High income,
MOZ,Low income,1_Afr
MRT,Lower middle income,1_Afr
MSR,,
MTQ,,
MUS,Upper middle income,1_Afr
MWI,Low income,1_Afr
MYS,Upper middle income,6_Wpr
MYT,,
NAM,Upper middle income,1_Afr
NCL,High income,
NER,Low income,1_Afr
NGA,Lower middle income,1_Afr
NIC,Lower middle income,2_Amr
NIU,,6_Wpr
NLD,High income,4_Eur
NOR,High income,4_Eur
NPL,Low income,3_Sear
NRU,High income,6_Wpr
NZL,High income,6_Wpr
OMN,High income,5_Emr
PAK,Lower middle income,5_Emr
PAN,Upper middle income,2_Amr
PER,Upper middle income,2_Amr
PHL,Lower middle income,6_Wpr
PLW,Upper middle income,6_Wpr
PNG,Lower middle income,6_Wpr
POL,High income,4_Eur
PRI,High income,7_NonMS
PRK,Low income,3_Sear
PRT,High income,4_Eur
PRY,Upper middle income,2_Amr
