"iso3","Mortality.reduction","Outcome","Risk","NCD4","self_harm","NCD.cause.grouping"
"AFG",0.0254716981132076,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"ALB",0.078679245283019,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"DZA",0.0554716981132076,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"ASM",NA,NA,NA,NA,NA,NA
"AND",0.059433962264151,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"AGO",0.00962264150943398,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"ATG",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"ARG",0.0213396226415095,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"ARM",0.0667924528301888,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"AUS",0.019811320754717,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"AUT",0.0456854150943397,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"AZE",0.0697358490566039,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"BHR",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"BGD",0.0858618849056605,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"BRB",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"BLR",0.0219056603773585,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"BEL",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"BLZ",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"BEN",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"BMU",NA,NA,NA,NA,NA,NA
"BTN",0.0908154551886794,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"BOL",0.0322641509433963,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"BIH",0.0634686792452831,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"BWA",0.0277358490566038,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"BRA",0.0212830188679246,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"BRN",0.118518755660378,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"BGR",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
