,iso3,country,region,salt policy,salt policy: product reform,salt policy: reg salt content,salt policy: public awareness pgm,salt policy: FOPL,salt policy: enforcement,prog7a,AreaName,NAintake,reformRRR,envRRR,foplRRR,mediaRRR,reduced,target,reduxadj,mort.redux,coverage,,
1,AFG,Afghanistan,EMR,no,no,no,no,no,voluntary,not achieved,Afghanistan,3.45,0.15,0.07,0.1,0.05,1.118222625,2.331777375,0.45,0.025471698,0,0.056603774,*change to 3.9%
2,ALB,Albania,EUR,no,no,no,no,no,voluntary,not achieved,Albania,4.39,0.15,0.07,0.1,0.05,1.422897775,2.967102225,1.39,0.078679245,0,0.056603774,
3,DZA,Algeria,AFR,no,no,no,no,no,voluntary,not achieved,Algeria,3.98,0.15,0.07,0.1,0.05,1.29000755,2.68999245,0.98,0.055471698,0,0.056603774,
4,ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
5,AND,Andorra,EUR,no,no,no,no,no,voluntary,not achieved,Andorra,4.05,0.15,0.07,0.1,0.05,1.312696125,2.737303875,1.05,0.059433962,0,,
6,AGO,Angola,AFR,no,no,no,no,no,voluntary,not achieved,Angola,3.17,0.15,0.07,0.1,0.05,1.027468325,2.142531675,0.17,0.009622642,0,,
7,ATG,Antigua and Barbuda,AMR,no,no,no,no,no,voluntary,not achieved,Antigua and Barbuda,2.82,0.15,0.07,0.1,0.05,0.91402545,1.90597455,0,0,0,,
8,ARG,Argentina,AMR,yes,yes,yes,yes,no,mandatory,partially achieved,Argentina,3.77,0,0,0.1,0,0.377,3.393,0.377,0.021339623,0.75,,
9,ARM,Armenia,EUR,no,no,no,no,no,voluntary,not achieved,Armenia,4.18,0.15,0.07,0.1,0.05,1.35483205,2.82516795,1.18,0.066792453,0,,
10,AUS,Australia,WPR,yes,yes,no,no,yes,voluntary,partially achieved,Australia,3.35,0,0.07,0,0.05,0.390275,2.959725,0.35,0.019811321,0.5,,
11,AUT,Austria,EUR,yes,yes,no,no,no,voluntary,partially achieved,Austria,3.94,0,0.07,0.1,0.05,0.807109,3.132891,0.807109,0.045685415,0.25,,
12,AZE,Azerbaijan,EUR,yes,no,yes,yes,no,mandatory,partially achieved,Azerbaijan,4.4,0.2,0,0.1,0,1.232,3.168,1.232,0.069735849,0.5,,
13,BHR,Bahrain,EMR,yes,yes,yes,yes,yes,mandatory,fully achieved,Bahrain,4.35,0,0,0,0,0,4.35,0,0,1,,
14,BGD,Bangladesh,SEAR,no,no,no,no,no,voluntary,not achieved,Bangladesh,4.68,0.15,0.07,0.1,0.05,1.5168933,3.1631067,1.5168933,0.085861885,0,,
15,BRB,Barbados,AMR,no,no,no,no,no,voluntary,not achieved,Barbados,2.76,0.15,0.07,0.1,0.05,0.8945781,1.8654219,0,0,0,,
16,BLR,Belarus,EUR,yes,yes,yes,yes,no,mandatory,partially achieved,Belarus,3.87,0,0,0.1,0,0.387,3.483,0.387,0.02190566,0.75,,
17,BEL,Belgium,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Belgium,3.47,0,0,0,0,0,3.47,0,0,1,,
18,BLZ,Belize,AMR,no,no,no,no,no,voluntary,not achieved,Belize,2.65,0.15,0.07,0.1,0.05,0.858924625,1.791075375,0,0,0,,
19,BEN,Benin,AFR,no,no,no,no,no,voluntary,not achieved,Benin,2.92,0.15,0.07,0.1,0.05,0.9464377,1.9735623,0,0,0,,
20,BMU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
21,BTN,Bhutan,SEAR,no,no,no,no,no,voluntary,not achieved,Bhutan,4.95,0.15,0.07,0.1,0.05,1.604406375,3.345593625,1.604406375,0.090815455,0,,
22,BOL,Bolivia (Plurinational State of),AMR,yes,no,no,no,yes,voluntary,partially achieved,Bolivia,3.57,0.15,0.07,0,0.05,0.88901925,2.68098075,0.57,0.032264151,0.25,,
23,BIH,Bosnia and Herzegovina,EUR,yes,no,no,yes,yes,mandatory,partially achieved,Bosnia and Herzegovina,4.38,0.2,0.07,0,0,1.12128,3.25872,1.12128,0.063468679,0.5,,
24,BWA,Botswana,AFR,no,no,no,no,no,voluntary,not achieved,Botswana,3.49,0.15,0.07,0.1,0.05,1.131187525,2.358812475,0.49,0.027735849,0,,
25,BRA,Brazil,AMR,yes,yes,yes,yes,no,voluntary,partially achieved,Brazil,3.76,0,0,0.1,0,0.376,3.384,0.376,0.021283019,0.75,,
26,BRN,Brunei Darussalam,WPR,no,no,no,no,no,voluntary,not achieved,Brunei,6.46,0.15,0.07,0.1,0.05,2.09383135,4.36616865,2.09383135,0.118518756,0,,
27,BGR,Bulgaria,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Bulgaria,4.54,0,0,0,0,0,4.54,0,0,1,,
28,BFA,Burkina Faso,AFR,no,no,no,no,no,voluntary,not achieved,Burkina Faso,2.75,0.15,0.07,0.1,0.05,0.891336875,1.858663125,0,0,0,,
29,BDI,Burundi,AFR,no,no,no,no,no,voluntary,not achieved,Burundi,2.55,0.15,0.07,0.1,0.05,0.826512375,1.723487625,0,0,0,,
30,KHM,Cambodia,WPR,no,no,no,no,no,voluntary,not achieved,Cambodia,4.27,0.15,0.07,0.1,0.05,1.384003075,2.885996925,1.27,0.071886792,0,,
31,CMR,Cameroon,AFR,no,no,no,no,no,voluntary,not achieved,Cameroon,2.84,0.15,0.07,0.1,0.05,0.9205079,1.9194921,0,0,0,,
32,CAN,Canada,AMR,yes,yes,no,yes,no,voluntary,partially achieved,Canada,4.25,0,0.07,0.1,0,0.69275,3.55725,0.69275,0.039212264,0.5,,
33,CPV,Cabo Verde,AFR,no,no,no,no,no,voluntary,not achieved,Cape Verde,2.99,0.15,0.07,0.1,0.05,0.969126275,2.020873725,0,0,0,,
34,CAF,Central African Republic,AFR,no,no,no,no,no,voluntary,not achieved,Central African Republic,2.75,0.15,0.07,0.1,0.05,0.891336875,1.858663125,0,0,0,,
35,TCD,Chad,AFR,no,no,no,no,no,voluntary,not achieved,Chad,2.78,0.15,0.07,0.1,0.05,0.90106055,1.87893945,0,0,0,,
36,CHL,Chile,AMR,yes,yes,yes,yes,yes,mandatory,fully achieved,Chile,4.2,0,0,0,0,0,4.2,0,0,1,,
37,CHN,China,WPR,yes,yes,yes,yes,no,voluntary,partially achieved,China,6.954027,0,0,0.1,0,0.6954027,6.2586243,0.6954027,0.039362417,0.75,,
38,COL,Colombia,AMR,yes,yes,no,no,no,mandatory,partially achieved,Colombia,4.57,0,0.07,0.1,0.05,0.9361645,3.6338355,0.9361645,0.052990443,0.25,,
39,COM,Comoros,AFR,no,no,no,no,no,voluntary,not achieved,Comoros,2.68,0.15,0.07,0.1,0.05,0.8686483,1.8113517,0,0,0,,
40,COG,Congo,AFR,no,no,no,no,no,voluntary,not achieved,Congo,3.12,0.15,0.07,0.1,0.05,1.0112622,2.1087378,0.12,0.006792453,0,,
41,CRI,Costa Rica,AMR,yes,yes,yes,yes,no,voluntary,partially achieved,Costa Rica,3.85,0,0,0.1,0,0.385,3.465,0.385,0.021792453,0.75,,
42,CIV,Côte d’Ivoire,AFR,no,no,no,no,no,voluntary,not achieved,Cote dIvoire,3.76,0.15,0.07,0.1,0.05,1.2187006,2.5412994,0.76,0.043018868,0,,
43,HRV,Croatia,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Croatia,4.6,0,0,0,0,0,4.6,0,0,1,,
44,CUB,Cuba,AMR,no,no,no,no,no,voluntary,not achieved,Cuba,2.66,0.15,0.07,0.1,0.05,0.86216585,1.79783415,0,0,0,,
45,CYP,Cyprus,EUR,no,no,no,no,no,voluntary,not achieved,Cyprus,3.85,0.15,0.07,0.1,0.05,1.247871625,2.602128375,0.85,0.048113208,0,,
46,CZE,Czechia,EUR,yes,yes,no,yes,no,voluntary,partially achieved,Czech Republic,4.72,0,0.07,0.1,0,0.76936,3.95064,0.76936,0.043548679,0.5,,
47,COD,Democratic Republic of the Congo,AFR,no,no,no,no,no,voluntary,not achieved,Congo DR,2.16,0.15,0.07,0.1,0.05,0.7001046,1.4598954,0,0,0,,
48,DNK,Denmark,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Denmark,3.34,0,0,0,0,0,3.34,0,0,1,,
49,DJI,Djibouti,EMR,no,no,no,no,no,voluntary,not achieved,Djibouti,2.75,0.15,0.07,0.1,0.05,0.891336875,1.858663125,0,0,0,,
50,DMA,Dominica,AMR,no,no,no,no,no,voluntary,not achieved,Dominica,2.7,0.15,0.07,0.1,0.05,0.87513075,1.82486925,0,0,0,,
51,DOM,Dominican Republic,AMR,no,no,no,no,no,voluntary,not achieved,Dominican Republic,2.74,0.15,0.07,0.1,0.05,0.88809565,1.85190435,0,0,0,,
52,ECU,Ecuador,AMR,yes,yes,yes,yes,yes,voluntary,fully achieved,Ecuador,3.69,0,0,0,0,0,3.69,0,0,1,,
53,EGY,Egypt,EMR,yes,no,yes,yes,no,voluntary,partially achieved,Egypt,3.91,0.15,0,0.1,0,0.91885,2.99115,0.91,0.051509434,0.5,,
54,SLV,El Salvador,AMR,no,no,no,no,no,voluntary,not achieved,El Salvador,3.68,0.15,0.07,0.1,0.05,1.1927708,2.4872292,0.68,0.038490566,0,,
55,GNQ,Equatorial Guinea,AFR,no,no,no,no,no,voluntary,not achieved,Equatorial Guinea,3.5,0.15,0.07,0.1,0.05,1.13442875,2.36557125,0.5,0.028301887,0,,
56,ERI,Eritrea,AFR,no,no,no,no,no,voluntary,not achieved,Eritrea,2.68,0.15,0.07,0.1,0.05,0.8686483,1.8113517,0,0,0,,
57,EST,Estonia,EUR,yes,yes,yes,yes,no,voluntary,partially achieved,Estonia,3.98,0,0,0.1,0,0.398,3.582,0.398,0.022528302,0.75,,
58,ETH,Ethiopia,AFR,no,no,no,no,no,voluntary,not achieved,Ethiopia,2.65,0.15,0.07,0.1,0.05,0.858924625,1.791075375,0,0,0,,
59,FSM,Micronesia (Federated States of),WPR,no,no,no,no,no,voluntary,not achieved,Federated States of Micronesia,3.32,0.15,0.07,0.1,0.05,1.0760867,2.2439133,0.32,0.018113208,0,,
60,FJI,Fiji,WPR,yes,yes,yes,yes,no,voluntary,partially achieved,Fiji,3.55,0,0,0.1,0,0.355,3.195,0.355,0.02009434,0.75,,
61,FIN,Finland,EUR,yes,yes,yes,yes,yes,mandatory,fully achieved,Finland,3.81,0,0,0,0,0,3.81,0,0,1,,
62,FRA,France,EUR,yes,yes,no,yes,yes,voluntary,fully achieved,France,3.81,0,0.07,0,0,0.2667,3.5433,0.2667,0.015096226,0.75,,
63,GAB,Gabon,AFR,no,no,no,no,no,voluntary,not achieved,Gabon,3.34,0.15,0.07,0.1,0.05,1.08256915,2.25743085,0.34,0.019245283,0,,
64,GEO,Georgia,EUR,yes,no,no,yes,yes,voluntary,partially achieved,Georgia,4.22,0.15,0.07,0,0,0.88409,3.33591,0.88409,0.05004283,0.5,,
65,DEU,Germany,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Germany,3.81,0,0,0,0,0,3.81,0,0,1,,
66,GHA,Ghana,AFR,no,no,no,no,no,voluntary,not achieved,Ghana,4.11,0.15,0.07,0.1,0.05,1.332143475,2.777856525,1.11,0.062830189,0,,
67,GRC,Greece,EUR,yes,yes,yes,yes,no,mandatory,partially achieved,Greece,3.79,0,0,0.1,0,0.379,3.411,0.379,0.02145283,0.75,,
68,GRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
69,GRD,Grenada,AMR,no,no,no,no,no,voluntary,not achieved,Grenada,2.73,0.15,0.07,0.1,0.05,0.884854425,1.845145575,0,0,0,,
70,GUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
71,GTM,Guatemala,AMR,yes,yes,yes,yes,no,voluntary,partially achieved,Guatemala,2.68,0,0,0.1,0,0.268,2.412,0,0,0.75,,
72,GIN,Guinea,AFR,no,no,no,no,no,voluntary,not achieved,Guinea,2.73,0.15,0.07,0.1,0.05,0.884854425,1.845145575,0,0,0,,
73,GNB,Guinea-Bissau,AFR,no,no,no,no,no,voluntary,not achieved,Guinea-Bissau,2.74,0.15,0.07,0.1,0.05,0.88809565,1.85190435,0,0,0,,
74,GUY,Guyana,AMR,no,no,no,no,no,voluntary,not achieved,Guyana,2.6,0.15,0.07,0.1,0.05,0.8427185,1.7572815,0,0,0,,
75,HTI,Haiti,AMR,no,no,no,no,no,voluntary,not achieved,Haiti,2.38,0.15,0.07,0.1,0.05,0.77141155,1.60858845,0,0,0,,
76,HND,Honduras,AMR,no,no,no,no,no,voluntary,not achieved,Honduras,3.58,0.15,0.07,0.1,0.05,1.16035855,2.41964145,0.58,0.032830189,0,,
77,HUN,Hungary,EUR,yes,yes,yes,yes,no,mandatory,partially achieved,Hungary,4.78,0,0,0.1,0,0.478,4.302,0.478,0.027056604,0.75,,
78,ISL,Iceland,EUR,yes,no,no,yes,yes,don't know,partially achieved,Iceland,3.36,0.15,0.07,0,0,0.70392,2.65608,0.36,0.020377358,0.5,,
79,IND,India,SEAR,yes,yes,yes,yes,yes,voluntary,fully achieved,India,3.97,0,0,0,0,0,3.97,0,0,1,,
80,IDN,Indonesia,SEAR,no,no,no,no,no,voluntary,not achieved,Indonesia,4.58,0.15,0.07,0.1,0.05,1.48448105,3.09551895,1.48448105,0.084027229,0,,
81,IRN,Iran (Islamic Republic of),EMR,yes,yes,yes,yes,yes,mandatory,fully achieved,Iran,4.04,0,0,0,0,0,4.04,0,0,1,,
82,IRQ,Iraq,EMR,yes,no,yes,yes,no,don't know,partially achieved,Iraq,3.99,0.15,0,0.1,0,0.93765,3.05235,0.93765,0.053074528,0.5,,
83,IRL,Ireland,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Ireland,3.98,0,0,0,0,0,3.98,0,0,1,,
84,ISR,Israel,EUR,yes,yes,yes,yes,yes,mandatory,fully achieved,Israel,3.85,0,0,0,0,0,3.85,0,0,1,,
85,ITA,Italy,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Italy,4.05,0,0,0,0,0,4.05,0,0,1,,
86,JAM,Jamaica,AMR,yes,yes,yes,yes,no,voluntary,partially achieved,Jamaica,2.65,0,0,0.1,0,0.265,2.385,0,0,0.75,,
87,JPN,Japan,WPR,yes,no,no,no,no,voluntary,not achieved,Japan,5.77,0.15,0.07,0.1,0.05,1.870186825,3.899813175,1.870186825,0.105859632,0,,
88,JOR,Jordan,EMR,yes,no,yes,yes,no,mandatory,partially achieved,Jordan,3.91,0.2,0,0.1,0,1.0948,2.8152,0.91,0.051509434,0.5,,
89,KAZ,Kazakhstan,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Kazakhstan,4.49,0,0,0,0,0,4.49,0,0,1,,
90,KEN,Kenya,AFR,no,no,no,no,no,voluntary,not achieved,Kenya,2.41,0.15,0.07,0.1,0.05,0.781135225,1.628864775,0,0,0,,
91,KIR,Kiribati,WPR,no,no,no,no,no,voluntary,not achieved,Kiribati,3.23,0.15,0.07,0.1,0.05,1.046915675,2.183084325,0.23,0.013018868,0,,
92,KWT,Kuwait,EMR,yes,yes,yes,yes,yes,voluntary,fully achieved,Kuwait,4.5,0,0,0,0,0,4.5,0,0,1,,
93,KGZ,Kyrgyzstan,EUR,no,no,no,no,no,voluntary,not achieved,Kyrgyzstan,3.95,0.15,0.07,0.1,0.05,1.280283875,2.669716125,0.95,0.053773585,0,,
94,LAO,Lao People’s Democratic Republic,WPR,no,no,no,no,no,voluntary,not achieved,Lao PDR,4.41,0.15,0.07,0.1,0.05,1.429380225,2.980619775,1.41,0.079811321,0,,
95,LVA,Latvia,EUR,yes,no,yes,yes,no,mandatory,partially achieved,Latvia,3.92,0.2,0,0.1,0,1.0976,2.8224,0.92,0.052075472,0.5,,
96,LBN,Lebanon,EMR,no,no,no,no,no,voluntary,not achieved,Lebanon,4.02,0.15,0.07,0.1,0.05,1.30297245,2.71702755,1.02,0.057735849,0,,
97,LSO,Lesotho,AFR,no,no,no,no,no,voluntary,not achieved,Lesotho,3.15,0.15,0.07,0.1,0.05,1.020985875,2.129014125,0.15,0.008490566,0,,
98,LBR,Liberia,AFR,no,no,no,no,no,voluntary,not achieved,Liberia,2.62,0.15,0.07,0.1,0.05,0.84920095,1.77079905,0,0,0,,
99,LBY,Libya,EMR,no,no,no,no,no,voluntary,not achieved,Libya,3.92,0.15,0.07,0.1,0.05,1.2705602,2.6494398,0.92,0.052075472,0,,
100,LTU,Lithuania,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Lithuania,3.96,0,0,0,0,0,3.96,0,0,1,,
101,LUX,Luxembourg,EUR,no,no,no,no,no,voluntary,not achieved,Luxembourg,4.15,0.15,0.07,0.1,0.05,1.345108375,2.804891625,1.15,0.06509434,0,,
102,MKD,North Macedonia,EUR,no,no,no,no,no,voluntary,not achieved,Macedonia,4.45,0.15,0.07,0.1,0.05,1.442345125,3.007654875,1.442345125,0.081642177,0,,
103,MDG,Madagascar,AFR,no,no,no,no,no,voluntary,not achieved,Madagascar,2.65,0.15,0.07,0.1,0.05,0.858924625,1.791075375,0,0,0,,
104,MWI,Malawi,AFR,no,no,no,no,no,voluntary,not achieved,Malawi,2.64,0.15,0.07,0.1,0.05,0.8556834,1.7843166,0,0,0,,
105,MYS,Malaysia,WPR,yes,yes,yes,yes,yes,voluntary,fully achieved,Malaysia,4.85,0,0,0,0,0,4.85,0,0,1,,
106,MDV,Maldives,SEAR,no,no,no,no,no,voluntary,not achieved,Maldives,4.66,0.15,0.07,0.1,0.05,1.51041085,3.14958915,1.51041085,0.085494954,0,,
107,MLI,Mali,AFR,no,no,no,no,no,voluntary,not achieved,Mali,2.76,0.15,0.07,0.1,0.05,0.8945781,1.8654219,0,0,0,,
108,MLT,Malta,EUR,yes,yes,yes,yes,no,voluntary,partially achieved,Malta,4.04,0,0,0.1,0,0.404,3.636,0.404,0.022867925,0.75,,
109,MHL,Marshall Islands,WPR,no,no,no,no,no,voluntary,not achieved,Marshall Islands,3.34,0.15,0.07,0.1,0.05,1.08256915,2.25743085,0.34,0.019245283,0,,
110,MRT,Mauritania,AFR,no,no,no,no,no,voluntary,not achieved,Mauritania,2.89,0.15,0.07,0.1,0.05,0.936714025,1.953285975,0,0,0,,
111,MUS,Mauritius,AFR,no,no,no,no,no,voluntary,not achieved,Mauritius,4.75,0.15,0.07,0.1,0.05,1.539581875,3.210418125,1.539581875,0.087146144,0,,
112,MEX,Mexico,AMR,yes,no,yes,no,yes,mandatory,partially achieved,Mexico,3.34,0.2,0,0,0.05,0.8016,2.5384,0.34,0.019245283,0.5,,
113,MDA,Republic of Moldova,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Republic of Moldova,3.54,0,0,0,0,0,3.54,0,0,1,,
114,MNG,Mongolia,WPR,yes,yes,yes,yes,yes,mandatory,fully achieved,Mongolia,4.27,0,0,0,0,0,4.27,0,0,1,,
115,MNE,Montenegro,EUR,yes,yes,yes,yes,no,mandatory,partially achieved,Montenegro,4.48,0,0,0.1,0,0.448,4.032,0.448,0.025358491,0.75,,
116,MAR,Morocco,EMR,yes,yes,no,yes,no,voluntary,partially achieved,Morocco,3.82,0,0.07,0.1,0,0.62266,3.19734,0.62266,0.035244906,0.5,,
117,MOZ,Mozambique,AFR,no,no,no,no,no,voluntary,not achieved,Mozambique,2.65,0.15,0.07,0.1,0.05,0.858924625,1.791075375,0,0,0,,
118,MMR,Myanmar,SEAR,no,no,no,no,no,voluntary,not achieved,Myanmar,4.4,0.15,0.07,0.1,0.05,1.426139,2.973861,1.4,0.079245283,0,,
119,NAM,Namibia,AFR,no,no,no,no,no,voluntary,not achieved,Namibia,3.4,0.15,0.07,0.1,0.05,1.1020165,2.2979835,0.4,0.022641509,0,,
120,NPL,Nepal,SEAR,no,no,no,no,no,voluntary,not achieved,Nepal,4.61,0.15,0.07,0.1,0.05,1.494204725,3.115795275,1.494204725,0.084577626,0,,
121,NLD,Netherlands,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Netherlands,3.56,0,0,0,0,0,3.56,0,0,1,,
122,NZL,New Zealand,WPR,don't know,no,no,no,no,voluntary,don't know,New Zealand,4.61,0.15,0.07,0.1,0.05,1.494204725,3.115795275,1.494204725,0.084577626,0,,
123,NIC,Nicaragua,AMR,no,no,no,no,no,voluntary,not achieved,Nicaragua,3.58,0.15,0.07,0.1,0.05,1.16035855,2.41964145,0.58,0.032830189,0,,
124,NER,Niger,AFR,no,no,no,no,no,voluntary,not achieved,Niger,2.65,0.15,0.07,0.1,0.05,0.858924625,1.791075375,0,0,0,,
125,NGA,Nigeria,AFR,no,no,no,no,no,voluntary,not achieved,Nigeria,2.56,0.15,0.07,0.1,0.05,0.8297536,1.7302464,0,0,0,,
126,PRK,Democratic People’s Republic of Korea,SEAR,no,no,no,no,no,voluntary,not achieved,Korea DPR,4.53,0.15,0.07,0.1,0.05,1.468274925,3.061725075,1.468274925,0.083109901,0,,
127,MNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
128,NOR,Norway,EUR,yes,yes,no,yes,yes,voluntary,fully achieved,Norway,4.36,0,0.07,0,0,0.3052,4.0548,0.3052,0.017275472,0.75,,
129,OMN,Oman,EMR,yes,yes,yes,yes,yes,mandatory,fully achieved,Oman,4.34,0,0,0,0,0,4.34,0,0,1,,
