,iso3,country,region,salt policy,salt policy: product reform,salt policy: reg salt content,salt policy: public awareness pgm,salt policy: FOPL,salt policy: enforcement,prog7a,AreaName,NAintake,reformRRR,envRRR,foplRRR,mediaRRR,reduced,target,reduxadj,mort.redux,coverage,target.coverage
1,AFG,Afghanistan,EMR,no,no,no,no,no,voluntary,not achieved,Afghanistan,3.45,0.15,0.07,0.1,0.05,1.2765,2.1735,0.45,0.0254718,0,1
2,ALB,Albania,EUR,no,no,no,no,no,voluntary,not achieved,Albania,4.39,0.15,0.07,0.1,0.05,1.6243,2.7657,1.39,0.07867956,0,1
3,DZA,Algeria,AFR,no,no,no,no,no,voluntary,not achieved,Algeria,3.98,0.15,0.07,0.1,0.05,1.4726,2.5074,0.98,0.05547192,0,1
4,ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.07,0.1,0.05,NA,NA,NA,NA,0,1
5,AND,Andorra,EUR,no,no,no,no,no,voluntary,not achieved,Andorra,4.05,0.15,0.07,0.1,0.05,1.4985,2.5515,1.05,0.0594342,0,1
6,AGO,Angola,AFR,no,no,no,no,no,voluntary,not achieved,Angola,3.17,0.15,0.07,0.1,0.05,1.1729,1.9971,0.17,0.00962268,0,1
7,ATG,Antigua and Barbuda,AMR,no,no,no,no,no,voluntary,not achieved,Antigua and Barbuda,2.82,0.15,0.07,0.1,0.05,1.0434,1.7766,0,0,0,0
8,ARG,Argentina,AMR,yes,yes,yes,yes,no,mandatory,partially achieved,Argentina,3.77,0.15,0.07,0.1,0.05,1.3949,2.3751,0.77,0.04358508,0.75,1
9,ARM,Armenia,EUR,no,no,no,no,no,voluntary,not achieved,Armenia,4.18,0.15,0.07,0.1,0.05,1.5466,2.6334,1.18,0.06679272,0,1
10,AUS,Australia,WPR,yes,yes,no,no,yes,voluntary,partially achieved,Australia,3.35,0.15,0.07,0.1,0.05,1.2395,2.1105,0.35,0.0198114,0.5,1
11,AUT,Austria,EUR,yes,yes,no,no,no,voluntary,partially achieved,Austria,3.94,0.15,0.07,0.1,0.05,1.4578,2.4822,0.94,0.05320776,0.25,1
12,AZE,Azerbaijan,EUR,yes,no,yes,yes,no,mandatory,partially achieved,Azerbaijan,4.4,0.15,0.07,0.1,0.05,1.628,2.772,1.4,0.0792456,0.5,1
13,BHR,Bahrain,EMR,yes,yes,yes,yes,yes,mandatory,fully achieved,Bahrain,4.35,0.15,0.07,0.1,0.05,1.6095,2.7405,1.35,0.0764154,1,1
