"iso3","Mortality.reduction","Outcome","Risk","NCD4","self_harm","NCD.cause.grouping"
"AFG",0.0264,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"ALB",0.0208,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"DZA",0.0183,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"ASM",NA,NA,NA,NA,NA,NA
"AND",0.0192,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"AGO",0.0135,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"ATG",0.0227,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"ARG",0.0040392,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"ARM",0.005346,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"AUS",0.0427,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"AUT",0,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"AZE",0.0581,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"BHR",0.0072171,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"BGD",0.0441,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"BRB",0.0224,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"BLR",0.0060885,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"BEL",0.0277,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"BLZ",0.023,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"BEN",0.0136,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"BMU",NA,NA,NA,NA,NA,NA
"BTN",0.0445,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"BOL",0.0395,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"BIH",0.0135,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"BWA",0.0177,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"BRA",0.0258,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"BRN",0.0229,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"BGR",0.02,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"BFA",0.0134,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"BDI",0.0135,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"KHM",0.0175,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"CMR",0.0135,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"CAN",0,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"CPV",0.0131,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"CAF",0.0136,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"TCD",0.0135,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"CHL",0,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"CHN",0.0154,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"COL",0.0070983,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"COM",0.0136,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"COG",0.0138,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"CRI",0.0352,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"CIV",0.0135,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"HRV",0.0169,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"CUB",0.0223,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"CYP",0.0192,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"CZE",0.021,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"COD",0.0137,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"DNK",0,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"DJI",0.0134,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
"DMA",0.0223,"Ischemic heart disease","Trans fat","yes","no","Ischaemic heart disease"
