"X","Region","Risk","Outcome","PAF","Country","Risk.reduction.policy","Mortality.reduction.policy","Risk.reduction.tax","Mortality.reduction.tax","NCD.cause.grouping","NCD4","self_harm"
1,"Low SDI","Alcohol","Alcohol use disorders",1,"Afghanistan",0,0,0.1225,0,"All other noncommunicable diseases","no","no"
2,"Low SDI","Alcohol","Alcoholic cardiomyopathy",1,"Afghanistan",0,0,0.1225,0,"All other cardiovascular diseases","yes","no"
3,"Low SDI","Alcohol","Cirrhosis and other chronic liver diseases due to alcohol use",1,"Afghanistan",0,0,0.1225,0,"All other noncommunicable diseases","no","no"
4,"Low SDI","Alcohol","Drug-susceptible tuberculosis",0.253,"Afghanistan",0,0,0.1225,0,NA,"no","no"
5,"Low SDI","Alcohol","Idiopathic epilepsy",0.138,"Afghanistan",0,0,0.1225,0,"All other noncommunicable diseases","no","no"
6,"Low SDI","Alcohol","Extensively drug-resistant tuberculosis",0.15,"Afghanistan",0,0,0.1225,0,NA,"no","no"
7,"Low SDI","Alcohol","Intracerebral hemorrhage",0.102,"Afghanistan",0,0,0.1225,0,"Haemorrhagic stroke","yes","no"
8,"Low SDI","Alcohol","Hypertensive heart disease",0.111,"Afghanistan",0,0,0.1225,0,"All other cardiovascular diseases","yes","no"
9,"Low SDI","Alcohol","Larynx cancer",0.174,"Afghanistan",0,0,0.1225,0,"Upper aerodigestive tract cancers","yes","no"
10,"Low SDI","Alcohol","Lip and oral cavity cancer",0.302,"Afghanistan",0,0,0.1225,0,"Upper aerodigestive tract cancers","yes","no"
11,"Low SDI","Alcohol","Liver cancer due to alcohol use",1,"Afghanistan",0,0,0.1225,0,"Liver cancer","yes","no"
12,"Low SDI","Alcohol","Multidrug-resistant tuberculosis without extensive drug resistance",0.204,"Afghanistan",0,0,0.1225,0,NA,"no","no"
13,"Low SDI","Alcohol","Nasopharynx cancer",0.329,"Afghanistan",0,0,0.1225,0,"Upper aerodigestive tract cancers","yes","no"
14,"Low SDI","Alcohol","Esophageal cancer",0.215,"Afghanistan",0,0,0.1225,0,"Upper aerodigestive tract cancers","yes","no"
15,"Low SDI","Alcohol","Other pharynx cancer",0.335,"Afghanistan",0,0,0.1225,0,"Upper aerodigestive tract cancers","yes","no"
16,"Low SDI","Alcohol","Pancreatitis",0.274,"Afghanistan",0,0,0.1225,0,"All other noncommunicable diseases","no","no"
17,"Low SDI","Alcohol","Self-harm by firearm",0.142,"Afghanistan",0,0,0.1225,0,"All other noncommunicable diseases","no","yes"
18,"Low SDI","Alcohol","Self-harm by other specified means",0.14,"Afghanistan",0,0,0.1225,0,"All other noncommunicable diseases","no","yes"
19,"Low SDI","Smoking","Aortic aneurysm",0.128,"Afghanistan",0.065,0.00832,1,0.128,"All other cardiovascular diseases","yes","no"
20,"Low SDI","Smoking","Chronic obstructive pulmonary disease",0.252,"Afghanistan",0.065,0.01638,1,0.252,"Chronic respiratory diseases","yes","no"
21,"Low SDI","Smoking","Intracerebral hemorrhage",0.111,"Afghanistan",0.065,0.007215,1,0.111,"Haemorrhagic stroke","yes","no"
22,"Low SDI","Smoking","Ischemic heart disease",0.111,"Afghanistan",0.065,0.007215,1,0.111,"Ischaemic heart disease","yes","no"
23,"Low SDI","Smoking","Larynx cancer",0.396,"Afghanistan",0.065,0.02574,1,0.396,"Upper aerodigestive tract cancers","yes","no"
24,"Low SDI","Smoking","Lip and oral cavity cancer",0.174,"Afghanistan",0.065,0.01131,1,0.174,"Upper aerodigestive tract cancers","yes","no"
25,"Low SDI","Smoking","Nasopharynx cancer",0.182,"Afghanistan",0.065,0.01183,1,0.182,"Upper aerodigestive tract cancers","yes","no"
26,"Low SDI","Smoking","Esophageal cancer",0.164,"Afghanistan",0.065,0.01066,1,0.164,"Upper aerodigestive tract cancers","yes","no"
27,"Low SDI","Smoking","Prostate cancer",0.012,"Afghanistan",0.065,0.00078,1,0.012,"Prostate cancer","yes","no"
28,"Low SDI","Smoking","Tracheal, bronchus, and lung cancer",0.444,"Afghanistan",0.065,0.02886,1,0.444,"Lung cancer","yes","no"
29,"Middle SDI","Alcohol","Alcohol use disorders",1,"Albania",0.269,0.269,0.1225,0.1225,"All other noncommunicable diseases","no","no"
30,"Middle SDI","Alcohol","Alcoholic cardiomyopathy",1,"Albania",0.269,0.269,0.1225,0.1225,"All other cardiovascular diseases","yes","no"
31,"Middle SDI","Alcohol","Assault by firearm",0.201,"Albania",0.269,0.054069,0.1225,0.0246225,NA,"no","no"
32,"Middle SDI","Alcohol","Assault by other means",0.134,"Albania",0.269,0.036046,0.1225,0.016415,NA,"no","no"
33,"Middle SDI","Alcohol","Assault by sharp object",0.164,"Albania",0.269,0.044116,0.1225,0.02009,NA,"no","no"
34,"Middle SDI","Alcohol","Cirrhosis and other chronic liver diseases due to alcohol use",1,"Albania",0.269,0.269,0.1225,0.1225,"All other noncommunicable diseases","no","no"
35,"Middle SDI","Alcohol","Colon and rectum cancer",0.114,"Albania",0.269,0.030666,0.1225,0.013965,"Colon and rectum cancer","yes","no"
36,"Middle SDI","Alcohol","Cyclist road injuries",0.15,"Albania",0.269,0.04035,0.1225,0.018375,"All other noncommunicable diseases","no","no"
37,"Middle SDI","Alcohol","Drug-susceptible tuberculosis",0.232,"Albania",0.269,0.062408,0.1225,0.02842,NA,"no","no"
38,"Middle SDI","Alcohol","Idiopathic epilepsy",0.187,"Albania",0.269,0.050303,0.1225,0.0229075,"All other noncommunicable diseases","no","no"
39,"Middle SDI","Alcohol","Extensively drug-resistant tuberculosis",0.306,"Albania",0.269,0.082314,0.1225,0.037485,NA,"no","no"
40,"Middle SDI","Alcohol","Intracerebral hemorrhage",0.158,"Albania",0.269,0.042502,0.1225,0.019355,"Haemorrhagic stroke","yes","no"
41,"Middle SDI","Alcohol","Hypertensive heart disease",0.143,"Albania",0.269,0.038467,0.1225,0.0175175,"All other cardiovascular diseases","yes","no"
42,"Middle SDI","Alcohol","Larynx cancer",0.26,"Albania",0.269,0.06994,0.1225,0.03185,"Upper aerodigestive tract cancers","yes","no"
43,"Middle SDI","Alcohol","Lip and oral cavity cancer",0.376,"Albania",0.269,0.101144,0.1225,0.04606,"Upper aerodigestive tract cancers","yes","no"
44,"Middle SDI","Alcohol","Liver cancer due to alcohol use",1,"Albania",0.269,0.269,0.1225,0.1225,"Liver cancer","yes","no"
45,"Middle SDI","Alcohol","Motor vehicle road injuries",0.118,"Albania",0.269,0.031742,0.1225,0.014455,"All other noncommunicable diseases","no","no"
46,"Middle SDI","Alcohol","Motorcyclist road injuries",0.153,"Albania",0.269,0.041157,0.1225,0.0187425,"All other noncommunicable diseases","no","no"
47,"Middle SDI","Alcohol","Multidrug-resistant tuberculosis without extensive drug resistance",0.293,"Albania",0.269,0.078817,0.1225,0.0358925,NA,"no","no"
48,"Middle SDI","Alcohol","Nasopharynx cancer",0.427,"Albania",0.269,0.114863,0.1225,0.0523075,"Upper aerodigestive tract cancers","yes","no"
49,"Middle SDI","Alcohol","Esophageal cancer",0.308,"Albania",0.269,0.082852,0.1225,0.03773,"Upper aerodigestive tract cancers","yes","no"
50,"Middle SDI","Alcohol","Other pharynx cancer",0.308,"Albania",0.269,0.082852,0.1225,0.03773,"Upper aerodigestive tract cancers","yes","no"
51,"Middle SDI","Alcohol","Other road injuries",0.141,"Albania",0.269,0.037929,0.1225,0.0172725,"All other noncommunicable diseases","no","no"
52,"Middle SDI","Alcohol","Other transport injuries",0.126,"Albania",0.269,0.033894,0.1225,0.015435,"All other noncommunicable diseases","no","no"
53,"Middle SDI","Alcohol","Pancreatitis",0.295,"Albania",0.269,0.079355,0.1225,0.0361375,"All other noncommunicable diseases","no","no"
54,"Middle SDI","Alcohol","Pedestrian road injuries",0.145,"Albania",0.269,0.039005,0.1225,0.0177625,"All other noncommunicable diseases","no","no"
55,"Middle SDI","Alcohol","Self-harm by firearm",0.222,"Albania",0.269,0.059718,0.1225,0.027195,"All other noncommunicable diseases","no","yes"
56,"Middle SDI","Alcohol","Self-harm by other specified means",0.179,"Albania",0.269,0.048151,0.1225,0.0219275,"All other noncommunicable diseases","no","yes"
57,"Middle SDI","Smoking","All causes",0.13,"Albania",0.0325,0.004225,0.166848,0.02169024,NA,"no","no"
58,"Middle SDI","Smoking","Aortic aneurysm",0.161,"Albania",0.0325,0.0052325,0.166848,0.026862528,"All other cardiovascular diseases","yes","no"
59,"Middle SDI","Smoking","Asthma",0.144,"Albania",0.0325,0.00468,0.166848,0.024026112,"Chronic respiratory diseases","yes","no"
60,"Middle SDI","Smoking","Bladder cancer",0.158,"Albania",0.0325,0.005135,0.166848,0.026361984,"All other cancers","yes","no"
61,"Middle SDI","Smoking","Chronic obstructive pulmonary disease",0.416,"Albania",0.0325,0.01352,0.166848,0.069408768,"Chronic respiratory diseases","yes","no"
62,"Middle SDI","Smoking","Drug-susceptible tuberculosis",0.107,"Albania",0.0325,0.0034775,0.166848,0.017852736,NA,"no","no"
63,"Middle SDI","Smoking","Intracerebral hemorrhage",0.197,"Albania",0.0325,0.0064025,0.166848,0.032869056,"Haemorrhagic stroke","yes","no"
64,"Middle SDI","Smoking","Hypertensive heart disease",0.133,"Albania",0.0325,0.0043225,0.166848,0.022190784,"All other cardiovascular diseases","yes","no"
65,"Middle SDI","Smoking","Ischemic heart disease",0.162,"Albania",0.0325,0.005265,0.166848,0.027029376,"Ischaemic heart disease","yes","no"
66,"Middle SDI","Smoking","Ischemic stroke",0.147,"Albania",0.0325,0.0047775,0.166848,0.024526656,"Ischaemic stroke","yes","no"
67,"Middle SDI","Smoking","Larynx cancer",0.469,"Albania",0.0325,0.0152425,0.166848,0.078251712,"Upper aerodigestive tract cancers","yes","no"
68,"Middle SDI","Smoking","Lip and oral cavity cancer",0.269,"Albania",0.0325,0.0087425,0.166848,0.044882112,"Upper aerodigestive tract cancers","yes","no"
69,"Middle SDI","Smoking","Liver cancer due to hepatitis B",0.109,"Albania",0.0325,0.0035425,0.166848,0.018186432,"Liver cancer","yes","no"
70,"Middle SDI","Smoking","Liver cancer due to other causes",0.118,"Albania",0.0325,0.003835,0.166848,0.019688064,"Liver cancer","yes","no"
71,"Middle SDI","Smoking","Lower respiratory infections",0.195,"Albania",0.0325,0.0063375,0.166848,0.03253536,NA,"no","no"
72,"Middle SDI","Smoking","Nasopharynx cancer",0.3,"Albania",0.0325,0.00975,0.166848,0.0500544,"Upper aerodigestive tract cancers","yes","no"
73,"Middle SDI","Smoking","Esophageal cancer",0.291,"Albania",0.0325,0.0094575,0.166848,0.048552768,"Upper aerodigestive tract cancers","yes","no"
74,"Middle SDI","Smoking","Other cardiovascular and circulatory diseases",0.132,"Albania",0.0325,0.00429,0.166848,0.022023936,"All other cardiovascular diseases","yes","no"
75,"Middle SDI","Smoking","Peptic ulcer disease",0.173,"Albania",0.0325,0.0056225,0.166848,0.028864704,"All other noncommunicable diseases","no","no"
76,"Middle SDI","Smoking","Peripheral artery disease",0.111,"Albania",0.0325,0.0036075,0.166848,0.018520128,"All other cardiovascular diseases","no","no"
77,"Middle SDI","Smoking","Prostate cancer",0.027,"Albania",0.0325,0.0008775,0.166848,0.004504896,"Prostate cancer","yes","no"
78,"Middle SDI","Smoking","Tracheal, bronchus, and lung cancer",0.502,"Albania",0.0325,0.016315,0.166848,0.083757696,"Lung cancer","yes","no"
79,"Middle SDI","Alcohol","Alcohol use disorders",1,"Algeria",0,0,0.1225,0.1225,"All other noncommunicable diseases","no","no"
80,"Middle SDI","Alcohol","Alcoholic cardiomyopathy",1,"Algeria",0,0,0.1225,0.1225,"All other cardiovascular diseases","yes","no"
81,"Middle SDI","Alcohol","Assault by firearm",0.201,"Algeria",0,0,0.1225,0.0246225,NA,"no","no"
82,"Middle SDI","Alcohol","Assault by other means",0.134,"Algeria",0,0,0.1225,0.016415,NA,"no","no"
83,"Middle SDI","Alcohol","Assault by sharp object",0.164,"Algeria",0,0,0.1225,0.02009,NA,"no","no"
84,"Middle SDI","Alcohol","Cirrhosis and other chronic liver diseases due to alcohol use",1,"Algeria",0,0,0.1225,0.1225,"All other noncommunicable diseases","no","no"
85,"Middle SDI","Alcohol","Colon and rectum cancer",0.114,"Algeria",0,0,0.1225,0.013965,"Colon and rectum cancer","yes","no"
86,"Middle SDI","Alcohol","Cyclist road injuries",0.15,"Algeria",0,0,0.1225,0.018375,"All other noncommunicable diseases","no","no"
87,"Middle SDI","Alcohol","Drug-susceptible tuberculosis",0.232,"Algeria",0,0,0.1225,0.02842,NA,"no","no"
88,"Middle SDI","Alcohol","Idiopathic epilepsy",0.187,"Algeria",0,0,0.1225,0.0229075,"All other noncommunicable diseases","no","no"
89,"Middle SDI","Alcohol","Extensively drug-resistant tuberculosis",0.306,"Algeria",0,0,0.1225,0.037485,NA,"no","no"
