"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Algeria",2020,218741.502046081,218741.502046081,0
"IDU harm reduction measures",1.1,"Algeria",2021,219612.179802254,219612.179802254,0
"IDU harm reduction measures",1.1,"Algeria",2022,220518.574843034,220518.574843034,0
"IDU harm reduction measures",1.1,"Algeria",2023,709124.406027721,221561.122319288,487563.283708433
"IDU harm reduction measures",1.1,"Algeria",2024,1203556.24386342,222825.764487081,980730.479376344
"IDU harm reduction measures",1.1,"Algeria",2025,1706075.5406157,224406.668270599,1481668.8723451
"IDU harm reduction measures",1.1,"Algeria",2026,2222934.24450098,226716.638963262,1996217.60553772
"IDU harm reduction measures",1.1,"Algeria",2027,2752660.07021406,229220.111995348,2523439.95821872
"IDU harm reduction measures",1.1,"Algeria",2028,3298619.03394502,232052.812295321,3066566.2216497
"IDU harm reduction measures",1.1,"Algeria",2029,3865547.20161088,235360.566551206,3630186.63505967
"IDU harm reduction measures",1.1,"Algeria",2030,4457405.04732255,239178.480334811,4218226.56698774
"Pulmonary rehabilitation",1.2,"Algeria",2020,724840.208168165,724840.208168165,0
"Pulmonary rehabilitation",1.2,"Algeria",2021,750507.913904327,750507.913904327,0
"Pulmonary rehabilitation",1.2,"Algeria",2022,776786.969124979,776786.969124979,0
"Pulmonary rehabilitation",1.2,"Algeria",2023,907431.315446963,803508.537527483,103922.77791948
"Pulmonary rehabilitation",1.2,"Algeria",2024,1045350.10889558,830224.417276004,215125.691619577
"Pulmonary rehabilitation",1.2,"Algeria",2025,1190757.20484944,856820.059310502,333937.145538939
"Pulmonary rehabilitation",1.2,"Algeria",2026,1348330.95534869,886061.816573758,462269.138774936
"Pulmonary rehabilitation",1.2,"Algeria",2027,1513624.37079088,914296.256806072,599328.113984807
"Pulmonary rehabilitation",1.2,"Algeria",2028,1687900.41049517,942133.839891993,745766.570603177
"Pulmonary rehabilitation",1.2,"Algeria",2029,1873242.3234687,970452.35139965,902789.972069048
"Pulmonary rehabilitation",1.2,"Algeria",2030,2071411.42207185,999762.060705569,1071649.36136628
"Depression chronic treatment",2.1,"Algeria",2020,0,0,0
"Depression chronic treatment",2.1,"Algeria",2021,0,0,0
"Depression chronic treatment",2.1,"Algeria",2022,0,0,0
"Depression chronic treatment",2.1,"Algeria",2023,0,0,0
"Depression chronic treatment",2.1,"Algeria",2024,0,0,0
"Depression chronic treatment",2.1,"Algeria",2025,0,0,0
"Depression chronic treatment",2.1,"Algeria",2026,0,0,0
"Depression chronic treatment",2.1,"Algeria",2027,0,0,0
"Depression chronic treatment",2.1,"Algeria",2028,0,0,0
"Depression chronic treatment",2.1,"Algeria",2029,0,0,0
"Depression chronic treatment",2.1,"Algeria",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Algeria",2020,14923844.8998137,14923844.8998137,0
"Bipolar disorder chronic treatment",2.11,"Algeria",2021,15140870.7791404,15140870.7791404,0
"Bipolar disorder chronic treatment",2.11,"Algeria",2022,15381626.5985572,15381626.5985572,0
"Bipolar disorder chronic treatment",2.11,"Algeria",2023,27409043.4838632,15642708.1710158,11766335.3128474
"Bipolar disorder chronic treatment",2.11,"Algeria",2024,39858489.3265334,15914829.78734,23943659.5391935
"Bipolar disorder chronic treatment",2.11,"Algeria",2025,52742889.3097411,16193462.4969997,36549426.8127414
"Bipolar disorder chronic treatment",2.11,"Algeria",2026,66174777.928026,16502040.8302947,49672737.0977313
"Bipolar disorder chronic treatment",2.11,"Algeria",2027,80057920.5570754,16805180.0009853,63252740.5560901
"Bipolar disorder chronic treatment",2.11,"Algeria",2028,94424387.0110951,17109982.5634561,77314404.4476391
"Bipolar disorder chronic treatment",2.11,"Algeria",2029,109335452.017751,17424755.6840508,91910696.3337002
"Bipolar disorder chronic treatment",2.11,"Algeria",2030,124826870.837009,17750607.964118,107076262.872891
"Schizophrenia chronic treatment",2.12,"Algeria",2020,24710704.0193779,24710704.0193779,0
"Schizophrenia chronic treatment",2.12,"Algeria",2021,25083066.9923743,25083066.9923743,0
"Schizophrenia chronic treatment",2.12,"Algeria",2022,25454704.7812826,25454704.7812826,0
"Schizophrenia chronic treatment",2.12,"Algeria",2023,27291099.4901626,25823836.076713,1467263.4134496
"Schizophrenia chronic treatment",2.12,"Algeria",2024,29158398.3013687,26182026.0779854,2976372.22338331
"Schizophrenia chronic treatment",2.12,"Algeria",2025,31053772.6648081,26527669.3909605,4526103.27384759
"Schizophrenia chronic treatment",2.12,"Algeria",2026,33024305.2993877,26900054.6151251,6124250.68426256
"Schizophrenia chronic treatment",2.12,"Algeria",2027,35005388.1445939,27244560.8646066,7760827.27998727
"Schizophrenia chronic treatment",2.12,"Algeria",2028,37018150.2318446,27579797.7640236,9438352.46782094
"Schizophrenia chronic treatment",2.12,"Algeria",2029,39094645.3425877,27929212.9882542,11165432.3543335
"Schizophrenia chronic treatment",2.12,"Algeria",2030,41252053.0894436,28302439.9288308,12949613.1606128
"Epilepsy acute and chronic treatment",2.13,"Algeria",2020,3409020.31306323,3409020.31306323,0
"Epilepsy acute and chronic treatment",2.13,"Algeria",2021,3476878.9192628,3476878.9192628,0
"Epilepsy acute and chronic treatment",2.13,"Algeria",2022,3543030.04672562,3543030.04672562,0
"Epilepsy acute and chronic treatment",2.13,"Algeria",2023,3671369.90917395,3606959.91076739,64409.9984065602
