"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Angola",2020,43823.2097170036,43823.2097170036,0
"IDU harm reduction measures",1.1,"Angola",2021,45386.4227494386,45386.4227494386,0
"IDU harm reduction measures",1.1,"Angola",2022,47006.1390330402,47006.1390330402,0
"IDU harm reduction measures",1.1,"Angola",2023,155862.643684359,48698.2283627787,107164.41532158
"IDU harm reduction measures",1.1,"Angola",2024,272676.702507507,50482.042025584,222194.660481923
"IDU harm reduction measures",1.1,"Angola",2025,398142.293835471,52367.0684565334,345775.225378937
"IDU harm reduction measures",1.1,"Angola",2026,532357.543358303,54293.5940154815,478063.949342822
"IDU harm reduction measures",1.1,"Angola",2027,676397.714317341,56327.2745547393,620070.439762601
"IDU harm reduction measures",1.1,"Angola",2028,830851.606046719,58458.9372557305,772392.668790989
"IDU harm reduction measures",1.1,"Angola",2029,996142.64304774,60674.3460449588,935468.297002782
"IDU harm reduction measures",1.1,"Angola",2030,1172683.27750021,62965.5126084666,1109717.76489175
"Pulmonary rehabilitation",1.2,"Angola",2020,99155.6585735074,99155.6585735074,0
"Pulmonary rehabilitation",1.2,"Angola",2021,103004.54688193,103004.54688193,0
"Pulmonary rehabilitation",1.2,"Angola",2022,106942.732240799,106942.732240799,0
"Pulmonary rehabilitation",1.2,"Angola",2023,141997.61155066,110997.240895899,31000.3706547606
"Pulmonary rehabilitation",1.2,"Angola",2024,179679.173869066,115200.036345091,64479.1375239747
"Pulmonary rehabilitation",1.2,"Angola",2025,220199.591560938,119570.007502799,100629.584058139
"Pulmonary rehabilitation",1.2,"Angola",2026,264132.061361309,124275.023897086,139857.037464224
"Pulmonary rehabilitation",1.2,"Angola",2027,311448.484243318,129164.917903667,182283.566339651
"Pulmonary rehabilitation",1.2,"Angola",2028,362372.999300149,134249.341822029,228123.65747812
"Pulmonary rehabilitation",1.2,"Angola",2029,417102.237921251,139531.272677543,277570.965243708
"Pulmonary rehabilitation",1.2,"Angola",2030,475839.673755205,145022.237766699,330817.435988506
"Depression chronic treatment",2.1,"Angola",2020,1091202.2171826,1091202.2171826,0
"Depression chronic treatment",2.1,"Angola",2021,1131421.3252351,1131421.3252351,0
"Depression chronic treatment",2.1,"Angola",2022,1173094.93375275,1173094.93375275,0
"Depression chronic treatment",2.1,"Angola",2023,1556223.7001463,1216474.94663261,339748.753513694
"Depression chronic treatment",2.1,"Angola",2024,1966931.19687658,1261809.11585083,705122.081025743
"Depression chronic treatment",2.1,"Angola",2025,2407079.40091663,1309150.29871463,1097929.102202
"Depression chronic treatment",2.1,"Angola",2026,2875760.3414193,1357202.75871854,1518557.58270076
"Depression chronic treatment",2.1,"Angola",2027,3377241.01662748,1407450.66152581,1969790.35510167
"Depression chronic treatment",2.1,"Angola",2028,3912938.483754,1459698.41284771,2453240.0709063
"Depression chronic treatment",2.1,"Angola",2029,4483715.64164114,1513645.74902047,2970069.89262067
"Depression chronic treatment",2.1,"Angola",2030,5089883.75862964,1568935.30125986,3520948.45736978
"Bipolar disorder chronic treatment",2.11,"Angola",2020,4281114.16154972,4281114.16154972,0
"Bipolar disorder chronic treatment",2.11,"Angola",2021,4438919.57998931,4438919.57998931,0
"Bipolar disorder chronic treatment",2.11,"Angola",2022,4602699.90319161,4602699.90319161,0
"Bipolar disorder chronic treatment",2.11,"Angola",2023,8363789.83962806,4773326.86717196,3590462.9724561
"Bipolar disorder chronic treatment",2.11,"Angola",2024,12401808.2170297,4951553.07705906,7450255.13997066
"Bipolar disorder chronic treatment",2.11,"Angola",2025,16734985.4128227,5137417.7282403,11597567.6845824
"Bipolar disorder chronic treatment",2.11,"Angola",2026,21352904.9383607,5323794.96042706,16029109.9779336
"Bipolar disorder chronic treatment",2.11,"Angola",2027,26294995.4124111,5518555.63926367,20776439.7731474
"Bipolar disorder chronic treatment",2.11,"Angola",2028,31576424.1850999,5720888.03249905,25855536.1526008
"Bipolar disorder chronic treatment",2.11,"Angola",2029,37207409.1717891,5929593.94736376,31277815.2244254
"Bipolar disorder chronic treatment",2.11,"Angola",2030,43189766.7504495,6142804.26883693,37046962.4816126
"Schizophrenia chronic treatment",2.12,"Angola",2020,7401234.1233667,7401234.1233667,0
"Schizophrenia chronic treatment",2.12,"Angola",2021,7670230.32920545,7670230.32920545,0
"Schizophrenia chronic treatment",2.12,"Angola",2022,7948890.48250362,7948890.48250362,0
"Schizophrenia chronic treatment",2.12,"Angola",2023,8707670.29135646,8239515.97461687,468154.316739595
"Schizophrenia chronic treatment",2.12,"Angola",2024,9516726.38484884,8544735.16959811,971991.215250738
