"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Benin",2020,3878.91032726265,3878.91032726265,0
"IDU harm reduction measures",1.1,"Benin",2021,4001.21147218761,4001.21147218761,0
"IDU harm reduction measures",1.1,"Benin",2022,4126.86599543803,4126.86599543803,0
"IDU harm reduction measures",1.1,"Benin",2023,46284.4066814251,4256.03739599311,42028.369285432
"IDU harm reduction measures",1.1,"Benin",2024,91082.60046177,4389.10090117855,86693.4995605915
"IDU harm reduction measures",1.1,"Benin",2025,138653.276177239,4526.229391207,134127.046786032
"IDU harm reduction measures",1.1,"Benin",2026,188933.284762098,4662.63797920554,184270.646782893
"IDU harm reduction measures",1.1,"Benin",2027,242168.087720426,4803.44625220535,237364.64146822
"IDU harm reduction measures",1.1,"Benin",2028,298473.880759745,4948.29036112705,293525.590398618
"IDU harm reduction measures",1.1,"Benin",2029,357947.284693405,5096.74775336384,352850.536940041
"IDU harm reduction measures",1.1,"Benin",2030,420682.472057392,5248.58820954959,415433.883847842
"Pulmonary rehabilitation",1.2,"Benin",2020,29560.8598240164,29560.8598240164,0
"Pulmonary rehabilitation",1.2,"Benin",2021,30579.7008354029,30579.7008354029,0
"Pulmonary rehabilitation",1.2,"Benin",2022,31629.0438790898,31629.0438790898,0
"Pulmonary rehabilitation",1.2,"Benin",2023,41744.8668052131,32711.9304566495,9032.93634856353
"Pulmonary rehabilitation",1.2,"Benin",2024,52565.393272254,33832.7363095,18732.656962754
"Pulmonary rehabilitation",1.2,"Benin",2025,64144.3286800279,34993.3830326263,29150.9456474015
"Pulmonary rehabilitation",1.2,"Benin",2026,76566.7092980601,36206.7690026928,40359.9402953673
"Pulmonary rehabilitation",1.2,"Benin",2027,89862.8000785297,37460.3991326623,52402.4009458674
"Pulmonary rehabilitation",1.2,"Benin",2028,104078.53676781,38754.1903763122,65324.3463914974
"Pulmonary rehabilitation",1.2,"Benin",2029,119253.140471606,40087.9604310219,79165.1800405842
"Pulmonary rehabilitation",1.2,"Benin",2030,135425.785757573,41463.8348273802,93961.9509301931
"Depression chronic treatment",2.1,"Benin",2020,243171.658703501,243171.658703501,0
"Depression chronic treatment",2.1,"Benin",2021,250787.738510327,250787.738510327,0
"Depression chronic treatment",2.1,"Benin",2022,258645.411015459,258645.411015459,0
"Depression chronic treatment",2.1,"Benin",2023,340420.790711834,266759.055280362,73661.7354314726
"Depression chronic treatment",2.1,"Benin",2024,427249.142766676,275148.370484606,152100.77228207
"Depression chronic treatment",2.1,"Benin",2025,519419.317063695,283814.727853754,235604.589209941
"Depression chronic treatment",2.1,"Benin",2026,616623.307919913,292471.292550146,324152.015369767
"Depression chronic treatment",2.1,"Benin",2027,719640.169856964,301428.677063241,418211.492793723
"Depression chronic treatment",2.1,"Benin",2028,828738.035458459,310678.968895774,518059.066562685
"Depression chronic treatment",2.1,"Benin",2029,944144.925748653,320207.609442313,623937.31630634
"Depression chronic treatment",2.1,"Benin",2030,1065957.85779734,329968.297476913,735989.560320428
"Bipolar disorder chronic treatment",2.11,"Benin",2020,342871.477776616,342871.477776616,0
"Bipolar disorder chronic treatment",2.11,"Benin",2021,353412.814837911,353412.814837911,0
"Bipolar disorder chronic treatment",2.11,"Benin",2022,364302.919084436,364302.919084436,0
"Bipolar disorder chronic treatment",2.11,"Benin",2023,1343611.2211582,375551.389483312,968059.831674889
"Bipolar disorder chronic treatment",2.11,"Benin",2024,2383556.77233117,387172.257985003,1996384.51434616
"Bipolar disorder chronic treatment",2.11,"Benin",2025,3487359.42031181,399159.205872903,3088200.2144389
"Bipolar disorder chronic treatment",2.11,"Benin",2026,4652059.66714334,410968.782237489,4241090.88490585
"Bipolar disorder chronic treatment",2.11,"Benin",2027,5884834.13674262,423194.140615336,5461639.99612728
"Bipolar disorder chronic treatment",2.11,"Benin",2028,7188719.47711251,435807.748401439,6752911.72871107
"Bipolar disorder chronic treatment",2.11,"Benin",2029,8566219.77546705,448770.767286662,8117449.00818039
"Bipolar disorder chronic treatment",2.11,"Benin",2030,10018185.7033393,461987.855488321,9556197.84785102
"Schizophrenia chronic treatment",2.12,"Benin",2020,837994.078951231,837994.078951231,0
"Schizophrenia chronic treatment",2.12,"Benin",2021,864915.801920716,864915.801920716,0
"Schizophrenia chronic treatment",2.12,"Benin",2022,892814.00766032,892814.00766032,0
"Schizophrenia chronic treatment",2.12,"Benin",2023,1175189.4999524,921717.254864628,253472.245087772
"Schizophrenia chronic treatment",2.12,"Benin",2024,1475330.30653461,951683.335871305,523646.970663303
"Schizophrenia chronic treatment",2.12,"Benin",2025,1794232.18098555,982726.945895571,811505.235089979
"Schizophrenia chronic treatment",2.12,"Benin",2026,2129771.8316296,1013375.55315852,1116396.27847108
"Schizophrenia chronic treatment",2.12,"Benin",2027,2485476.82299474,1045221.73834488,1440255.08464986
"Schizophrenia chronic treatment",2.12,"Benin",2028,2862253.41609396,1078210.66441414,1784042.75167982
"Schizophrenia chronic treatment",2.12,"Benin",2029,3260901.10254888,1112273.41406808,2148627.6884808
"Schizophrenia chronic treatment",2.12,"Benin",2030,3682163.04637404,1147348.58189693,2534814.46447711
"Epilepsy acute and chronic treatment",2.13,"Benin",2020,22392.2010724179,22392.2010724179,0
"Epilepsy acute and chronic treatment",2.13,"Benin",2021,22983.8801064346,22983.8801064346,0
"Epilepsy acute and chronic treatment",2.13,"Benin",2022,23582.695501269,23582.695501269,0
"Epilepsy acute and chronic treatment",2.13,"Benin",2023,101796.105803517,24189.1736562813,77606.9321472359
"Epilepsy acute and chronic treatment",2.13,"Benin",2024,183997.305464328,24804.5921256812,159192.713338647
"Epilepsy acute and chronic treatment",2.13,"Benin",2025,270301.692427199,25428.4807474385,244873.21167976
"Epilepsy acute and chronic treatment",2.13,"Benin",2026,360939.578635972,26069.036799262,334870.54183671
"Epilepsy acute and chronic treatment",2.13,"Benin",2027,455971.626613392,26718.684162317,429252.942451075
"Epilepsy acute and chronic treatment",2.13,"Benin",2028,555509.786126636,27377.3886946192,528132.397432017
"Epilepsy acute and chronic treatment",2.13,"Benin",2029,659661.070880234,28045.1820060613,631615.888874172
"Epilepsy acute and chronic treatment",2.13,"Benin",2030,768511.401633737,28721.5545124038,739789.847121333
"Asthma/COPD chronic treatment",2.14,"Benin",2020,2423518.66128594,2423518.66128594,0
"Asthma/COPD chronic treatment",2.14,"Benin",2021,2488231.69798544,2488231.69798544,0
"Asthma/COPD chronic treatment",2.14,"Benin",2022,2553799.33421037,2553799.33421037,0
"Asthma/COPD chronic treatment",2.14,"Benin",2023,3343746.14133503,2620211.76760307,723534.373731968
"Asthma/COPD chronic treatment",2.14,"Benin",2024,4172928.80966629,2687619.171781,1485309.63788529
"Asthma/COPD chronic treatment",2.14,"Benin",2025,5041582.68093239,2755475.02413595,2286107.65679644
"Asthma/COPD chronic treatment",2.14,"Benin",2026,5953901.68543814,2825361.51594067,3128540.16949747
"Asthma/COPD chronic treatment",2.14,"Benin",2027,6910093.73922561,2896512.53788607,4013581.20133954
"Asthma/COPD chronic treatment",2.14,"Benin",2028,7911368.84566391,2968880.07665977,4942488.76900414
"Asthma/COPD chronic treatment",2.14,"Benin",2029,8958973.38150371,3042480.30935415,5916493.07214956
"Asthma/COPD chronic treatment",2.14,"Benin",2030,10054523.2468659,3117474.87020921,6937048.37665672
