"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Bhutan",2020,455.232689719424,455.232689719424,0
"IDU harm reduction measures",1.1,"Bhutan",2021,459.841434011537,459.841434011537,0
"IDU harm reduction measures",1.1,"Bhutan",2022,464.226872502183,464.226872502183,0
"IDU harm reduction measures",1.1,"Bhutan",2023,5091.44327142801,468.178691625564,4623.26457980244
"IDU harm reduction measures",1.1,"Bhutan",2024,9782.83950795635,471.421187582179,9311.41832037417
"IDU harm reduction measures",1.1,"Bhutan",2025,14517.0055702186,473.90548501783,14043.1000852008
"IDU harm reduction measures",1.1,"Bhutan",2026,19307.4349407867,476.49464355425,18830.9402972324
"IDU harm reduction measures",1.1,"Bhutan",2027,24115.509595241,478.343345264616,23637.1662499764
"IDU harm reduction measures",1.1,"Bhutan",2028,28926.7953674372,479.563713194311,28447.2316542429
"IDU harm reduction measures",1.1,"Bhutan",2029,33738.9085642534,480.377706071275,33258.5308581821
"IDU harm reduction measures",1.1,"Bhutan",2030,38550.161084681,480.907506650826,38069.2535780302
"Pulmonary rehabilitation",1.2,"Bhutan",2020,11547.0033561042,11547.0033561042,0
"Pulmonary rehabilitation",1.2,"Bhutan",2021,11940.7022156101,11940.7022156101,0
"Pulmonary rehabilitation",1.2,"Bhutan",2022,12349.6047502156,12349.6047502156,0
"Pulmonary rehabilitation",1.2,"Bhutan",2023,16127.4888744613,12770.4760729242,3357.01280153715
"Pulmonary rehabilitation",1.2,"Bhutan",2024,20162.2575627185,13198.5687651004,6963.68879761806
"Pulmonary rehabilitation",1.2,"Bhutan",2025,24464.7659232991,13630.6720967466,10834.0938265525
"Pulmonary rehabilitation",1.2,"Bhutan",2026,29136.9903996821,14108.9107117217,15028.0796879603
"Pulmonary rehabilitation",1.2,"Bhutan",2027,34108.2842836255,14582.8751959491,19525.4090876765
"Pulmonary rehabilitation",1.2,"Bhutan",2028,39401.5884963766,15059.3025474163,24342.2859489604
"Pulmonary rehabilitation",1.2,"Bhutan",2029,45053.6592725941,15547.6796009171,29505.9796716771
"Pulmonary rehabilitation",1.2,"Bhutan",2030,51094.0697885615,16052.3788173177,35041.6909712438
"Depression chronic treatment",2.1,"Bhutan",2020,25830.0545630429,25830.0545630429,0
"Depression chronic treatment",2.1,"Bhutan",2021,26394.8174220308,26394.8174220308,0
"Depression chronic treatment",2.1,"Bhutan",2022,26988.2898942509,26988.2898942509,0
