"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Bolivia",2020,7560.33988104978,7560.33988104978,0
"IDU harm reduction measures",1.1,"Bolivia",2021,7710.57060943178,7710.57060943178,0
"IDU harm reduction measures",1.1,"Bolivia",2022,7859.01068404681,7859.01068404681,0
"IDU harm reduction measures",1.1,"Bolivia",2023,87065.2815602972,8006.0029020963,79059.2786582009
"IDU harm reduction measures",1.1,"Bolivia",2024,169178.875222899,8152.55905147933,161026.31617142
"IDU harm reduction measures",1.1,"Bolivia",2025,254221.736160378,8298.97926945672,245922.756890921
"IDU harm reduction measures",1.1,"Bolivia",2026,342011.2672498,8440.03761371045,333571.229636089
"IDU harm reduction measures",1.1,"Bolivia",2027,432735.549274558,8581.85831414315,424153.690960415
"IDU harm reduction measures",1.1,"Bolivia",2028,526391.160306055,8723.31907564416,517667.841230411
"IDU harm reduction measures",1.1,"Bolivia",2029,622906.972526137,8862.94922146029,614044.023304677
"IDU harm reduction measures",1.1,"Bolivia",2030,722234.087333183,9000.28887188286,713233.7984613
"Pulmonary rehabilitation",1.2,"Bolivia",2020,231605.819797734,231605.819797734,0
"Pulmonary rehabilitation",1.2,"Bolivia",2021,239330.073708891,239330.073708891,0
"Pulmonary rehabilitation",1.2,"Bolivia",2022,247127.350471952,247127.350471952,0
"Pulmonary rehabilitation",1.2,"Bolivia",2023,274920.360662457,255089.176391575,19831.1842708814
"Pulmonary rehabilitation",1.2,"Bolivia",2024,304473.916727346,263358.83071765,41115.0860096962
"Pulmonary rehabilitation",1.2,"Bolivia",2025,336104.055831569,272055.204667388,64048.8511641813
"Pulmonary rehabilitation",1.2,"Bolivia",2026,369863.951423137,281054.710774196,88809.2406489417
"Pulmonary rehabilitation",1.2,"Bolivia",2027,405819.370698599,290273.377307991,115545.993390608
"Pulmonary rehabilitation",1.2,"Bolivia",2028,444160.954034661,299731.989346573,144428.964688088
"Pulmonary rehabilitation",1.2,"Bolivia",2029,485044.440943033,309430.673482917,175613.767460115
"Pulmonary rehabilitation",1.2,"Bolivia",2030,528689.339557884,319414.883994421,209274.455563463
"Depression chronic treatment",2.1,"Bolivia",2020,0,0,0
"Depression chronic treatment",2.1,"Bolivia",2021,0,0,0
"Depression chronic treatment",2.1,"Bolivia",2022,0,0,0
"Depression chronic treatment",2.1,"Bolivia",2023,0,0,0
"Depression chronic treatment",2.1,"Bolivia",2024,0,0,0
"Depression chronic treatment",2.1,"Bolivia",2025,0,0,0
"Depression chronic treatment",2.1,"Bolivia",2026,0,0,0
"Depression chronic treatment",2.1,"Bolivia",2027,0,0,0
"Depression chronic treatment",2.1,"Bolivia",2028,0,0,0
"Depression chronic treatment",2.1,"Bolivia",2029,0,0,0
"Depression chronic treatment",2.1,"Bolivia",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Bolivia",2020,1381959.90731438,1381959.90731438,0
"Bipolar disorder chronic treatment",2.11,"Bolivia",2021,1407301.45658844,1407301.45658844,0
"Bipolar disorder chronic treatment",2.11,"Bolivia",2022,1432215.37969501,1432215.37969501,0
"Bipolar disorder chronic treatment",2.11,"Bolivia",2023,5212131.05995302,1456837.38786222,3755293.6720908
"Bipolar disorder chronic treatment",2.11,"Bolivia",2024,9119287.39542371,1481428.23203896,7637859.16338475
"Bipolar disorder chronic treatment",2.11,"Bolivia",2025,13154850.260928,1506049.95594558,11648800.3049824
"Bipolar disorder chronic treatment",2.11,"Bolivia",2026,17309247.9836111,1529738.43154936,15779509.5520617
"Bipolar disorder chronic treatment",2.11,"Bolivia",2027,21593299.3445553,1553701.0090242,20039598.3355311
"Bipolar disorder chronic treatment",2.11,"Bolivia",2028,26006504.425882,1577695.53760357,24428808.8882784
"Bipolar disorder chronic treatment",2.11,"Bolivia",2029,30544252.1262779,1601393.21545638,28942858.9108215
"Bipolar disorder chronic treatment",2.11,"Bolivia",2030,35203210.8722788,1624682.02361582,33578528.848663
"Schizophrenia chronic treatment",2.12,"Bolivia",2020,4309316.86809621,4309316.86809621,0
"Schizophrenia chronic treatment",2.12,"Bolivia",2021,4402808.87742184,4402808.87742184,0
"Schizophrenia chronic treatment",2.12,"Bolivia",2022,4496110.46953577,4496110.46953577,0
"Schizophrenia chronic treatment",2.12,"Bolivia",2023,5163116.96338598,4589437.30078753,573679.662598442
"Schizophrenia chronic treatment",2.12,"Bolivia",2024,5854616.27490203,4683400.47532397,1171215.79957806
"Schizophrenia chronic treatment",2.12,"Bolivia",2025,6571198.15974796,4778073.77577482,1793124.38397314
"Schizophrenia chronic treatment",2.12,"Bolivia",2026,7308437.65375144,4870148.15191535,2438289.50183608
"Schizophrenia chronic treatment",2.12,"Bolivia",2027,8072254.02316441,4963688.43678069,3108565.58638373
"Schizophrenia chronic treatment",2.12,"Bolivia",2028,8861960.57302083,5057823.65105566,3804136.92196516
"Schizophrenia chronic treatment",2.12,"Bolivia",2029,9675845.88251553,5151374.50085031,4524471.38166522
"Schizophrenia chronic treatment",2.12,"Bolivia",2030,10512791.4603499,5243762.5673409,5269028.89300899
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2020,735056.858389036,735056.858389036,0
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2021,746012.675847392,746012.675847392,0
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2022,756875.541980023,756875.541980023,0
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2023,825287.500939425,767709.303199466,57578.1977399598
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2024,895488.745650491,778607.162438787,116881.583211704
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2025,967621.530926544,789631.606645046,177989.924281498
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2026,1041473.00088206,800553.774841251,240919.226040808
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2027,1117374.99319964,811591.444703248,305783.548496388
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2028,1195366.00711108,822716.444855274,372649.562255803
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2029,1275434.92330674,833876.472160405,441558.451146335
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2030,1357600.98952634,845051.069507466,512549.920018877
"Asthma/COPD chronic treatment",2.14,"Bolivia",2020,10993483.0015763,10993483.0015763,0
"Asthma/COPD chronic treatment",2.14,"Bolivia",2021,11077568.9973293,11077568.9973293,0
"Asthma/COPD chronic treatment",2.14,"Bolivia",2022,11160964.870156,11160964.870156,0
"Asthma/COPD chronic treatment",2.14,"Bolivia",2023,12118331.1977219,11244184.0139393,874147.183782639
"Asthma/COPD chronic treatment",2.14,"Bolivia",2024,13089088.8771908,11326831.8369152,1762257.04027562
"Asthma/COPD chronic treatment",2.14,"Bolivia",2025,14076248.3313064,11410923.8438203,2665324.48748606
"Asthma/COPD chronic treatment",2.14,"Bolivia",2026,15104568.9436343,11514502.7648586,3590066.17877573
"Asthma/COPD chronic treatment",2.14,"Bolivia",2027,16150767.1477744,11616988.2051282,4533778.94264623
"Asthma/COPD chronic treatment",2.14,"Bolivia",2028,17216421.2337129,11719127.3161685,5497293.91754443
"Asthma/COPD chronic treatment",2.14,"Bolivia",2029,18304232.7075732,11822278.8727877,6481953.83478546
"Asthma/COPD chronic treatment",2.14,"Bolivia",2030,19413507.283053,11925484.3585539,7488022.9244991
"Diabetes screening and treatment",2.3,"Bolivia",2020,100275683.905085,100275683.905085,0
"Diabetes screening and treatment",2.3,"Bolivia",2021,103010946.937097,103010946.937097,0
"Diabetes screening and treatment",2.3,"Bolivia",2022,105815781.765391,105815781.765391,0
"Diabetes screening and treatment",2.3,"Bolivia",2023,117163430.914322,108711930.331855,8451500.58246627
"Diabetes screening and treatment",2.3,"Bolivia",2024,129144429.86998,111731790.512051,17412639.3579291
"Diabetes screening and treatment",2.3,"Bolivia",2025,141834477.34045,114895031.366522,26939445.9739286
"Diabetes screening and treatment",2.3,"Bolivia",2026,154926933.147839,117923622.519068,37003310.628771
"Diabetes screening and treatment",2.3,"Bolivia",2027,168789210.240709,121087379.661373,47701830.5793361
"Diabetes screening and treatment",2.3,"Bolivia",2028,183473227.485109,124384437.061533,59088790.4235763
"Diabetes screening and treatment",2.3,"Bolivia",2029,199012696.263918,127802817.358293,71209878.9056247
"Diabetes screening and treatment",2.3,"Bolivia",2030,215453287.979995,131341601.675026,84111686.3049695
"CVD primary prevention",2.4,"Bolivia",2020,17255667.725372,17255667.725372,0
"CVD primary prevention",2.4,"Bolivia",2021,17693730.2999597,17693730.2999597,0
"CVD primary prevention",2.4,"Bolivia",2022,18138238.8311269,18138238.8311269,0
"CVD primary prevention",2.4,"Bolivia",2023,20036094.8548429,18590805.4329252,1445289.4219177
"CVD primary prevention",2.4,"Bolivia",2024,22020512.2675549,19054576.3097607,2965935.95779413
"CVD primary prevention",2.4,"Bolivia",2025,24097062.8255316,19530441.0718051,4566621.75372655
"CVD primary prevention",2.4,"Bolivia",2026,26238940.9343935,19994269.0339665,6244671.90042694
"CVD primary prevention",2.4,"Bolivia",2027,28480772.301249,20471573.5916102,8009198.70963876
"CVD primary prevention",2.4,"Bolivia",2028,30824294.5538903,20960081.1008616,9864213.45302868
"CVD primary prevention",2.4,"Bolivia",2029,33268308.2700755,21456173.3859444,11812134.8841312
"CVD primary prevention",2.4,"Bolivia",2030,35813170.7091444,21957996.1015476,13855174.6075968
"Aspirin for suspected ACS",2.5,"Bolivia",2020,15401.0218443262,15401.0218443262,0
"Aspirin for suspected ACS",2.5,"Bolivia",2021,15824.0851090282,15824.0851090282,0
"Aspirin for suspected ACS",2.5,"Bolivia",2022,16257.7072137921,16257.7072137921,0
"Aspirin for suspected ACS",2.5,"Bolivia",2023,18002.8229729738,16704.2021690696,1298.62080390416
"Aspirin for suspected ACS",2.5,"Bolivia",2024,19841.0103428878,17167.5200140623,2673.49032882551
"Aspirin for suspected ACS",2.5,"Bolivia",2025,21780.950444805,17649.5701998161,4131.38024498897
"Aspirin for suspected ACS",2.5,"Bolivia",2026,23785.650941188,18116.8221728345,5668.82876835343
"Aspirin for suspected ACS",2.5,"Bolivia",2027,25901.92477322,18603.6052467581,7298.3195264619
"Aspirin for suspected ACS",2.5,"Bolivia",2028,28134.8058973962,19108.5408868025,9026.26501059375
"Aspirin for suspected ACS",2.5,"Bolivia",2029,30486.6751409966,19628.9380414114,10857.7370995853
"Aspirin for suspected ACS",2.5,"Bolivia",2030,32961.6296667089,20163.82013824,12797.8095284689
"CVD secondary prevention",2.6,"Bolivia",2020,16196592.2749971,16196592.2749971,0
"CVD secondary prevention",2.6,"Bolivia",2021,16705958.4520322,16705958.4520322,0
"CVD secondary prevention",2.6,"Bolivia",2022,17226701.9966893,17226701.9966893,0
"CVD secondary prevention",2.6,"Bolivia",2023,19145352.9554359,17764316.5655685,1381036.38986737
"CVD secondary prevention",2.6,"Bolivia",2024,21186771.2833552,18326465.1781499,2860306.10520533
"CVD secondary prevention",2.6,"Bolivia",2025,23370286.1237107,18919201.8926758,4451084.23103487
"CVD secondary prevention",2.6,"Bolivia",2026,25651782.1655633,19498186.257155,6153595.9084083
"CVD secondary prevention",2.6,"Bolivia",2027,28084542.4965932,20099267.5179891,7985274.97860415
"CVD secondary prevention",2.6,"Bolivia",2028,30683321.9548381,20724587.2107605,9958734.74407763
"CVD secondary prevention",2.6,"Bolivia",2029,33459959.7194329,21374349.1283753,12085610.5910577
"CVD secondary prevention",2.6,"Bolivia",2030,36428758.6556458,22050635.8496826,14378122.8059632
"Heart failure chronic treatment",2.7,"Bolivia",2020,1354504.08306474,1354504.08306474,0
"Heart failure chronic treatment",2.7,"Bolivia",2021,1407029.52695149,1407029.52695149,0
"Heart failure chronic treatment",2.7,"Bolivia",2022,1459562.98754602,1459562.98754602,0
"Heart failure chronic treatment",2.7,"Bolivia",2023,1630602.58162173,1512980.22658482,117622.355036912
"Heart failure chronic treatment",2.7,"Bolivia",2024,1814089.75357782,1568580.24008361,245509.513494216
"Heart failure chronic treatment",2.7,"Bolivia",2025,2012963.91076567,1627573.81600139,385390.094764277
"Heart failure chronic treatment",2.7,"Bolivia",2026,2229535.22352338,1690265.56341241,539269.660110972
"Heart failure chronic treatment",2.7,"Bolivia",2027,2462083.17053635,1754023.16938971,708060.001146632
"Heart failure chronic treatment",2.7,"Bolivia",2028,2712526.88863283,1819273.79248778,893253.096145043
"Heart failure chronic treatment",2.7,"Bolivia",2029,2982641.87854533,1886328.78129524,1096313.0972501
"Heart failure chronic treatment",2.7,"Bolivia",2030,3274698.70480899,1955808.37930486,1318890.32550413
"Alcohol use screening/brief intervention",2.9,"Bolivia",2020,75177.3432804456,75177.3432804456,0
"Alcohol use screening/brief intervention",2.9,"Bolivia",2021,76697.7395072792,76697.7395072792,0
"Alcohol use screening/brief intervention",2.9,"Bolivia",2022,78203.6747219917,78203.6747219917,0
"Alcohol use screening/brief intervention",2.9,"Bolivia",2023,866740.836987009,79700.3068493801,787040.530137629
"Alcohol use screening/brief intervention",2.9,"Bolivia",2024,1685026.07281813,81199.7982517169,1603826.27456641
"Alcohol use screening/brief intervention",2.9,"Bolivia",2025,2533502.40749835,82705.6361752468,2450796.77132311
"Alcohol use screening/brief intervention",2.9,"Bolivia",2026,3410373.14562022,84160.8284469152,3326212.3171733
"Alcohol use screening/brief intervention",2.9,"Bolivia",2027,4317883.29019899,85632.2607524057,4232251.02944658
"Alcohol use screening/brief intervention",2.9,"Bolivia",2028,5256176.42726874,87107.5674873211,5169068.85978142
"Alcohol use screening/brief intervention",2.9,"Bolivia",2029,6224595.67248848,88569.7808699297,6136025.89161855
"Alcohol use screening/brief intervention",2.9,"Bolivia",2030,7222647.25021332,90012.4180045262,7132634.8322088
"Medical management of ACS",3.1,"Bolivia",2020,1732302.08332114,1732302.08332114,0
"Medical management of ACS",3.1,"Bolivia",2021,1792747.56055723,1792747.56055723,0
"Medical management of ACS",3.1,"Bolivia",2022,1853852.46419725,1853852.46419725,0
"Medical management of ACS",3.1,"Bolivia",2023,2295077.02980828,1916427.95755035,378649.072257933
