"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Cameroon",2020,18525.7785492193,18525.7785492193,0
"IDU harm reduction measures",1.1,"Cameroon",2021,19067.508355308,19067.508355308,0
"IDU harm reduction measures",1.1,"Cameroon",2022,19626.5547014624,19626.5547014624,0
"IDU harm reduction measures",1.1,"Cameroon",2023,219733.762135333,20205.4034147432,199528.358720589
"IDU harm reduction measures",1.1,"Cameroon",2024,431765.043451484,20806.9635469424,410958.079904542
"IDU harm reduction measures",1.1,"Cameroon",2025,656479.226675543,21432.677623211,635046.549052332
"IDU harm reduction measures",1.1,"Cameroon",2026,893777.362210727,22061.0269737971,871716.335236929
"IDU harm reduction measures",1.1,"Cameroon",2027,1144892.52214641,22713.6287472303,1122178.89339918
"IDU harm reduction measures",1.1,"Cameroon",2028,1410483.41879924,23388.322045793,1387095.09675344
"IDU harm reduction measures",1.1,"Cameroon",2029,1691066.96539904,24082.1566513981,1666984.80874764
"IDU harm reduction measures",1.1,"Cameroon",2030,1987129.07843435,24793.3309252289,1962335.74750912
"Pulmonary rehabilitation",1.2,"Cameroon",2020,60933.8510086273,60933.8510086273,0
"Pulmonary rehabilitation",1.2,"Cameroon",2021,63097.550362715,63097.550362715,0
"Pulmonary rehabilitation",1.2,"Cameroon",2022,65311.1460274767,65311.1460274767,0
"Pulmonary rehabilitation",1.2,"Cameroon",2023,94181.0298389868,67583.0462457569,26597.9835932299
"Pulmonary rehabilitation",1.2,"Cameroon",2024,125017.686151756,69921.5116412422,55096.1745105138
"Pulmonary rehabilitation",1.2,"Cameroon",2025,157973.977121232,72330.4602298927,85643.5168913391
"Pulmonary rehabilitation",1.2,"Cameroon",2026,193730.528708417,75001.3370575506,118729.191650867
"Pulmonary rehabilitation",1.2,"Cameroon",2027,232144.058817498,77746.7626788773,154397.296138621
"Pulmonary rehabilitation",1.2,"Cameroon",2028,273427.628911554,80574.0538886893,192853.575022865
"Pulmonary rehabilitation",1.2,"Cameroon",2029,317787.313245175,83492.5588191175,234294.754426057
"Pulmonary rehabilitation",1.2,"Cameroon",2030,365388.003253725,86509.9585353819,278878.044718343
"Depression chronic treatment",2.1,"Cameroon",2020,0,0,0
"Depression chronic treatment",2.1,"Cameroon",2021,0,0,0
"Depression chronic treatment",2.1,"Cameroon",2022,0,0,0
"Depression chronic treatment",2.1,"Cameroon",2023,0,0,0
"Depression chronic treatment",2.1,"Cameroon",2024,0,0,0
"Depression chronic treatment",2.1,"Cameroon",2025,0,0,0
"Depression chronic treatment",2.1,"Cameroon",2026,0,0,0
"Depression chronic treatment",2.1,"Cameroon",2027,0,0,0
"Depression chronic treatment",2.1,"Cameroon",2028,0,0,0
"Depression chronic treatment",2.1,"Cameroon",2029,0,0,0
"Depression chronic treatment",2.1,"Cameroon",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Cameroon",2020,837849.721177217,837849.721177217,0
"Bipolar disorder chronic treatment",2.11,"Cameroon",2021,863312.585329017,863312.585329017,0
"Bipolar disorder chronic treatment",2.11,"Cameroon",2022,889675.632696104,889675.632696104,0
"Bipolar disorder chronic treatment",2.11,"Cameroon",2023,3280684.39068183,916980.717319944,2363703.67336188
"Bipolar disorder chronic treatment",2.11,"Cameroon",2024,5818777.99308092,945242.819702708,4873535.17337821
"Bipolar disorder chronic treatment",2.11,"Cameroon",2025,8511866.48053833,974429.350377936,7537437.13016039
"Bipolar disorder chronic treatment",2.11,"Cameroon",2026,11354953.2063291,1003370.16899864,10351583.0373304
"Bipolar disorder chronic treatment",2.11,"Cameroon",2027,14363747.2765276,1033242.46907759,13330504.80745
"Bipolar disorder chronic treatment",2.11,"Cameroon",2028,17545575.9198327,1063971.85633072,16481604.063502
"Bipolar disorder chronic treatment",2.11,"Cameroon",2029,20906453.4964303,1095456.15799156,19810997.3384387
"Bipolar disorder chronic treatment",2.11,"Cameroon",2030,24449229.1320125,1127500.5936619,23321728.5383506
"Schizophrenia chronic treatment",2.12,"Cameroon",2020,3340730.28021725,3340730.28021725,0
"Schizophrenia chronic treatment",2.12,"Cameroon",2021,3447339.15662776,3447339.15662776,0
"Schizophrenia chronic treatment",2.12,"Cameroon",2022,3557401.35265898,3557401.35265898,0
"Schizophrenia chronic treatment",2.12,"Cameroon",2023,4130205.95303474,3671294.18047532,458911.772559416
"Schizophrenia chronic treatment",2.12,"Cameroon",2024,4737164.51821014,3789444.05605403,947720.462156112
"Schizophrenia chronic treatment",2.12,"Cameroon",2025,5380421.09122689,3912043.66659486,1468377.42463203
"Schizophrenia chronic treatment",2.12,"Cameroon",2026,6054155.78752263,4033884.42954308,2020271.35797955
"Schizophrenia chronic treatment",2.12,"Cameroon",2027,6766971.74458253,4160231.51155528,2606740.23302724
"Schizophrenia chronic treatment",2.12,"Cameroon",2028,7520669.29532562,4290962.10015461,3229707.19517101
"Schizophrenia chronic treatment",2.12,"Cameroon",2029,8316869.42377925,4425902.87055549,3890966.55322375
