"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Cape Verde",2020,815.798778907362,815.798778907362,0
"IDU harm reduction measures",1.1,"Cape Verde",2021,825.898214591367,825.898214591367,0
"IDU harm reduction measures",1.1,"Cape Verde",2022,834.20858250996,834.20858250996,0
"IDU harm reduction measures",1.1,"Cape Verde",2023,9144.35616343923,840.860336867975,8303.49582657126
"IDU harm reduction measures",1.1,"Cape Verde",2024,17561.9290147104,846.334764676205,16715.5942500342
"IDU harm reduction measures",1.1,"Cape Verde",2025,26063.4328985315,850.970645594879,25212.4622529366
"IDU harm reduction measures",1.1,"Cape Verde",2026,34681.5908068762,856.154100399158,33825.436706477
"IDU harm reduction measures",1.1,"Cape Verde",2027,43392.4110209703,861.053985134405,42531.3570358359
"IDU harm reduction measures",1.1,"Cape Verde",2028,52180.0623648674,865.517680854688,51314.5446840127
"IDU harm reduction measures",1.1,"Cape Verde",2029,61026.2267443289,869.443967236419,60156.7827770925
"IDU harm reduction measures",1.1,"Cape Verde",2030,69921.2552881624,872.892215511872,69048.3630726505
"Pulmonary rehabilitation",1.2,"Cape Verde",2020,6277.96649292103,6277.96649292103,0
"Pulmonary rehabilitation",1.2,"Cape Verde",2021,6493.20256728636,6493.20256728636,0
"Pulmonary rehabilitation",1.2,"Cape Verde",2022,6704.03812542697,6704.03812542697,0
"Pulmonary rehabilitation",1.2,"Cape Verde",2023,7965.1850502305,6911.83961756906,1053.34543266145
"Pulmonary rehabilitation",1.2,"Cape Verde",2024,9290.1938719907,7117.33015628494,2172.86371570575
"Pulmonary rehabilitation",1.2,"Cape Verde",2025,10680.5504861093,7320.484207046,3360.06627906333
"Pulmonary rehabilitation",1.2,"Cape Verde",2026,12191.0412711834,7553.36334809319,4637.6779230902
"Pulmonary rehabilitation",1.2,"Cape Verde",2027,13786.3645825847,7786.28822717856,6000.07635540615
"Pulmonary rehabilitation",1.2,"Cape Verde",2028,15471.5000969938,8020.25918775291,7451.24090924091
"Pulmonary rehabilitation",1.2,"Cape Verde",2029,17250.2514724533,8255.99437148955,8994.25710096375
"Pulmonary rehabilitation",1.2,"Cape Verde",2030,19128.7219480957,8495.6652997474,10633.0566483483
"Depression chronic treatment",2.1,"Cape Verde",2020,0,0,0
"Depression chronic treatment",2.1,"Cape Verde",2021,0,0,0
"Depression chronic treatment",2.1,"Cape Verde",2022,0,0,0
"Depression chronic treatment",2.1,"Cape Verde",2023,0,0,0
"Depression chronic treatment",2.1,"Cape Verde",2024,0,0,0
"Depression chronic treatment",2.1,"Cape Verde",2025,0,0,0
"Depression chronic treatment",2.1,"Cape Verde",2026,0,0,0
"Depression chronic treatment",2.1,"Cape Verde",2027,0,0,0
"Depression chronic treatment",2.1,"Cape Verde",2028,0,0,0
"Depression chronic treatment",2.1,"Cape Verde",2029,0,0,0
"Depression chronic treatment",2.1,"Cape Verde",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Cape Verde",2020,47283.3591388604,47283.3591388604,0
"Bipolar disorder chronic treatment",2.11,"Cape Verde",2021,48079.6866365225,48079.6866365225,0
"Bipolar disorder chronic treatment",2.11,"Cape Verde",2022,48837.9829567848,48837.9829567848,0
"Bipolar disorder chronic treatment",2.11,"Cape Verde",2023,177353.223141214,49571.8168553345,127781.406285879
"Bipolar disorder chronic treatment",2.11,"Cape Verde",2024,309673.587422979,50306.5449529313,259367.042470048
"Bipolar disorder chronic treatment",2.11,"Cape Verde",2025,445924.978100364,51052.1061467047,394872.87195366
"Bipolar disorder chronic treatment",2.11,"Cape Verde",2026,586038.560447094,51790.9463400714,534247.614107022
"Bipolar disorder chronic treatment",2.11,"Cape Verde",2027,730283.618747576,52542.2596805701,677741.359067006
"Bipolar disorder chronic treatment",2.11,"Cape Verde",2028,878654.599622927,53296.1825441642,825358.417078763
"Bipolar disorder chronic treatment",2.11,"Cape Verde",2029,1030939.5158969,54037.2854060206,976902.230490884
"Bipolar disorder chronic treatment",2.11,"Cape Verde",2030,1187083.67127408,54764.8599405022,1132318.81133358
"Schizophrenia chronic treatment",2.12,"Cape Verde",2020,206392.855877983,206392.855877983,0
"Schizophrenia chronic treatment",2.12,"Cape Verde",2021,211090.900719959,211090.900719959,0
"Schizophrenia chronic treatment",2.12,"Cape Verde",2022,215555.909532561,215555.909532561,0
"Schizophrenia chronic treatment",2.12,"Cape Verde",2023,247285.757284193,219809.562030394,27476.1952537992
"Schizophrenia chronic treatment",2.12,"Cape Verde",2024,279936.214054716,223938.552957489,55997.6610972271
"Schizophrenia chronic treatment",2.12,"Cape Verde",2025,313499.875288759,227963.329204011,85536.5460847473
"Schizophrenia chronic treatment",2.12,"Cape Verde",2026,347577.33827934,231634.809499044,115942.528780297
"Schizophrenia chronic treatment",2.12,"Cape Verde",2027,382550.01641717,235260.668240682,147289.348176488
"Schizophrenia chronic treatment",2.12,"Cape Verde",2028,418353.479670587,238805.864342036,179547.615328551
"Schizophrenia chronic treatment",2.12,"Cape Verde",2029,454887.919369907,242226.252047734,212661.667322173
"Schizophrenia chronic treatment",2.12,"Cape Verde",2030,492089.673429124,245507.412875756,246582.260553368
"Epilepsy acute and chronic treatment",2.13,"Cape Verde",2020,53764.0080945626,53764.0080945626,0
"Epilepsy acute and chronic treatment",2.13,"Cape Verde",2021,54409.2919222437,54409.2919222437,0
"Epilepsy acute and chronic treatment",2.13,"Cape Verde",2022,55034.6308942822,55034.6308942822,0
"Epilepsy acute and chronic treatment",2.13,"Cape Verde",2023,59823.1163541642,55649.4105620132,4173.70579215099
