"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Central African Republic",2020,838.053119455897,838.053119455897,0
"IDU harm reduction measures",1.1,"Central African Republic",2021,864.769514519526,864.769514519526,0
"IDU harm reduction measures",1.1,"Central African Republic",2022,893.455867258185,893.455867258185,0
"IDU harm reduction measures",1.1,"Central African Republic",2023,10048.132539285,923.966210508966,9124.16632877603
"IDU harm reduction measures",1.1,"Central African Republic",2024,19843.61464797,956.201544229945,18887.4131037401
"IDU harm reduction measures",1.1,"Central African Republic",2025,30328.7785564928,989.996627994875,29338.7819284979
"IDU harm reduction measures",1.1,"Central African Republic",2026,41510.5522100459,1024.32321744805,40486.2289925978
"IDU harm reduction measures",1.1,"Central African Republic",2027,53465.0272534429,1060.34407069633,52404.6831827466
"IDU harm reduction measures",1.1,"Central African Republic",2028,66205.107574161,1097.41850517326,65107.6890689877
"IDU harm reduction measures",1.1,"Central African Republic",2029,79708.8173671003,1134.77581066379,78574.0415564365
"IDU harm reduction measures",1.1,"Central African Republic",2030,93951.5970913513,1171.99939858923,92779.5976927621
"Pulmonary rehabilitation",1.2,"Central African Republic",2020,2915.87478615261,2915.87478615261,0
"Pulmonary rehabilitation",1.2,"Central African Republic",2021,2979.47398675462,2979.47398675462,0
"Pulmonary rehabilitation",1.2,"Central African Republic",2022,3044.72600107661,3044.72600107661,0
"Pulmonary rehabilitation",1.2,"Central African Republic",2023,4467.28755038432,3112.24965194345,1355.03789844087
"Pulmonary rehabilitation",1.2,"Central African Republic",2024,5963.05025264135,3183.18095653478,2779.86929610657
"Pulmonary rehabilitation",1.2,"Central African Republic",2025,7540.73886881148,3257.80446356866,4282.93440524282
"Pulmonary rehabilitation",1.2,"Central African Republic",2026,9245.86234505797,3349.19043889381,5896.67190616416
"Pulmonary rehabilitation",1.2,"Central African Republic",2027,11068.2149083187,3446.39634540118,7621.81856291749
"Pulmonary rehabilitation",1.2,"Central African Republic",2028,13013.9708343817,3548.54319423709,9465.42764014457
"Pulmonary rehabilitation",1.2,"Central African Republic",2029,15083.8288814816,3654.22432390556,11429.604557576
"Pulmonary rehabilitation",1.2,"Central African Republic",2030,17278.0762264435,3762.9340568424,13515.1421696011
"Depression chronic treatment",2.1,"Central African Republic",2020,90305.9452469127,90305.9452469127,0
"Depression chronic treatment",2.1,"Central African Republic",2021,92787.3891207906,92787.3891207906,0
"Depression chronic treatment",2.1,"Central African Republic",2022,95408.0856003116,95408.0856003116,0
"Depression chronic treatment",2.1,"Central African Republic",2023,140903.287573417,98163.8640365402,42739.4235368769
"Depression chronic treatment",2.1,"Central African Republic",2024,189112.117970273,101056.290647167,88055.8273231057
"Depression chronic treatment",2.1,"Central African Republic",2025,240212.723648471,104073.417884481,136139.30576399
"Depression chronic treatment",2.1,"Central African Republic",2026,294190.642871778,107139.471723859,187051.171147919
"Depression chronic treatment",2.1,"Central African Republic",2027,351470.279048558,110362.097978979,241108.18106958
"Depression chronic treatment",2.1,"Central African Republic",2028,412106.393108928,113696.252189699,298410.140919229
"Depression chronic treatment",2.1,"Central African Republic",2029,476038.232394879,117089.976809032,358948.255585847
"Depression chronic treatment",2.1,"Central African Republic",2030,543188.669492452,120510.005454345,422678.664038107
"Bipolar disorder chronic treatment",2.11,"Central African Republic",2020,69586.3262090431,69586.3262090431,0
"Bipolar disorder chronic treatment",2.11,"Central African Republic",2021,71473.098280498,71473.098280498,0
"Bipolar disorder chronic treatment",2.11,"Central African Republic",2022,73461.724291867,73461.724291867,0
"Bipolar disorder chronic treatment",2.11,"Central African Republic",2023,270288.30232185,75548.0051815559,194740.297140294
"Bipolar disorder chronic treatment",2.11,"Central African Republic",2024,478560.540909938,77730.619381206,400829.921528732
"Bipolar disorder chronic treatment",2.11,"Central African Republic",2025,699028.556802366,79998.8874227349,619029.669379631
"Bipolar disorder chronic treatment",2.11,"Central African Republic",2026,930969.386004881,82222.8885951388,848746.497409742
"Bipolar disorder chronic treatment",2.11,"Central African Republic",2027,1176242.00819507,84556.544169556,1091685.46402551
"Bipolar disorder chronic treatment",2.11,"Central African Republic",2028,1435194.83955993,86966.5606539728,1348228.27890596
"Bipolar disorder chronic treatment",2.11,"Central African Republic",2029,1707766.65097805,89417.0221937686,1618349.62878428
"Bipolar disorder chronic treatment",2.11,"Central African Republic",2030,1993694.44574378,91880.5384802317,1901813.90726355
"Schizophrenia chronic treatment",2.12,"Central African Republic",2020,147379.641451713,147379.641451713,0
"Schizophrenia chronic treatment",2.12,"Central African Republic",2021,151391.339751124,151391.339751124,0
"Schizophrenia chronic treatment",2.12,"Central African Republic",2022,155738.223688,155738.223688,0
"Schizophrenia chronic treatment",2.12,"Central African Republic",2023,204539.897597591,160423.44909615,44116.4485014411
"Schizophrenia chronic treatment",2.12,"Central African Republic",2024,256529.003252951,165465.670022824,91063.3332301271
"Schizophrenia chronic treatment",2.12,"Central African Republic",2025,312010.033505136,170859.885460734,141150.148044402
"Schizophrenia chronic treatment",2.12,"Central African Republic",2026,371000.982543893,176468.994063072,194531.98848082
"Schizophrenia chronic treatment",2.12,"Central African Republic",2027,434173.073786391,182496.175270168,251676.898516223
"Schizophrenia chronic treatment",2.12,"Central African Republic",2028,501662.663574009,188859.548018216,312803.115555793
"Schizophrenia chronic treatment",2.12,"Central African Republic",2029,573467.157444496,195461.427219031,378005.730225465
"Schizophrenia chronic treatment",2.12,"Central African Republic",2030,649611.142933069,202246.951394845,447364.191538225
"Epilepsy acute and chronic treatment",2.13,"Central African Republic",2020,4310.56100486704,4310.56100486704,0
"Epilepsy acute and chronic treatment",2.13,"Central African Republic",2021,4393.90205897816,4393.90205897816,0
"Epilepsy acute and chronic treatment",2.13,"Central African Republic",2022,4481.46377306643,4481.46377306643,0
"Epilepsy acute and chronic treatment",2.13,"Central African Republic",2023,19244.6236774019,4572.97988373906,14671.6437936628
"Epilepsy acute and chronic treatment",2.13,"Central African Republic",2024,34630.4350322427,4668.4973684949,29961.9376637478
"Epilepsy acute and chronic treatment",2.13,"Central African Republic",2025,50677.6395343785,4767.48118739143,45910.1583469871
"Epilepsy acute and chronic treatment",2.13,"Central African Republic",2026,67420.7946638261,4869.57865341298,62551.2160104131
"Epilepsy acute and chronic treatment",2.13,"Central African Republic",2027,84903.8309568307,4975.35819326556,79928.4727635652
"Epilepsy acute and chronic treatment",2.13,"Central African Republic",2028,103147.341116143,5083.93237400619,98063.4087421371
"Epilepsy acute and chronic treatment",2.13,"Central African Republic",2029,122157.991254086,5194.38278650842,116963.608467578
"Epilepsy acute and chronic treatment",2.13,"Central African Republic",2030,141924.170413151,5305.62535010273,136618.545063048
"Asthma/COPD chronic treatment",2.14,"Central African Republic",2020,694415.064976495,694415.064976495,0
"Asthma/COPD chronic treatment",2.14,"Central African Republic",2021,705022.504615922,705022.504615922,0
"Asthma/COPD chronic treatment",2.14,"Central African Republic",2022,716342.95069923,716342.95069923,0
"Asthma/COPD chronic treatment",2.14,"Central African Republic",2023,1045289.01609806,728227.216144084,317061.799953976
"Asthma/COPD chronic treatment",2.14,"Central African Republic",2024,1386216.67040578,740781.867787904,645434.802617878
"Asthma/COPD chronic treatment",2.14,"Central African Republic",2025,1740567.33253551,754174.66253348,986392.670002029
"Asthma/COPD chronic treatment",2.14,"Central African Republic",2026,2111887.88413997,769222.497687427,1342665.38645254
"Asthma/COPD chronic treatment",2.14,"Central African Republic",2027,2499619.15718441,785028.442459622,1714590.71472478
"Asthma/COPD chronic treatment",2.14,"Central African Republic",2028,2904260.16686085,801431.224008109,2102828.94285274
"Asthma/COPD chronic treatment",2.14,"Central African Republic",2029,3326458.10972582,818392.05807601,2508066.05164981
"Asthma/COPD chronic treatment",2.14,"Central African Republic",2030,3766730.47051859,835874.378547335,2930856.09197125
"Diabetes screening and treatment",2.3,"Central African Republic",2020,2516231.77474673,2516231.77474673,0
"Diabetes screening and treatment",2.3,"Central African Republic",2021,2575000.21607376,2575000.21607376,0
"Diabetes screening and treatment",2.3,"Central African Republic",2022,2636844.26591496,2636844.26591496,0
"Diabetes screening and treatment",2.3,"Central African Republic",2023,3878480.99859592,2702042.57098045,1176438.42761546
"Diabetes screening and treatment",2.3,"Central African Republic",2024,5188881.97620294,2771114.75421069,2417767.22199225
"Diabetes screening and treatment",2.3,"Central African Republic",2025,6575451.51219958,2844100.11638168,3731351.3958179
"Diabetes screening and treatment",2.3,"Central African Republic",2026,8054461.82256314,2924132.00747146,5130329.81509168
"Diabetes screening and treatment",2.3,"Central African Republic",2027,9630825.17697304,3009359.53330734,6621465.6436657
"Diabetes screening and treatment",2.3,"Central African Republic",2028,11309752.1978293,3099024.98567674,8210727.21215253
"Diabetes screening and treatment",2.3,"Central African Republic",2029,13093116.2970154,3192056.23050897,9901060.06650647
"Diabetes screening and treatment",2.3,"Central African Republic",2030,14983106.6213056,3288040.29957569,11695066.3217299
"CVD primary prevention",2.4,"Central African Republic",2020,728036.273392427,728036.273392427,0
"CVD primary prevention",2.4,"Central African Republic",2021,743928.281615518,743928.281615518,0
"CVD primary prevention",2.4,"Central African Republic",2022,761112.63401332,761112.63401332,0
"CVD primary prevention",2.4,"Central African Republic",2023,1119556.97732471,779967.882906918,339589.094417792
"CVD primary prevention",2.4,"Central African Republic",2024,1499480.86928768,801091.42242384,698389.44686384
"CVD primary prevention",2.4,"Central African Republic",2025,1904874.12010829,824762.195934703,1080111.92417359
"CVD primary prevention",2.4,"Central African Republic",2026,2341253.72574601,851628.483968412,1489625.2417776
"CVD primary prevention",2.4,"Central African Republic",2027,2812582.9154457,881543.003362577,1931039.91208312
"CVD primary prevention",2.4,"Central African Republic",2028,3321862.23272632,914183.870581173,2407678.36214515
"CVD primary prevention",2.4,"Central African Republic",2029,3870855.81406123,949091.391310552,2921764.42275067
"CVD primary prevention",2.4,"Central African Republic",2030,4461273.04452135,986000.092449476,3475272.95207188
"Aspirin for suspected ACS",2.5,"Central African Republic",2020,228.026200439395,228.026200439395,0
"Aspirin for suspected ACS",2.5,"Central African Republic",2021,232.265034934867,232.265034934867,0
"Aspirin for suspected ACS",2.5,"Central African Republic",2022,236.821829423875,236.821829423875,0
"Aspirin for suspected ACS",2.5,"Central African Republic",2023,346.923550916066,241.693127745185,105.230423170881
"Aspirin for suspected ACS",2.5,"Central African Republic",2024,462.264844866618,246.880602174314,215.384242692304
"Aspirin for suspected ACS",2.5,"Central African Republic",2025,583.410415741538,252.367050009984,331.043365731555
"Aspirin for suspected ACS",2.5,"Central African Republic",2026,711.56180584908,258.372456955878,453.189348893202
"Aspirin for suspected ACS",2.5,"Central African Republic",2027,847.63249685154,264.930156714487,582.702340137053
"Aspirin for suspected ACS",2.5,"Central African Republic",2028,992.261087082179,271.991695094556,720.269391987622
"Aspirin for suspected ACS",2.5,"Central African Republic",2029,1145.85604635389,279.487690262575,866.368356091318
"Aspirin for suspected ACS",2.5,"Central African Republic",2030,1308.97060360829,287.422221801493,1021.5483818068
"CVD secondary prevention",2.6,"Central African Republic",2020,882366.278534112,882366.278534112,0
"CVD secondary prevention",2.6,"Central African Republic",2021,902299.674103057,902299.674103057,0
"CVD secondary prevention",2.6,"Central African Republic",2022,921957.601410181,921957.601410181,0
"CVD secondary prevention",2.6,"Central African Republic",2023,1351464.25684328,941531.995766127,409932.261077156
