"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Comoros",2020,136.517452468181,136.517452468181,0
"IDU harm reduction measures",1.1,"Comoros",2021,139.977786247244,139.977786247244,0
"IDU harm reduction measures",1.1,"Comoros",2022,143.446904925869,143.446904925869,0
"IDU harm reduction measures",1.1,"Comoros",2023,1598.14294195968,146.955672823878,1451.1872691358
"IDU harm reduction measures",1.1,"Comoros",2024,3123.82451279364,150.541739840178,2973.28277295346
"IDU harm reduction measures",1.1,"Comoros",2025,4723.50893476033,154.2204077833,4569.28852697703
"IDU harm reduction measures",1.1,"Comoros",2026,6396.1713957216,157.888007009183,6238.28338871242
"IDU harm reduction measures",1.1,"Comoros",2027,8147.4246051876,161.651475782514,7985.77312940508
"IDU harm reduction measures",1.1,"Comoros",2028,9980.8140501143,165.512100474856,9815.30194963945
"IDU harm reduction measures",1.1,"Comoros",2029,11898.9947376182,169.457645907538,11729.5370917106
"IDU harm reduction measures",1.1,"Comoros",2030,13904.3851118064,173.479549647547,13730.9055621589
"Pulmonary rehabilitation",1.2,"Comoros",2020,1930.29913901213,1930.29913901213,0
"Pulmonary rehabilitation",1.2,"Comoros",2021,1997.92021147955,1997.92021147955,0
"Pulmonary rehabilitation",1.2,"Comoros",2022,2065.87700959112,2065.87700959112,0
"Pulmonary rehabilitation",1.2,"Comoros",2023,2728.62870268629,2134.80546438438,593.823238301911
"Pulmonary rehabilitation",1.2,"Comoros",2024,3433.33936029024,2205.58917541397,1227.75018487628
"Pulmonary rehabilitation",1.2,"Comoros",2025,4182.85981199325,2278.22462563262,1904.63518636063
"Pulmonary rehabilitation",1.2,"Comoros",2026,4985.74859885945,2355.08449402294,2630.66410483651
"Pulmonary rehabilitation",1.2,"Comoros",2027,5841.59406270894,2433.58259974374,3408.0114629652
"Pulmonary rehabilitation",1.2,"Comoros",2028,6755.12071397004,2514.09589292223,4241.02482104781
"Pulmonary rehabilitation",1.2,"Comoros",2029,7729.23758684512,2596.36065053532,5132.8769363098
"Pulmonary rehabilitation",1.2,"Comoros",2030,8767.08829894848,2680.45884075401,6086.62945819447
"Depression chronic treatment",2.1,"Comoros",2020,0,0,0
"Depression chronic treatment",2.1,"Comoros",2021,0,0,0
"Depression chronic treatment",2.1,"Comoros",2022,0,0,0
"Depression chronic treatment",2.1,"Comoros",2023,0,0,0
"Depression chronic treatment",2.1,"Comoros",2024,0,0,0
"Depression chronic treatment",2.1,"Comoros",2025,0,0,0
"Depression chronic treatment",2.1,"Comoros",2026,0,0,0
"Depression chronic treatment",2.1,"Comoros",2027,0,0,0
"Depression chronic treatment",2.1,"Comoros",2028,0,0,0
"Depression chronic treatment",2.1,"Comoros",2029,0,0,0
"Depression chronic treatment",2.1,"Comoros",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Comoros",2020,32023.7014669175,32023.7014669175,0
"Bipolar disorder chronic treatment",2.11,"Comoros",2021,32859.1286838508,32859.1286838508,0
"Bipolar disorder chronic treatment",2.11,"Comoros",2022,33708.1932316696,33708.1932316696,0
