"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2020,11618.3243856087,11618.3243856087,0
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2021,11970.0278318857,11970.0278318857,0
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2022,12334.5879549251,12334.5879549251,0
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2023,138223.256017763,12710.1844614035,125513.071556359
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2024,271737.532674748,13095.1909680336,258642.341706714
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2025,413155.496196866,13488.7315403821,399666.764656484
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2026,562353.866888451,13880.6258893616,548473.240999089
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2027,719812.648973486,14280.5382969581,705532.110676527
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2028,885872.107403796,14689.4376492126,871182.669754584
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2029,1060956.53363972,15108.9634028247,1045847.5702369
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2030,1245496.58841879,15540.087800699,1229956.50061809
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2020,88976.1647073241,88976.1647073241,0
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2021,91816.1285348571,91816.1285348571,0
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2022,94750.1153732018,94750.1153732018,0
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2023,127528.133563651,97778.064826936,29750.0687367154
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2024,162362.694869481,100898.757835049,61463.9370344314
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2025,199397.175292248,104106.929007026,95290.2462852214
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2026,239545.336818882,107730.098312596,131815.238506286
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2027,282481.430095482,111446.801996689,171034.628098793
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2028,328384.597285896,115254.465931126,213130.13135477
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2029,377407.825677005,119152.566700752,258255.258976253
