"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Djibouti",2020,347.012377013271,347.012377013271,0
"IDU harm reduction measures",1.1,"Djibouti",2021,352.948011482023,352.948011482023,0
"IDU harm reduction measures",1.1,"Djibouti",2022,358.434240267875,358.434240267875,0
"IDU harm reduction measures",1.1,"Djibouti",2023,3954.10414891958,363.595783808697,3590.50836511089
"IDU harm reduction measures",1.1,"Djibouti",2024,7649.96470750186,368.66328443676,7281.3014230651
"IDU harm reduction measures",1.1,"Djibouti",2025,11446.4737067948,373.722735157213,11072.7509716376
"IDU harm reduction measures",1.1,"Djibouti",2026,15329.3719552923,378.403053511194,14950.9689017811
"IDU harm reduction measures",1.1,"Djibouti",2027,19303.9386477763,383.006139222861,18920.9325085534
"IDU harm reduction measures",1.1,"Djibouti",2028,23373.8069246069,387.605629062146,22986.2012955447
"IDU harm reduction measures",1.1,"Djibouti",2029,27542.0663637094,392.225366937867,27149.8409967715
"IDU harm reduction measures",1.1,"Djibouti",2030,31813.3813961896,396.898121266841,31416.4832749227
"Pulmonary rehabilitation",1.2,"Djibouti",2020,6739.66678583323,6739.66678583323,0
"Pulmonary rehabilitation",1.2,"Djibouti",2021,6984.33630974894,6984.33630974894,0
"Pulmonary rehabilitation",1.2,"Djibouti",2022,7227.54743201015,7227.54743201015,0
"Pulmonary rehabilitation",1.2,"Djibouti",2023,9579.1038548872,7472.48848271485,2106.61537217235
"Pulmonary rehabilitation",1.2,"Djibouti",2024,12083.1898133972,7725.25764113502,4357.93217226217
"Pulmonary rehabilitation",1.2,"Djibouti",2025,14756.1680338203,7988.97078652074,6767.19724729953
"Pulmonary rehabilitation",1.2,"Djibouti",2026,17610.8716036404,8262.47385172711,9348.39775191328
"Pulmonary rehabilitation",1.2,"Djibouti",2027,20654.9558793677,8542.58341853047,12112.3724608372
"Pulmonary rehabilitation",1.2,"Djibouti",2028,23902.4348742056,8829.61148232997,15072.8233918757
"Pulmonary rehabilitation",1.2,"Djibouti",2029,27362.0091120144,9122.08715786882,18239.9219541456
"Pulmonary rehabilitation",1.2,"Djibouti",2030,31046.6729300399,9420.69132627722,21625.9816037627
"Depression chronic treatment",2.1,"Djibouti",2020,0,0,0
"Depression chronic treatment",2.1,"Djibouti",2021,0,0,0
"Depression chronic treatment",2.1,"Djibouti",2022,0,0,0
"Depression chronic treatment",2.1,"Djibouti",2023,0,0,0
"Depression chronic treatment",2.1,"Djibouti",2024,0,0,0
"Depression chronic treatment",2.1,"Djibouti",2025,0,0,0
"Depression chronic treatment",2.1,"Djibouti",2026,0,0,0
"Depression chronic treatment",2.1,"Djibouti",2027,0,0,0
"Depression chronic treatment",2.1,"Djibouti",2028,0,0,0
"Depression chronic treatment",2.1,"Djibouti",2029,0,0,0
"Depression chronic treatment",2.1,"Djibouti",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Djibouti",2020,85137.7836394721,85137.7836394721,0
"Bipolar disorder chronic treatment",2.11,"Djibouti",2021,86751.5117691279,86751.5117691279,0
"Bipolar disorder chronic treatment",2.11,"Djibouti",2022,88284.3382449302,88284.3382449302,0
"Bipolar disorder chronic treatment",2.11,"Djibouti",2023,321205.823928336,89779.9092377595,231425.914690576
"Bipolar disorder chronic treatment",2.11,"Djibouti",2024,562084.690468041,91312.3096828499,470772.380785191
"Bipolar disorder chronic treatment",2.11,"Djibouti",2025,811489.306450259,92907.46384133,718581.842608929
"Bipolar disorder chronic treatment",2.11,"Djibouti",2026,1068650.58580636,94446.4009220099,974204.184884351
