"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Egypt",2020,68935.397986157,68935.397986157,0
"IDU harm reduction measures",1.1,"Egypt",2021,70028.8471582988,70028.8471582988,0
"IDU harm reduction measures",1.1,"Egypt",2022,70976.7186375746,70976.7186375746,0
"IDU harm reduction measures",1.1,"Egypt",2023,781466.295568043,71858.9697074063,709607.325860637
"IDU harm reduction measures",1.1,"Egypt",2024,1510486.26680346,72791.1152073254,1437695.15159614
"IDU harm reduction measures",1.1,"Egypt",2025,2261318.33126239,73826.6700382118,2187491.66122418
"IDU harm reduction measures",1.1,"Egypt",2026,3033912.91198972,74882.8219855214,2959030.0900042
"IDU harm reduction measures",1.1,"Egypt",2027,3831931.15069039,76014.4284263307,3755916.72226406
"IDU harm reduction measures",1.1,"Egypt",2028,4659997.43880785,77255.9913278624,4582741.44747998
"IDU harm reduction measures",1.1,"Egypt",2029,5523209.88439129,78629.446119098,5444580.43827219
"IDU harm reduction measures",1.1,"Egypt",2030,6426875.86925447,80148.9530725073,6346726.91618196
"Pulmonary rehabilitation",1.2,"Egypt",2020,1928842.10838946,1928842.10838946,0
"Pulmonary rehabilitation",1.2,"Egypt",2021,1990631.14316427,1990631.14316427,0
"Pulmonary rehabilitation",1.2,"Egypt",2022,2048403.97535937,2048403.97535937,0
"Pulmonary rehabilitation",1.2,"Egypt",2023,2316948.6517002,2104179.5901132,212769.061586998
"Pulmonary rehabilitation",1.2,"Egypt",2024,2599470.78501125,2161169.67047069,438301.114540557
"Pulmonary rehabilitation",1.2,"Egypt",2025,2899510.13627871,2220916.81847901,678593.317799702
"Pulmonary rehabilitation",1.2,"Egypt",2026,3222787.38099427,2285768.09608073,937019.284913545
"Pulmonary rehabilitation",1.2,"Egypt",2027,3566204.72470865,2351647.98275548,1214556.74195317
"Pulmonary rehabilitation",1.2,"Egypt",2028,3932201.14771546,2418989.08203617,1513212.0656793
"Pulmonary rehabilitation",1.2,"Egypt",2029,4321617.15741024,2487328.20835646,1834288.94905377
