"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Ethiopia",2020,12848.679957679,12848.679957679,0
"IDU harm reduction measures",1.1,"Ethiopia",2021,13313.7161826691,13313.7161826691,0
"IDU harm reduction measures",1.1,"Ethiopia",2022,13787.6393988331,13787.6393988331,0
"IDU harm reduction measures",1.1,"Ethiopia",2023,155166.804937493,14268.2119482752,140898.592989218
"IDU harm reduction measures",1.1,"Ethiopia",2024,306171.331471725,14753.9139889516,291417.417482773
"IDU harm reduction measures",1.1,"Ethiopia",2025,466951.776541851,15243.5872862764,451708.189255574
"IDU harm reduction measures",1.1,"Ethiopia",2026,637392.395862023,15730.6912003263,621661.704661696
"IDU harm reduction measures",1.1,"Ethiopia",2027,817730.666659589,16220.9448232338,801509.721836355
"IDU harm reduction measures",1.1,"Ethiopia",2028,1008061.43033808,16714.024993799,991347.405344277
"IDU harm reduction measures",1.1,"Ethiopia",2029,1208470.10682261,17209.7231731975,1191260.38364941
"IDU harm reduction measures",1.1,"Ethiopia",2030,1419038.33141011,17707.9488285152,1401330.38258159
"Pulmonary rehabilitation",1.2,"Ethiopia",2020,73744.7653233242,73744.7653233242,0
"Pulmonary rehabilitation",1.2,"Ethiopia",2021,76411.6479601751,76411.6479601751,0
"Pulmonary rehabilitation",1.2,"Ethiopia",2022,79190.3296203379,79190.3296203379,0
"Pulmonary rehabilitation",1.2,"Ethiopia",2023,124443.858558711,82087.8651230245,42355.9934356862
"Pulmonary rehabilitation",1.2,"Ethiopia",2024,173094.310583038,85116.4241448419,87977.886438196
"Pulmonary rehabilitation",1.2,"Ethiopia",2025,225452.756933893,88285.9007588102,137166.856175083
"Pulmonary rehabilitation",1.2,"Ethiopia",2026,282055.523033983,91668.3207290817,190387.202304902
"Pulmonary rehabilitation",1.2,"Ethiopia",2027,342997.254618707,95179.2342650111,247818.020353696
"Pulmonary rehabilitation",1.2,"Ethiopia",2028,408528.871364651,98818.4604753038,309710.410889348
"Pulmonary rehabilitation",1.2,"Ethiopia",2029,478846.899119462,102578.960023621,376267.93909584
"Pulmonary rehabilitation",1.2,"Ethiopia",2030,554139.373354524,106459.583431911,447679.789922613
"Depression chronic treatment",2.1,"Ethiopia",2020,1424920.70223889,1424920.70223889,0
"Depression chronic treatment",2.1,"Ethiopia",2021,1471648.46091356,1471648.46091356,0
"Depression chronic treatment",2.1,"Ethiopia",2022,1519379.47442854,1519379.47442854,0
"Depression chronic treatment",2.1,"Ethiopia",2023,2377309.84362802,1568163.28310254,809146.560525485
"Depression chronic treatment",2.1,"Ethiopia",2024,3289044.56473324,1618193.78901582,1670850.77571741
"Depression chronic treatment",2.1,"Ethiopia",2025,4257401.04182978,1669601.77924206,2587799.26258772
"Depression chronic treatment",2.1,"Ethiopia",2026,5282555.24086435,1721558.98074744,3560996.26011691
"Depression chronic treatment",2.1,"Ethiopia",2027,6368611.51167119,1774854.9207114,4593756.5909598
"Depression chronic treatment",2.1,"Ethiopia",2028,7518285.56479638,1829561.95551536,5688723.60928102
"Depression chronic treatment",2.1,"Ethiopia",2029,8734152.8674085,1885712.92392481,6848439.94348368
"Depression chronic treatment",2.1,"Ethiopia",2030,10018249.9285304,1943243.67423592,8075006.25429451
"Bipolar disorder chronic treatment",2.11,"Ethiopia",2020,2891630.86679585,2891630.86679585,0
"Bipolar disorder chronic treatment",2.11,"Ethiopia",2021,2983612.74982898,2983612.74982898,0
"Bipolar disorder chronic treatment",2.11,"Ethiopia",2022,3076928.73496264,3076928.73496264,0
"Bipolar disorder chronic treatment",2.11,"Ethiopia",2023,11347184.3608449,3171639.82135041,8175544.53949447
"Bipolar disorder chronic treatment",2.11,"Ethiopia",2024,20118905.3940449,3268129.25810346,16850776.1359414
"Bipolar disorder chronic treatment",2.11,"Ethiopia",2025,29410321.6241641,3366633.19962775,26043688.4245364
"Bipolar disorder chronic treatment",2.11,"Ethiopia",2026,39214660.7977419,3464987.7150078,35749673.0827341
"Bipolar disorder chronic treatment",2.11,"Ethiopia",2027,49562726.1965306,3565367.82568456,45997358.370846
"Bipolar disorder chronic treatment",2.11,"Ethiopia",2028,60472637.9903868,3667833.01552945,56804804.9748574
"Bipolar disorder chronic treatment",2.11,"Ethiopia",2029,71961696.6442219,3772380.55737988,68189316.086842
"Bipolar disorder chronic treatment",2.11,"Ethiopia",2030,84040348.3123274,3878702.45585074,80161645.8564767
"Schizophrenia chronic treatment",2.12,"Ethiopia",2020,6153435.48448954,6153435.48448954,0
"Schizophrenia chronic treatment",2.12,"Ethiopia",2021,6377474.4120837,6377474.4120837,0
"Schizophrenia chronic treatment",2.12,"Ethiopia",2022,6608854.99355393,6608854.99355393,0
"Schizophrenia chronic treatment",2.12,"Ethiopia",2023,8729879.65098268,6846964.43214328,1882915.2188394
"Schizophrenia chronic treatment",2.12,"Ethiopia",2024,10993145.8407021,7091572.86252793,3901572.97817416
"Schizophrenia chronic treatment",2.12,"Ethiopia",2025,13404040.2587699,7342440.44717202,6061599.81159785
"Schizophrenia chronic treatment",2.12,"Ethiopia",2026,15955442.4834936,7593531.19539509,8361911.28809855
"Schizophrenia chronic treatment",2.12,"Ethiopia",2027,18661766.4889036,7850700.10945449,10811066.3794491
"Schizophrenia chronic treatment",2.12,"Ethiopia",2028,21527401.5266679,8113607.06046053,13413794.4662074
"Schizophrenia chronic treatment",2.12,"Ethiopia",2029,24555854.2940015,8381749.35794848,16174104.936053
"Schizophrenia chronic treatment",2.12,"Ethiopia",2030,27750206.9077591,8654673.45822636,19095533.4495327
"Epilepsy acute and chronic treatment",2.13,"Ethiopia",2020,106744.898077722,106744.898077722,0
"Epilepsy acute and chronic treatment",2.13,"Ethiopia",2021,109326.862308757,109326.862308757,0
"Epilepsy acute and chronic treatment",2.13,"Ethiopia",2022,111889.186246275,111889.186246275,0
"Epilepsy acute and chronic treatment",2.13,"Ethiopia",2023,481571.110077022,114432.739028203,367138.371048819
"Epilepsy acute and chronic treatment",2.13,"Ethiopia",2024,867629.521497063,116962.017836,750667.503661062
"Epilepsy acute and chronic treatment",2.13,"Ethiopia",2025,1270075.12057573,119474.455135188,1150600.66544054
"Epilepsy acute and chronic treatment",2.13,"Ethiopia",2026,1691062.97768492,122122.504034339,1568940.47365058
"Epilepsy acute and chronic treatment",2.13,"Ethiopia",2027,2129401.71272624,124750.707127288,2004651.00559896
"Epilepsy acute and chronic treatment",2.13,"Ethiopia",2028,2584935.83562671,127355.089346114,2457580.74628059
"Epilepsy acute and chronic treatment",2.13,"Ethiopia",2029,3057426.57032272,129932.770035157,2927493.80028757
"Epilepsy acute and chronic treatment",2.13,"Ethiopia",2030,3546451.73792242,132477.965552249,3413973.77237018
"Asthma/COPD chronic treatment",2.14,"Ethiopia",2020,13477826.8309245,13477826.8309245,0
"Asthma/COPD chronic treatment",2.14,"Ethiopia",2021,13779891.6409429,13779891.6409429,0
"Asthma/COPD chronic treatment",2.14,"Ethiopia",2022,14084331.8834963,14084331.8834963,0
"Asthma/COPD chronic treatment",2.14,"Ethiopia",2023,21817152.6313015,14391417.1684237,7425735.46287782
"Asthma/COPD chronic treatment",2.14,"Ethiopia",2024,29876914.2668386,14701270.1684086,15175644.09843
"Asthma/COPD chronic treatment",2.14,"Ethiopia",2025,38266523.0220156,15012311.679839,23254211.3421766
"Asthma/COPD chronic treatment",2.14,"Ethiopia",2026,47011638.7816748,15331372.8991139,31680265.882561
"Asthma/COPD chronic treatment",2.14,"Ethiopia",2027,56105405.669339,15652484.4552927,40452921.2140462
"Asthma/COPD chronic treatment",2.14,"Ethiopia",2028,65549483.8707183,15974862.2732693,49574621.597449
"Asthma/COPD chronic treatment",2.14,"Ethiopia",2029,75343541.7744215,16297762.5904262,59045779.1839954
"Asthma/COPD chronic treatment",2.14,"Ethiopia",2030,85493147.0533956,16622007.1483798,68871139.9050158
"Diabetes screening and treatment",2.3,"Ethiopia",2020,39727366.4460681,39727366.4460681,0
"Diabetes screening and treatment",2.3,"Ethiopia",2021,41092225.0947472,41092225.0947472,0
"Diabetes screening and treatment",2.3,"Ethiopia",2022,42504227.4945847,42504227.4945847,0
"Diabetes screening and treatment",2.3,"Ethiopia",2023,66653829.8841875,43967381.4428122,22686448.4413753
