"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Ghana",2020,32914.7703211975,32914.7703211975,0
"IDU harm reduction measures",1.1,"Ghana",2021,33719.1229614122,33719.1229614122,0
"IDU harm reduction measures",1.1,"Ghana",2022,34519.7568824538,34519.7568824538,0
"IDU harm reduction measures",1.1,"Ghana",2023,384147.914762208,35323.9461850307,348823.968577178
"IDU harm reduction measures",1.1,"Ghana",2024,750029.599049655,36142.8947662459,713886.704283409
"IDU harm reduction measures",1.1,"Ghana",2025,1132846.21607612,36981.8579340047,1095864.35814212
"IDU harm reduction measures",1.1,"Ghana",2026,1532069.080299,37811.2280363463,1494257.85226265
"IDU harm reduction measures",1.1,"Ghana",2027,1948895.44429439,38659.0786828754,1910236.36561151
"IDU harm reduction measures",1.1,"Ghana",2028,2383948.38415319,39525.6851835218,2344422.69896967
"IDU harm reduction measures",1.1,"Ghana",2029,2837730.57911711,40409.5778667133,2797321.0012504
"IDU harm reduction measures",1.1,"Ghana",2030,3310779.19031719,41310.5723719871,3269468.6179452
"Pulmonary rehabilitation",1.2,"Ghana",2020,203051.597680473,203051.597680473,0
"Pulmonary rehabilitation",1.2,"Ghana",2021,210357.732971418,210357.732971418,0
"Pulmonary rehabilitation",1.2,"Ghana",2022,217698.222020839,217698.222020839,0
"Pulmonary rehabilitation",1.2,"Ghana",2023,258020.440846679,225125.581248912,32894.8595977661
"Pulmonary rehabilitation",1.2,"Ghana",2024,300930.392138833,232719.79574156,68210.596397273
"Pulmonary rehabilitation",1.2,"Ghana",2025,346597.074251841,240517.549878337,106079.524373504
"Pulmonary rehabilitation",1.2,"Ghana",2026,395448.988682801,248678.368001678,146770.620681123
"Pulmonary rehabilitation",1.2,"Ghana",2027,447350.131412057,257006.34989839,190343.781513667
"Pulmonary rehabilitation",1.2,"Ghana",2028,502406.671460161,265500.231577701,236906.43988246
"Pulmonary rehabilitation",1.2,"Ghana",2029,560654.827140386,274135.958281598,286518.868858788
"Pulmonary rehabilitation",1.2,"Ghana",2030,622112.151432678,282901.721948413,339210.429484265
"Depression chronic treatment",2.1,"Ghana",2020,1152445.03584102,1152445.03584102,0
"Depression chronic treatment",2.1,"Ghana",2021,1184180.09216953,1184180.09216953,0
"Depression chronic treatment",2.1,"Ghana",2022,1216098.05841953,1216098.05841953,0
"Depression chronic treatment",2.1,"Ghana",2023,1430900.96404864,1248476.32297667,182424.641071976
"Depression chronic treatment",2.1,"Ghana",2024,1656726.55522394,1281687.29452858,375039.260695359
"Depression chronic treatment",2.1,"Ghana",2025,1894245.34667575,1315866.08696863,578379.259707127
"Depression chronic treatment",2.1,"Ghana",2026,2142817.91714545,1350228.8933862,792589.023759253
"Depression chronic treatment",2.1,"Ghana",2027,2403728.56163674,1385410.231284,1018318.33035274
"Depression chronic treatment",2.1,"Ghana",2028,2677343.17818668,1421365.90070063,1255977.27748605
"Depression chronic treatment",2.1,"Ghana",2029,2963742.88268075,1457942.06358308,1505800.81909768
"Depression chronic treatment",2.1,"Ghana",2030,3262979.102405,1495033.43062049,1767945.67178451
"Bipolar disorder chronic treatment",2.11,"Ghana",2020,1502865.04144788,1502865.04144788,0
"Bipolar disorder chronic treatment",2.11,"Ghana",2021,1540477.11238524,1540477.11238524,0
"Bipolar disorder chronic treatment",2.11,"Ghana",2022,1578284.67677456,1578284.67677456,0
